,ent_coef,gamma,kfac_clip,learning_rate,lr_schedule,max_grad_norm,n_steps,vf_coef,vf_fisher_coef,mean_auc,std_auc,mean_fer,std_fer
1,0.001,0.99,0.001,0.05,constant,0.5,32,0.75,1.0,34319.81,20330.87,7625.71,3514.91
2,0.001,0.99,0.001,0.02,constant,0.5,32,0.25,1.0,34714.14,18541.98,8734.99,2176.51
3,0.001,0.99,0.001,0.05,linear,0.5,32,0.5,1.0,35681.04,18807.1,13451.79,2851.39
4,0.001,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,36511.23,19051.73,8216.74,2739.32
5,0.0,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,36994.72,17887.23,13689.11,12346.66
6,0.001,0.99,0.001,0.3,constant,0.5,32,1.0,1.0,37044.03,16514.43,14172.84,13735.39
7,0.01,0.99,0.001,0.05,linear,0.5,32,1.0,1.0,37396.33,17434.45,15702.59,2781.06
8,0.01,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,37497.62,17985.24,12197.28,1912.1
9,0.001,0.99,0.001,0.02,constant,0.5,32,0.5,1.0,37558.32,16174.18,17431.97,20110.65
10,0.0,0.99,0.001,0.05,constant,0.5,32,0.75,1.0,37796.03,17385.63,14292.67,14517.09
11,0.01,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,37814.56,17150.19,16904.5,9756.18
12,0.0,0.99,0.001,0.3,constant,0.5,32,0.75,1.0,37859.34,17215.94,12156.05,7573.0
13,0.01,0.99,0.001,0.05,constant,0.5,32,0.25,1.0,38020.88,18681.19,11695.02,1881.28
14,0.001,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,38229.71,18667.63,12591.76,3462.28
15,0.001,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,38325.82,17976.61,12372.81,8279.11
16,0.0,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,38515.54,18673.71,10348.32,5662.04
17,0.01,0.99,0.001,0.3,constant,0.5,32,0.75,1.0,38639.0,17213.18,12140.17,7824.68
18,0.01,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,38903.54,16028.8,17390.63,9564.22
19,0.01,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,38913.02,17450.17,12458.99,1894.68
20,0.0,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,39256.26,16839.51,13817.51,11159.78
21,0.001,0.99,0.001,0.05,constant,0.5,32,0.5,1.0,39370.97,17702.32,11465.24,5993.85
22,0.01,0.99,0.001,0.12,constant,0.5,32,0.75,1.0,39460.92,16001.22,16537.98,11210.03
23,0.01,0.99,0.001,0.02,constant,0.5,32,0.5,1.0,39749.19,15115.39,21353.17,12011.04
24,0.01,0.99,0.001,0.05,constant,0.5,32,0.75,1.0,39756.4,15878.48,17182.85,11297.25
25,0.01,0.99,0.001,0.12,constant,0.5,32,0.25,1.0,39833.4,16017.39,15196.33,10726.25
26,0.0,0.99,0.001,0.05,constant,0.5,32,0.25,1.0,39900.76,16010.23,17698.05,19868.07
27,0.0,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,39910.51,17069.5,15652.15,13534.39
28,0.01,0.99,0.001,0.05,linear,0.5,32,0.75,1.0,40001.78,15878.42,21399.17,9395.64
29,0.0,0.99,0.001,0.12,constant,0.5,32,0.75,1.0,40089.14,15999.0,18064.76,19624.66
30,0.001,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,40148.77,16941.07,15140.85,12595.52
31,0.001,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,40468.23,16016.68,16868.8,18013.1
32,0.001,0.99,0.001,0.05,linear,0.5,32,0.75,1.0,40542.64,15834.54,20187.6,10752.34
33,0.0,0.99,0.001,0.3,linear,0.5,32,0.75,1.0,40619.26,14375.99,21574.07,20697.16
34,0.0,0.99,0.001,0.05,linear,0.5,32,0.25,1.0,40720.26,15358.51,20888.24,9089.05
35,0.0,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,40874.8,16632.48,16171.29,10295.62
36,0.0,0.99,0.001,0.12,constant,0.5,32,0.25,1.0,40891.75,16438.83,15021.36,10359.06
37,0.001,0.99,0.001,0.12,linear,0.5,32,0.25,1.0,40892.47,17196.72,14929.81,4781.46
38,0.001,0.99,0.001,0.02,linear,0.5,32,1.0,1.0,40939.77,14751.33,24713.73,5516.79
39,0.001,0.99,0.001,0.3,linear,0.5,32,1.0,1.0,41010.4,16243.9,16136.24,10910.23
40,0.001,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,41202.81,14924.44,19430.18,18920.34
41,0.0,0.99,0.001,0.3,double_middle_drop,0.5,32,0.75,1.0,41359.38,14556.44,20257.19,18791.63
42,0.0,0.99,0.001,0.02,constant,0.5,32,0.5,1.0,41471.2,14977.48,18408.25,13273.39
43,0.01,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,41671.49,15817.64,19431.01,12981.78
44,0.01,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,41712.34,15400.57,19561.83,11892.79
45,0.01,0.99,0.001,0.05,constant,0.5,32,0.5,1.0,42219.53,14989.03,19891.11,11482.86
46,0.001,0.99,0.001,0.05,constant,0.5,32,0.25,1.0,42372.02,15535.86,18267.87,15724.79
47,0.001,0.99,0.001,0.05,linear,0.5,32,1.0,1.0,42514.23,14393.0,23950.49,12433.04
48,0.01,0.99,0.001,0.3,linear,0.5,32,0.75,1.0,42709.88,14003.08,20975.04,18848.34
49,0.0,0.99,0.001,0.05,linear,0.5,32,0.75,1.0,42732.95,14885.7,24187.56,17163.35
50,0.0,0.99,0.001,0.3,constant,0.5,32,0.5,1.0,42835.39,13915.15,21925.83,21063.16
51,0.01,0.99,0.001,0.02,linear,0.5,32,0.75,1.0,42961.92,12630.1,30005.2,8156.79
52,0.0,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,43153.15,15112.25,19137.4,9939.11
53,0.0,0.99,0.001,0.05,constant,0.5,32,0.5,1.0,43287.78,13777.05,22578.91,20005.37
54,0.0,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,43373.55,15505.05,19824.98,11900.63
55,0.0,0.99,0.001,0.05,linear,0.5,32,1.0,1.0,43393.39,13544.39,27038.58,18432.82
56,0.001,0.99,0.001,0.12,double_middle_drop,0.5,32,0.5,1.0,43767.55,14497.53,20991.3,4253.22
57,0.0,0.99,0.001,0.02,linear,0.5,32,0.5,1.0,44315.79,12548.84,28411.21,3132.64
58,0.01,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,44320.56,14585.46,20349.07,10444.91
59,0.001,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,44345.14,14280.83,22635.34,11509.95
60,0.01,0.99,0.001,0.3,double_middle_drop,0.5,32,0.25,1.0,44386.32,13691.29,20872.52,11844.88
61,0.01,0.99,0.001,0.05,linear,0.5,32,0.5,1.0,44547.18,12978.73,27253.74,13510.42
62,0.001,0.99,0.001,0.3,constant,0.5,32,0.75,1.0,44759.37,12206.04,28684.34,23654.04
63,0.01,0.99,0.001,0.02,constant,0.5,32,0.25,1.0,44778.39,12457.12,27355.94,12934.82
64,0.01,0.99,0.001,0.3,double_middle_drop,0.5,32,0.5,1.0,44979.84,15024.77,20865.05,12448.63
65,0.0,0.99,0.001,0.3,linear,0.5,32,1.0,1.0,45084.51,12907.28,25449.24,18879.28
66,0.001,0.99,0.001,0.3,double_middle_drop,0.5,32,0.5,1.0,45582.75,12586.4,27658.26,25307.91
67,0.0,0.99,0.001,0.02,constant,0.5,32,0.25,1.0,45618.04,12582.26,26517.67,20470.39
68,0.01,0.99,0.001,0.3,linear,0.5,32,0.5,1.0,45675.05,12292.34,27633.06,16652.22
69,0.0,0.99,0.001,0.3,constant,0.5,32,1.0,1.0,45813.64,14025.64,23640.6,10784.43
70,0.0,0.99,0.001,0.02,linear,0.5,32,0.75,1.0,45869.79,11358.81,32919.93,12639.16
71,0.01,0.99,0.001,0.3,double_middle_drop,0.5,32,0.75,1.0,46165.3,12310.49,27236.85,16407.94
72,0.001,0.99,0.001,0.12,double_middle_drop,0.5,32,0.75,1.0,46213.71,13313.79,23604.13,9638.11
73,0.001,0.99,0.001,0.05,linear,0.5,32,0.25,1.0,46235.25,12273.18,29848.48,12195.07
74,0.0,0.99,0.001,0.12,double_middle_drop,0.5,32,0.5,1.0,46276.26,11574.09,27333.73,13144.14
75,0.001,0.99,0.001,0.3,linear,0.5,32,0.5,1.0,46485.08,12210.48,29940.4,19043.51
76,0.01,0.99,0.001,0.02,linear,0.5,32,1.0,1.0,46567.11,11636.34,31859.11,7680.78
77,0.01,0.99,0.001,0.02,linear,0.5,32,0.5,1.0,46774.69,10747.92,33877.07,8469.69
78,0.01,0.99,0.001,0.12,linear,0.5,32,0.25,1.0,46987.55,11448.36,31760.46,15262.08
79,0.01,0.99,0.001,0.12,double_middle_drop,0.5,32,1.0,1.0,47314.09,11283.05,29195.59,8684.62
80,0.01,0.99,0.001,0.05,linear,0.5,32,0.25,1.0,47387.64,12177.11,29572.38,15704.01
81,0.01,0.99,0.001,0.12,double_middle_drop,0.5,32,0.75,1.0,47436.56,11931.74,25418.49,9564.88
82,0.01,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,47467.86,11857.46,31422.46,21290.8
83,0.001,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,47877.26,11337.61,31544.83,18509.31
84,0.01,0.99,0.001,0.3,linear,0.5,32,1.0,1.0,47884.61,11336.67,28233.13,8900.2
85,0.0,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,48149.6,11487.19,32693.08,19484.06
86,0.0,0.99,0.001,0.02,linear,0.5,32,1.0,1.0,48317.01,11124.9,34124.04,7329.07
87,0.001,0.99,0.001,0.12,double_middle_drop,0.5,32,1.0,1.0,48345.34,11072.08,28998.35,11206.65
88,0.001,0.99,0.001,0.3,double_middle_drop,0.5,32,1.0,1.0,48351.1,12150.87,28570.99,19413.49
89,0.01,0.99,0.001,0.3,double_middle_drop,0.5,32,1.0,1.0,48405.66,10190.74,32107.52,17589.56
90,0.0,0.99,0.001,0.3,double_middle_drop,0.5,32,1.0,1.0,48442.13,10923.71,29201.14,20135.56
91,0.001,0.99,0.001,0.02,linear,0.5,32,0.5,1.0,48597.94,10039.38,36318.27,12918.78
92,0.0,0.99,0.001,0.12,double_middle_drop,0.5,32,0.75,1.0,48640.19,10762.24,30312.91,11910.03
93,0.001,0.99,0.001,0.3,constant,0.5,32,0.5,1.0,48653.95,10479.59,33043.91,22576.47
94,0.001,0.99,0.001,0.02,linear,0.5,32,0.75,1.0,48676.65,9400.58,36574.84,11991.8
95,0.001,0.99,0.001,0.3,linear,0.5,32,0.75,1.0,48766.77,10692.18,32810.54,20639.89
96,0.0,0.99,0.001,0.05,linear,0.5,32,0.5,1.0,48849.85,10072.7,36959.9,18601.24
97,0.01,0.99,0.001,0.3,linear,0.5,32,0.25,1.0,49224.31,10336.98,32023.09,18556.47
98,0.001,0.99,0.001,0.3,double_middle_drop,0.5,32,0.75,1.0,49426.14,8938.72,38517.78,18685.54
99,0.0,0.99,0.001,0.02,linear,0.5,32,0.25,1.0,49491.39,9651.46,37817.53,8778.11
100,0.0,0.99,0.001,0.3,linear,0.5,32,0.5,1.0,49860.83,9332.94,36052.09,22803.4
101,0.1,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,50121.5,7901.17,41576.61,1832.33
102,0.001,0.99,0.001,0.12,constant,0.5,32,0.75,1.0,50500.87,9823.08,33967.53,16037.42
103,0.1,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,50767.18,7245.24,44268.72,2658.03
104,0.1,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,50809.31,7671.83,44166.5,3226.58
105,0.1,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,50909.56,7377.28,47169.28,5101.26
106,0.01,0.99,0.001,0.12,double_middle_drop,0.5,32,0.5,1.0,50918.03,8397.33,36637.73,17228.09
107,0.0,0.99,0.001,0.3,double_middle_drop,0.5,32,0.25,1.0,50970.06,8810.78,38648.43,23351.87
108,0.001,0.99,0.001,0.12,constant,0.5,32,0.25,1.0,51254.39,9009.62,34679.42,16084.49
109,0.01,0.99,0.001,0.3,constant,0.5,32,0.5,1.0,51303.6,8722.37,37602.17,20927.97
110,0.0,0.99,0.001,0.3,constant,0.5,32,0.25,1.0,51371.2,9712.97,36082.98,20602.09
111,0.001,0.99,0.001,0.02,linear,0.5,32,0.25,1.0,51511.36,7263.33,43206.52,16139.73
112,0.1,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,51537.06,7519.52,44610.71,2050.71
113,0.001,0.99,0.001,0.12,double_middle_drop,0.5,32,0.25,1.0,51545.71,8210.36,36181.03,18758.52
114,0.0,0.99,0.001,0.3,double_middle_drop,0.5,32,0.5,1.0,51580.83,8996.34,39040.67,22753.9
115,0.1,0.99,0.001,0.05,linear,0.5,32,0.75,1.0,51884.08,6946.61,45434.15,3694.99
116,0.01,0.99,0.001,0.02,linear,0.5,32,0.25,1.0,52128.51,7796.64,43058.93,14840.94
117,0.1,0.99,0.001,0.05,linear,0.5,32,0.25,1.0,52238.44,6466.8,46663.28,6478.8
118,0.1,0.99,0.001,0.02,constant,0.5,32,0.5,1.0,52242.76,6511.73,45713.76,1544.4
119,0.001,0.99,0.001,0.05,double_middle_drop,0.5,32,0.25,1.0,52294.39,6609.03,40631.67,8400.57
120,0.0,0.99,0.001,0.3,linear,0.5,32,0.25,1.0,52576.2,9505.71,36109.51,18671.96
121,0.1,0.99,0.001,0.05,constant,0.5,32,0.25,1.0,52616.46,6454.95,47319.33,4960.59
122,0.0,0.99,0.001,0.12,double_middle_drop,0.5,32,0.25,1.0,52669.45,10058.54,32852.98,10079.49
123,0.0,0.99,0.001,0.05,double_middle_drop,0.5,32,1.0,1.0,52768.55,7054.51,38297.58,2509.75
124,0.0,0.99,0.001,0.12,double_middle_drop,0.5,32,1.0,1.0,52920.7,8280.1,36582.01,13692.81
