,ent_coef,gamma,kfac_clip,learning_rate,lr_schedule,max_grad_norm,n_steps,vf_coef,vf_fisher_coef,mean_auc,std_auc,mean_fer,std_fer
1,0.0,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,44063.24,13486.46,23035.33,8996.51
2,0.001,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,44434.07,13874.83,22878.89,9181.94
3,0.001,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,44443.5,13732.87,21748.08,14816.93
4,0.0,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,44493.31,13544.75,23080.51,12640.97
5,0.0,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,44900.23,14225.01,19372.37,13968.93
6,0.001,0.99,0.001,0.3,constant,0.5,32,1.0,1.0,44987.06,12777.99,23473.8,17866.87
7,0.01,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,45408.06,12403.75,27908.76,8388.35
8,0.0,0.99,0.001,0.12,constant,0.5,32,0.75,1.0,45838.23,12851.71,23350.35,14436.51
9,0.01,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,45996.73,12316.33,27672.57,5946.42
10,0.001,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,46023.97,12566.46,26594.57,12951.9
11,0.01,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,46097.11,12183.85,26615.29,10107.24
12,0.0,0.99,0.001,0.05,linear,0.5,32,1.0,1.0,46164.67,12431.16,30296.36,6380.19
13,0.001,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,46235.47,13038.99,22267.23,13222.76
14,0.0,0.99,0.001,0.05,linear,0.5,32,0.5,1.0,46268.42,12438.46,30423.03,6212.81
15,0.01,0.99,0.001,0.05,constant,0.5,32,0.75,1.0,46296.81,12402.81,25806.34,9637.92
16,0.001,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,46394.61,12577.71,24874.4,11788.04
17,0.0,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,46479.57,12425.4,25989.41,11096.68
18,0.001,0.99,0.001,0.05,linear,0.5,32,0.5,1.0,46537.72,11240.19,31204.18,7784.53
19,0.0,0.99,0.001,0.05,linear,0.5,32,0.75,1.0,46615.36,11517.87,32186.55,7439.74
20,0.001,0.99,0.001,0.05,constant,0.5,32,0.75,1.0,46665.59,12549.26,28255.1,14967.1
21,0.001,0.99,0.001,0.05,constant,0.5,32,0.5,1.0,46742.93,12345.88,24789.51,14256.72
22,0.001,0.99,0.001,0.05,linear,0.5,32,1.0,1.0,46792.43,11841.38,31360.77,10203.59
23,0.001,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,46812.59,12231.82,28737.5,12886.81
24,0.001,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,47011.93,11862.66,28894.41,11396.78
25,0.0,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,47047.34,12397.68,25937.13,11397.75
26,0.01,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,47056.04,11906.81,28162.67,6893.83
27,0.0,0.99,0.001,0.05,constant,0.5,32,0.5,1.0,47075.45,11764.79,27745.37,11777.8
28,0.0,0.99,0.001,0.02,constant,0.5,32,0.5,1.0,47218.61,11227.63,27762.53,14757.59
29,0.0,0.99,0.001,0.3,constant,0.5,32,0.75,1.0,47257.95,12551.03,24962.46,9952.18
30,0.001,0.99,0.001,0.02,constant,0.5,32,0.5,1.0,47415.19,11414.7,29212.52,12599.62
31,0.001,0.99,0.001,0.3,linear,0.5,32,0.75,1.0,47437.54,10931.43,29871.99,19196.52
32,0.0,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,47496.1,11928.05,26936.18,13688.07
33,0.01,0.99,0.001,0.05,linear,0.5,32,1.0,1.0,47593.28,11172.72,34640.22,9624.53
34,0.0,0.99,0.001,0.3,double_middle_drop,0.5,32,1.0,1.0,47856.52,12263.55,27243.58,13130.25
35,0.01,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,47915.84,10733.59,32520.91,11921.99
36,0.001,0.99,0.001,0.02,constant,0.5,32,0.25,1.0,48188.52,11257.28,27406.58,8870.76
37,0.01,0.99,0.001,0.3,double_middle_drop,0.5,32,0.75,1.0,48331.45,9904.81,32949.89,14448.25
38,0.01,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,48336.38,11245.97,30008.81,13025.3
39,0.001,0.99,0.001,0.05,linear,0.5,32,0.75,1.0,48495.34,11216.57,33390.34,10292.99
40,0.0,0.99,0.001,0.05,constant,0.5,32,0.75,1.0,48541.0,11421.55,29294.83,9849.05
41,0.001,0.99,0.001,0.3,constant,0.5,32,0.75,1.0,48551.64,10279.98,30041.61,15424.69
42,0.01,0.99,0.001,0.05,linear,0.5,32,0.75,1.0,48628.49,10247.07,35564.14,9641.06
43,0.01,0.99,0.001,0.12,constant,0.5,32,0.75,1.0,48670.19,10949.13,30417.68,14643.91
44,0.01,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,48682.59,10537.51,32043.59,10901.9
45,0.01,0.99,0.001,0.05,constant,0.5,32,0.5,1.0,48712.92,10710.82,31429.86,11284.81
46,0.001,0.99,0.001,0.3,linear,0.5,32,1.0,1.0,48773.14,11517.79,29262.29,8081.07
47,0.001,0.99,0.001,0.3,double_middle_drop,0.5,32,1.0,1.0,48816.53,10413.14,33353.03,15704.45
48,0.01,0.99,0.001,0.02,constant,0.5,32,0.25,1.0,48981.27,10471.89,32518.33,7247.44
49,0.0,0.99,0.001,0.05,linear,0.5,32,0.25,1.0,49468.39,9871.88,36558.13,11512.91
50,0.0,0.99,0.001,0.02,linear,0.5,32,1.0,1.0,49515.36,9554.87,37654.5,4836.93
51,0.0,0.99,0.001,0.3,constant,0.5,32,0.5,1.0,49545.67,10233.62,31090.98,14380.87
52,0.001,0.99,0.001,0.02,linear,0.5,32,0.5,1.0,49691.72,8926.1,38476.83,5190.33
53,0.001,0.99,0.001,0.3,constant,0.5,32,0.25,1.0,49837.93,9482.83,34642.22,17282.46
54,0.01,0.99,0.001,0.3,constant,0.5,32,0.75,1.0,49950.76,9691.71,34944.19,15921.24
55,0.01,0.99,0.001,0.05,linear,0.5,32,0.5,1.0,50189.3,9263.25,37616.36,9693.38
56,0.0,0.99,0.001,0.02,constant,0.5,32,0.25,1.0,50287.85,10173.31,33641.02,12191.03
57,0.0,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,50290.55,9516.57,35050.64,13793.15
58,0.01,0.99,0.001,0.3,constant,0.5,32,1.0,1.0,50319.45,9416.66,33798.71,9895.16
59,0.0,0.99,0.001,0.3,linear,0.5,32,0.75,1.0,50477.71,9393.56,33629.93,16003.39
60,0.0,0.99,0.001,0.12,double_middle_drop,0.5,32,1.0,1.0,50666.25,10055.81,35018.22,5756.36
61,0.001,0.99,0.001,0.12,constant,0.5,32,0.75,1.0,50976.28,9361.65,35081.05,12477.88
62,0.01,0.99,0.001,0.12,double_middle_drop,0.5,32,0.5,1.0,51005.67,8504.86,36919.95,7155.68
63,0.001,0.99,0.001,0.12,linear,0.5,32,0.25,1.0,51012.92,8891.13,36769.12,14309.13
64,0.01,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,51033.91,9730.13,35730.67,8184.32
65,0.01,0.99,0.001,0.12,double_middle_drop,0.5,32,1.0,1.0,51092.04,8492.22,35726.74,4699.18
66,0.001,0.99,0.001,0.3,linear,0.5,32,0.5,1.0,51108.37,9342.25,35579.45,12940.71
67,0.01,0.99,0.001,0.12,double_middle_drop,0.5,32,0.75,1.0,51132.92,8593.71,36037.9,7637.71
68,0.01,0.99,0.001,0.3,linear,0.5,32,0.5,1.0,51349.4,8576.25,38316.36,9066.37
69,0.01,0.99,0.001,0.3,linear,0.5,32,1.0,1.0,51449.97,9151.91,37051.75,9941.61
70,0.0,0.99,0.001,0.02,linear,0.5,32,0.75,1.0,51517.72,8170.75,42084.06,7216.1
71,0.001,0.99,0.001,0.05,constant,0.5,32,0.25,1.0,51596.85,8677.7,37964.21,18484.26
72,0.0,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,51707.2,8460.65,37967.69,14587.27
73,0.0,0.99,0.001,0.12,linear,0.5,32,0.25,1.0,51725.2,8562.8,38504.53,11412.51
74,0.001,0.99,0.001,0.3,double_middle_drop,0.5,32,0.75,1.0,51733.26,8560.3,36946.34,14285.15
75,0.001,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,51736.04,9092.02,36864.03,15826.75
