,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
1,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,0.5,63177.89,856.53,62389.82,966.76
2,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,0.5,63005.78,901.56,62252.69,1027.0
3,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,0.75,62969.44,985.79,61815.72,1195.29
4,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,0.25,62876.5,934.22,61989.07,1410.95
5,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,0.75,62798.19,1116.58,61457.08,1437.26
6,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,0.25,62763.24,1138.34,61377.1,1266.33
7,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,0.25,62738.1,1159.21,61326.8,1134.92
8,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,0.25,62719.09,1165.3,61260.87,1646.46
9,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,0.25,62666.85,1230.66,61354.98,1699.48
10,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,1.0,62629.42,1110.87,61378.86,1164.25
11,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,1.0,62629.34,1186.7,61370.18,835.48
12,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,0.75,62623.19,926.56,61442.84,1509.31
13,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,0.5,62603.41,1195.87,61193.88,1472.86
14,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,0.5,62578.39,1259.34,61097.7,1152.63
15,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,1.0,62545.12,1256.47,61102.42,1144.04
16,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,1.0,62506.43,1182.91,60939.52,1797.07
17,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,0.75,62444.26,1413.53,60266.86,1364.04
18,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,1.0,62359.46,1178.85,60048.08,3373.9
19,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,0.5,62356.03,1209.8,60554.24,1479.97
20,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,0.75,62354.37,1298.75,60571.23,1810.5
21,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,1.0,62293.96,1174.24,60926.85,1205.69
22,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,1.0,62258.15,1370.03,59457.61,3314.71
23,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,0.5,62217.76,1383.32,60085.01,2972.27
24,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,0.75,62203.39,1472.68,59513.04,3339.31
25,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,0.25,62158.85,1455.27,59531.18,2588.28
26,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,0.25,62099.07,1554.31,59339.37,3421.86
27,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.5,62028.82,1383.06,59962.34,2246.4
28,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,0.5,62026.69,1595.62,58436.57,3563.05
29,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,0.75,61981.16,1458.2,58812.51,2728.08
30,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,0.5,61977.96,1458.03,59126.88,2958.58
31,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,0.75,61835.87,1724.46,58150.28,2802.75
32,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,1.0,61788.97,1771.28,58145.85,3677.5
33,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,1.0,61724.93,1698.88,58718.05,3448.17
34,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,0.5,61497.45,1967.15,58212.96,2960.46
35,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.25,61474.99,1714.94,58691.22,3229.33
36,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.75,61319.35,1425.32,61633.2,2136.51
37,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.25,61284.42,2132.8,57784.34,3905.64
38,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.5,61230.88,2052.19,57237.64,3832.84
39,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,1.0,61218.71,2272.91,56492.85,6355.3
40,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,0.25,61166.91,2564.77,55702.12,6126.03
41,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,0.75,61075.3,2139.19,56930.69,4094.5
42,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.25,61061.16,1845.36,58338.71,3425.73
43,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.25,60993.36,2352.18,56692.76,3222.28
44,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,0.25,60849.36,2354.88,56638.69,4584.67
45,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.25,60830.87,1777.19,60943.23,2945.58
46,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.75,60786.24,2217.18,56282.09,2767.48
47,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.5,60781.56,1574.86,60914.29,3244.63
48,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.75,60710.14,2542.04,56241.9,4226.66
49,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,1.0,60638.87,1642.58,60931.02,2046.91
50,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,1.0,60407.73,2831.32,55303.0,4601.16
51,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.75,60385.67,2965.85,55127.53,3706.44
52,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.5,60266.42,3364.93,54169.82,5073.78
53,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.75,60265.67,2503.84,57267.15,3138.69
54,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,1.0,60231.09,2918.03,54568.75,3978.17
