,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
1,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.25,27322.42,16539.51,48630.99,16510.41
2,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,0.5,25731.29,15454.9,46340.51,17179.51
3,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,0.75,24322.24,13547.32,39052.46,19346.42
4,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,1.0,23053.1,13292.18,35442.88,21430.35
5,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,1.0,22762.52,15022.58,46164.28,15969.47
6,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,1.0,22204.14,13090.38,39900.67,22284.42
7,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,0.5,21624.15,14104.46,44565.6,14784.53
8,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,0.25,21348.63,14046.65,40792.03,20713.37
9,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,0.75,19916.84,12207.18,35000.38,18554.61
10,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,1.0,19384.16,11625.62,32430.47,18511.01
11,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,0.75,18561.55,10944.73,33932.26,20032.81
12,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,0.5,18092.79,11885.61,34921.1,22883.64
13,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.25,17860.38,11287.81,36286.45,21470.32
14,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.5,17661.63,9442.52,29014.35,21706.79
15,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.25,16406.44,10388.25,29550.3,21698.83
16,0.2,0.2,0.001,0.99,0.95,0.00052,0.5,32,4,4,1.0,16380.53,10517.69,34214.37,20380.92
17,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,1.0,16346.25,10863.76,36256.19,17272.69
18,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,0.75,16074.25,10224.59,32002.44,19220.23
19,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,1.0,15893.71,9496.26,27814.46,21730.89
20,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.75,15606.68,9665.87,31503.92,19835.93
21,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.75,15094.87,7945.35,27005.53,16523.42
22,0.2,0.2,0.001,0.99,0.95,0.00037,0.5,32,4,4,0.25,15033.07,9876.23,32129.39,16489.24
23,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.5,14951.36,8668.84,25936.7,19740.58
24,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,1.0,14791.27,9262.66,30156.12,20984.51
25,0.2,0.2,0.001,0.99,0.95,0.00052,0.5,32,4,4,0.75,14375.57,9031.82,29196.84,22748.08
26,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,0.25,14281.39,9808.17,31864.42,20029.88
27,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,0.5,14249.01,8354.15,24482.81,19439.92
28,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,0.75,14232.48,9200.77,29689.37,17459.51
29,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,0.5,14151.67,9086.99,28153.14,21933.35
30,0.2,0.2,0.001,0.99,0.95,0.00052,0.5,32,4,4,0.25,14105.71,9136.59,30505.68,22233.19
31,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,0.75,13737.49,8979.24,30567.73,14390.26
32,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,0.25,13634.57,8954.33,30767.71,17098.88
33,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,0.25,13140.1,8649.48,30447.7,11112.51
34,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,0.25,12503.77,8066.94,25533.98,16781.0
35,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,0.25,12436.33,7186.18,22397.88,16470.79
36,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,1.0,12414.5,7480.67,24105.99,15562.69
37,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,1.0,12394.94,7441.51,26611.55,12031.94
38,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,0.25,11762.4,7010.71,22392.72,22027.64
39,0.2,0.2,0.001,0.99,0.95,0.00037,0.5,32,4,4,0.5,11741.09,7532.81,25308.1,16737.67
40,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.75,11344.96,7010.29,23440.67,17701.68
41,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,1.0,10922.45,6862.93,23670.16,21169.59
42,0.2,0.2,0.001,0.99,0.95,0.00052,0.5,32,4,4,0.5,10859.68,6207.13,21505.19,15429.7
43,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.5,10765.79,6599.64,23708.63,18400.65
