,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
1,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,1.0,18763.12,12158.07,38388.01,19343.34
2,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,1.0,18223.77,12576.73,38531.32,15931.98
3,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,1.0,16234.63,11161.04,36312.22,13710.09
4,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,0.75,15364.11,9082.39,28955.66,17360.69
5,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.25,15205.93,10455.76,34301.47,19751.75
6,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.25,15188.61,10943.5,35220.24,22806.93
7,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.75,14094.89,9784.73,31384.36,21531.68
8,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.5,13532.46,9031.53,28407.4,20127.8
9,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,0.25,12952.05,8391.84,26874.26,18569.74
10,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.25,12846.22,8011.41,26280.61,19554.45
11,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,1.0,12800.26,8841.94,29143.37,20097.66
12,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,1.0,12746.62,8128.5,26240.21,16540.09
13,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,0.5,12302.11,7343.53,25203.74,19322.25
14,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.5,12086.73,8261.07,19530.52,16986.99
15,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,0.5,11495.3,7190.05,24437.87,17665.29
16,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,0.75,11488.51,6957.17,24099.63,17974.48
