,number,value,datetime_start,datetime_complete,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,system_attrs__number,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,-53.63679885864258,2020-03-03 10:40:07.951151,2020-03-03 11:34:29.882945,0.010130230408794483,0.995,0.1664672261412471,constant,2048,0.8472517387841254,0,-51.945465087890625,-43.62456512451172,,COMPLETE
1,1,-27.125255584716797,2020-03-03 10:40:07.955372,2020-03-03 11:41:25.116969,0.017474751375464996,0.99,0.001541473476191709,linear,512,0.9636627605010293,1,-43.151649475097656,-31.237030029296875,-28.27814292907715,COMPLETE
2,2,-0.4872187674045563,2020-03-03 10:40:07.958298,2020-03-03 10:45:29.508065,2.29002491091441e-05,0.98,0.11503861485898582,linear,32,0.3927847961008297,2,-0.4872187674045563,,,PRUNED
3,3,-30.91775894165039,2020-03-03 10:40:07.960913,2020-03-03 10:57:38.947051,1.385251987955608e-08,0.95,2.7267573880087282e-05,linear,512,0.832619845547938,3,-33.593284606933594,-30.91775894165039,,PRUNED
4,4,-39.48214340209961,2020-03-03 10:40:07.963602,2020-03-03 10:47:35.131858,2.0665994854266004e-05,0.9999,0.22409712855921102,constant,2048,0.8009107519796442,4,-39.48214340209961,,,PRUNED
5,5,-41.893646240234375,2020-03-03 10:45:30.339017,2020-03-03 10:53:24.068704,0.00030161098106203446,0.999,3.902762553553292e-05,constant,128,0.1433532874090464,5,-41.893646240234375,,,PRUNED
6,6,-21.772836685180664,2020-03-03 10:47:36.482342,2020-03-03 10:57:52.716111,7.110322261590111e-07,0.9,0.0011838854959491769,linear,2048,0.7742336894342167,6,-21.772836685180664,,,PRUNED
7,7,-24.195362091064453,2020-03-03 10:53:24.999091,2020-03-03 10:59:51.679184,0.00021059520545246572,0.995,1.2415065128756008e-05,linear,64,0.6120957227224214,7,-24.195362091064453,,,PRUNED
8,8,-1.4392521381378174,2020-03-03 10:57:39.868745,2020-03-03 11:04:35.740733,1.411399402935818e-05,0.995,0.32583098225434753,constant,32,0.6130634578841324,8,-1.4392521381378174,,,PRUNED
9,9,-28.9559383392334,2020-03-03 10:57:54.642503,2020-03-03 11:04:57.692983,0.00046490798786138425,0.95,2.0004484210638843e-05,constant,32,0.6706378696181594,9,-28.9559383392334,,,PRUNED
10,10,-6.484611511230469,2020-03-03 10:59:52.318522,2020-03-03 11:06:36.403404,0.00017981034777269663,0.9999,0.05668011282865973,constant,64,0.3250472290083525,10,-6.484611511230469,,,PRUNED
11,11,-0.29517003893852234,2020-03-03 11:04:36.478750,2020-03-03 11:11:54.678847,5.179808157327732e-08,0.98,0.8747202693855005,constant,256,0.2088767560948347,11,-0.29517003893852234,,,PRUNED
12,12,-40.879154205322266,2020-03-03 11:04:58.378894,2020-03-03 11:12:16.970219,7.953899836000798e-06,0.99,0.008114310965449317,linear,256,0.4746975022884129,12,-40.879154205322266,,,PRUNED
13,13,-36.87940216064453,2020-03-03 11:06:37.154345,2020-03-03 11:15:13.490472,0.0003929227059553404,0.98,3.563491324493146e-05,constant,2048,0.1381829513486138,13,-36.87940216064453,,,PRUNED
14,14,-40.363922119140625,2020-03-03 11:11:55.483177,2020-03-03 11:18:44.698388,1.2445187648498936e-08,0.95,0.02054160315302581,linear,128,0.6228460955466695,14,-40.363922119140625,,,PRUNED
15,15,-0.0,2020-03-03 11:12:17.539303,2020-03-03 11:19:55.255010,1.9079123162228955e-05,0.995,0.7626009203461765,linear,64,0.9767610881903371,15,-0.0,,,PRUNED
16,16,-39.21347427368164,2020-03-03 11:15:14.209754,2020-03-03 11:22:13.650952,9.542204902104122e-07,0.999,1.5701421102720525e-05,constant,32,0.1201965612131689,16,-39.21347427368164,,,PRUNED
17,17,-29.09088706970215,2020-03-03 11:18:46.260675,2020-03-03 11:48:28.880560,7.940374054212897e-06,0.99,0.00038896981199111895,constant,64,0.06414749634878436,17,-71.20773315429688,-50.129520416259766,-29.630878448486328,COMPLETE
18,18,-17.815731048583984,2020-03-03 11:19:56.138898,2020-03-03 11:28:35.793759,3.654119321351701e-05,0.98,0.21159860807681924,constant,1024,0.9167229540194608,18,-17.815731048583984,,,PRUNED
19,19,-0.0,2020-03-03 11:22:14.302002,2020-03-03 11:30:57.502780,1.6981758763314855e-06,0.98,0.443078817393754,linear,32,0.6674103799636817,19,-0.0,,,PRUNED
