#{"t_start": 1581957988.2825582, "env_id": "myPandaFreeSpace1Goal-v0"}
r,l,t
303.068453,1000,24.843575
638.926349,1000,35.16881
551.500942,1000,45.558031
296.518474,1000,55.846593
622.145024,1000,66.052048
279.469797,1000,76.45585
165.63229,1000,86.659465
282.202341,1000,96.871349
343.976854,1000,107.135381
238.832697,1000,117.739917
202.766666,1000,128.389731
356.582255,1000,138.814357
481.459494,1000,149.137764
500.521883,1000,159.515533
319.638827,1000,170.090479
252.543109,1000,180.714963
220.934944,1000,191.37695
308.885567,1000,201.670649
478.949384,1000,212.012184
478.757667,1000,222.318465
537.825497,1000,232.515966
677.33342,1000,242.869822
879.347189,1000,253.266961
948.495073,1000,263.540229
872.182647,1000,274.049148
967.921171,1000,284.553342
1286.981389,1000,294.756149
1151.698314,1000,305.024863
1264.982671,1000,315.233295
1432.356629,1000,325.422174
1551.774433,1000,335.593004
1684.746532,1000,345.817966
1463.85829,1000,356.047133
1483.41876,1000,366.367615
1451.74597,1000,376.706633
1584.02537,1000,386.923271
1671.234425,1000,397.235743
1687.549567,1000,407.44927
1664.331497,1000,417.622026
1640.895271,1000,427.798862
1738.792477,1000,438.058741
1569.672846,1000,448.364922
1684.377878,1000,458.729439
1957.107505,1000,469.141252
2032.654367,1000,479.544463
2719.496924,1000,489.820993
2492.319874,1000,500.07476
114.048043,1000,511.157069
607.299826,1000,521.317248
2382.638019,1000,531.507161
3664.158154,1000,541.73087
2987.791533,1000,551.963602
5517.082805,1000,562.142996
1481.17973,1000,572.496043
3792.606275,1000,582.618847
3081.038317,1000,592.839609
3196.261128,1000,603.026512
3723.365554,1000,613.171349
2845.583206,1000,623.330858
2441.718432,1000,633.567291
4151.127633,1000,643.747208
2889.681818,1000,653.915159
4670.900833,1000,664.048521
4906.811717,1000,674.267739
4085.318115,1000,684.487646
4698.186263,1000,694.599774
6737.189296,1000,704.648094
8229.958977,1000,714.673545
4166.287824,1000,724.799992
5249.619014,1000,734.836335
5347.791814,1000,744.911214
3212.653745,1000,754.972247
6048.938518,1000,765.006092
7559.327082,1000,775.110086
4040.376247,1000,785.108657
1152.084923,1000,795.10751
207.686802,1000,805.078554
178.220887,1000,815.13387
182.920162,1000,825.256094
215.255978,1000,835.321399
