#{"t_start": 1581534654.8725367, "env_id": "myPandaFreeSpaceTraj-v0"}
r,l,t
606.85921,1000,22.910563
484.021211,1000,36.955862
669.453856,1000,50.923208
736.810896,1000,64.766862
421.719801,1000,78.87622
300.991259,1000,93.276906
1290.149341,1000,107.591721
360.782667,1000,122.068719
558.626097,1000,136.381536
484.662502,1000,151.044263
741.937986,1000,165.443675
249.510052,1000,180.036165
1184.431781,1000,194.6822
398.966711,1000,209.290982
1303.934406,1000,223.724935
1099.415435,1000,238.246862
1099.972723,1000,252.826516
905.912209,1000,267.173958
943.878283,1000,281.548812
1096.871692,1000,295.98332
1222.038057,1000,310.336179
1414.233237,1000,324.549991
1318.116388,1000,338.930845
1572.96219,1000,353.68475
1485.991259,1000,368.134868
1414.658244,1000,382.632677
668.995044,1000,397.495964
1182.113454,1000,411.913878
2011.027495,1000,426.573799
2321.458272,1000,441.0743
2453.161208,1000,455.607785
1861.401877,1000,470.182445
2353.585085,1000,484.424575
1874.887908,1000,498.746038
1778.230287,1000,512.985206
1489.505428,1000,527.518368
1148.459395,1000,541.951998
997.870128,1000,556.538027
1442.179801,1000,571.120846
2218.619629,1000,585.277794
2319.796538,1000,599.436153
2333.183346,1000,613.641832
2595.575191,1000,627.794333
3261.382219,1000,642.067422
2048.654097,1000,656.072022
2857.2115,1000,670.189898
3015.137,1000,684.248921
2987.319463,1000,698.114665
3638.884834,1000,712.292998
3200.557201,1000,726.396961
2779.396404,1000,740.602628
2969.175018,1000,754.81425
4001.181343,1000,769.100338
5493.884909,1000,783.210221
3868.347292,1000,797.339364
3830.885994,1000,811.324341
4094.829585,1000,825.258043
2967.229322,1000,839.239748
3918.596408,1000,853.35519
4211.353322,1000,867.349933
4691.026649,1000,881.392253
3377.480009,1000,895.13364
3165.32779,1000,909.053412
3860.958053,1000,922.962279
4056.39601,1000,936.907994
3395.662221,1000,951.027495
4340.756321,1000,964.958815
4011.571415,1000,978.901843
3327.430317,1000,992.720759
4419.004471,1000,1006.701978
3850.547339,1000,1021.06661
3765.212522,1000,1035.071603
3584.449518,1000,1049.045634
3996.095228,1000,1062.984664
4029.372035,1000,1077.075025
4586.644049,1000,1091.156719
3996.354761,1000,1105.080733
4365.775689,1000,1119.18965
3657.431412,1000,1132.953952
3847.661026,1000,1146.694601
4408.655589,1000,1160.540627
5248.146425,1000,1174.502712
4333.893594,1000,1188.567419
4789.964447,1000,1202.56652
6235.17799,1000,1216.32116
6166.14324,1000,1230.364211
4347.942943,1000,1244.120285
1574.808699,1000,1258.656231
2620.47105,1000,1272.832731
3041.307861,1000,1287.355886
3195.042085,1000,1301.796416
3428.115023,1000,1316.424079
3653.434413,1000,1330.74992
3807.603188,1000,1345.023837
4032.859497,1000,1359.300354
4678.491301,1000,1373.344645
4394.775495,1000,1387.289211
5251.018601,1000,1400.910058
5601.811779,1000,1414.30004
5446.105739,1000,1428.080261
