#{"env_id": null, "t_start": 1581981068.0690978}
r,l,t
19.219442,1000,31.69775
27.679539,1000,57.952165
210.007753,1000,82.275939
1391.650945,1000,106.406193
267.084571,1000,137.255509
365.1355,1000,169.203415
357.117107,1000,198.083138
468.110522,1000,228.767846
508.186353,1000,259.826968
810.866265,1000,290.440224
1095.758576,1000,320.658987
1429.970483,1000,349.655124
1240.361212,1000,381.184064
1460.144547,1000,410.898605
7734.935841,1000,441.483831
17257.648657,1000,473.87655
24771.7674,1000,505.973208
10005.368272,1000,536.907174
17055.437428,1000,566.890448
35930.616556,1000,599.683014
11185.948776,1000,631.216388
12262.415612,1000,660.475378
13210.511256,1000,688.962572
14778.825648,1000,719.523964
13990.036751,1000,748.824356
19954.65709,1000,780.435568
22689.532592,1000,811.449952
36799.982073,1000,842.184376
58651.748268,1000,874.232306
70721.220729,1000,906.783323
13552.04283,1000,936.38692
15003.927919,1000,968.115445
16166.514384,1000,998.370105
16032.135601,1000,1028.193282
21055.388938,1000,1058.65509
44056.972423,1000,1088.607595
30339.039715,1000,1120.270445
34521.740801,1000,1151.021627
28898.708798,1000,1181.371813
38101.635087,1000,1211.471273
39291.321144,1000,1242.445193
32530.375566,1000,1272.299937
49852.040042,1000,1303.463253
51923.877372,1000,1336.345064
49896.148872,1000,1369.277272
35733.670892,1000,1400.888129
43748.632126,1000,1432.637206
50988.211041,1000,1464.510054
60211.927444,1000,1495.328701
58765.77681,1000,1523.835977
74157.675546,1000,1553.781875
51017.180099,1000,1582.446149
80222.388032,1000,1612.804693
73991.339737,1000,1642.470093
77903.896837,1000,1672.331778
76513.431126,1000,1704.077286
83949.464263,1000,1734.18731
85826.879883,1000,1764.00019
84333.686403,1000,1794.135489
91180.170955,1000,1824.147918
90647.15525,1000,1854.305156
83324.02849,1000,1884.63128
91847.673732,1000,1914.927011
85518.400683,1000,1944.678305
91721.744451,1000,1975.351928
93615.372416,1000,2007.329428
91821.306365,1000,2038.286346
61864.451612,1000,2067.747293
93273.056197,1000,2097.686281
86061.507056,1000,2126.364045
82298.821574,1000,2157.05159
90739.278614,1000,2186.287425
51523.561876,1000,2214.576615
102887.33225,1000,2243.684095
87912.351531,1000,2273.765912
98546.342182,1000,2302.901213
90892.743445,1000,2331.700066
99956.509961,1000,2361.153922
103085.427299,1000,2391.379813
101616.050541,1000,2421.945264
104405.199188,1000,2452.487917
91655.025568,1000,2483.931028
67549.892859,1000,2515.476975
65586.718112,1000,2544.992305
65240.704281,1000,2575.043046
89815.911152,1000,2605.947064
90703.323926,1000,2635.839553
90321.880515,1000,2664.195443
89512.971683,1000,2694.489967
84784.992191,1000,2724.390601
100348.827085,1000,2755.040946
106423.281509,1000,2785.966693
111239.182447,1000,2816.127264
104323.063739,1000,2845.227815
98802.338222,1000,2877.311132
104200.148866,1000,2907.646608
82228.879942,1000,2936.499077
82711.30489,1000,2965.763763
92093.32253,1000,2995.466572
104690.968307,1000,3026.755707
77706.13678,1000,3056.118796
105280.991718,1000,3085.623319
93836.778865,1000,3115.899545
68879.1176,1000,3145.797969
98074.195052,1000,3176.497871
91843.670008,1000,3206.791056
88520.293783,1000,3236.522687
80930.875408,1000,3267.2489
83141.742749,1000,3296.776809
108323.813128,1000,3326.68417
93445.052401,1000,3356.957788
111746.059225,1000,3385.274427
99885.949088,1000,3412.838363
83817.024892,1000,3439.949662
84131.039858,1000,3467.628752
86442.509546,1000,3494.926566
79105.223287,1000,3521.970243
111702.576721,1000,3549.8191
101399.924141,1000,3577.371113
77634.603243,1000,3604.088836
55528.264223,1000,3630.908331
90772.060523,1000,3657.557215
80642.674823,1000,3684.675897
86352.667465,1000,3711.496393
92927.422945,1000,3738.718062
87052.163838,1000,3765.742698
97694.570472,1000,3792.051121
84516.784426,1000,3818.709212
97676.898175,1000,3845.236804
89803.667467,1000,3871.481724
45854.116201,1000,3898.02827
56806.696586,1000,3925.169118
68653.789283,1000,3951.767627
97858.876768,1000,3978.309092
82251.680112,1000,4006.085976
76828.202644,1000,4033.99332
83223.860189,1000,4060.965678
78134.428823,1000,4088.171788
82347.623503,1000,4115.528611
58126.401354,1000,4142.874933
37429.909584,1000,4170.865777
27423.67863,1000,4198.592525
