#{"env_id": "my_panda_free_space_traj", "t_start": 1582826376.6859345}
r,l,t
130.683305,300,18.458529
71.646367,300,31.531825
115.59894,300,44.326801
111.072839,300,56.871443
100.593023,300,69.11857
141.578268,300,80.958292
103.50124,300,92.77617
131.339997,300,105.361028
142.788747,300,117.351071
214.644379,300,129.594618
88.126263,300,141.908611
93.335655,300,153.915562
121.691951,300,165.76726
101.25732,300,177.446037
54.835944,300,189.738704
112.35766,300,201.656441
105.444642,300,214.086407
104.677349,300,226.148349
207.407732,300,238.374692
165.321633,300,250.661247
350.611641,300,261.984818
461.275615,300,273.773076
251.530572,300,285.341346
229.570291,300,296.785113
366.883455,300,308.192595
609.586322,300,319.378778
583.480878,300,330.84363
635.335533,300,341.866751
315.11959,300,353.400598
608.562993,300,364.603011
399.872698,300,375.853363
748.791566,300,386.722833
539.490996,300,397.749616
701.441815,300,409.0384
481.020895,300,419.962968
532.705045,300,430.740145
577.761451,300,441.762063
606.56611,300,452.824687
491.981665,300,463.690143
794.210551,300,475.009254
666.866274,300,486.366225
593.612695,300,497.706873
682.637716,300,508.142046
659.346231,300,519.379258
922.517909,300,530.45078
967.974211,300,541.565511
1066.114943,300,552.378407
810.48991,300,563.471552
1011.272991,300,574.427692
963.849814,300,585.239386
1298.960608,300,596.529743
866.985097,300,607.401417
1099.354767,300,618.283506
1057.686807,300,629.547788
1236.144202,300,640.743954
1170.887859,300,651.398606
1532.703578,300,662.537266
1608.630262,300,673.048781
1729.099998,300,684.260844
1413.75594,300,695.45641
2117.03874,300,706.949171
2121.008306,300,718.033932
2130.360566,300,729.363616
2282.591749,300,740.657763
2126.867284,300,751.771244
2638.282764,300,762.585137
2465.574153,300,773.815401
2413.313548,300,785.042643
2573.444703,300,796.334317
2724.238587,300,807.78319
2586.254287,300,818.753931
2448.196846,300,829.794151
2726.103887,300,840.823614
2722.530335,300,851.498916
2883.783728,300,862.823679
2634.446249,300,873.847522
3172.744991,300,884.995421
2578.602425,300,896.076628
2807.060905,300,907.190087
2802.390543,300,918.535134
2737.586664,300,929.295923
2956.283566,300,940.663723
2725.818551,300,951.776448
2930.779347,300,962.795768
3097.073876,300,973.715263
2824.406245,300,984.894481
2885.234779,300,995.961323
2863.85656,300,1006.840289
2946.434123,300,1017.725207
3008.014128,300,1029.04465
3025.577571,300,1040.45365
2986.680178,300,1051.57993
2908.194778,300,1062.902327
3002.759541,300,1074.638033
3049.926258,300,1086.378912
2747.807712,300,1097.394608
2836.878198,300,1108.769378
3202.7101,300,1120.107486
3001.639478,300,1131.873739
2892.787786,300,1142.842616
2906.436732,300,1154.357212
2479.613154,300,1165.667793
2942.804858,300,1177.042983
3049.288289,300,1188.515523
2914.837975,300,1200.123465
3174.652032,300,1211.784884
2869.95512,300,1223.655441
2667.317404,300,1235.66487
2449.824845,300,1247.549981
2762.818596,300,1259.442443
2792.419242,300,1271.219522
2830.337952,300,1283.246199
2552.868788,300,1295.056956
2745.228926,300,1306.804163
2659.546335,300,1318.828929
2747.316715,300,1330.894958
2441.991692,300,1342.29907
2805.410413,300,1353.827429
2900.189632,300,1365.10023
2304.865722,300,1376.213613
2600.097595,300,1387.471272
