total_timesteps,nupdates,policy_entropy,explained_variance,fps,value_loss,ep_len_mean,ep_reward_mean
35,1,9.93256950378418,0.06262040138244629,97,2.5614030361175537,,
3500,100,9.935140609741211,-0.8803520202636719,197,0.4373036324977875,300.0,164.17687885714284
7000,200,9.937224388122559,-1.5628149509429932,169,0.3906092643737793,300.0,131.30228057142855
10500,300,9.940511703491211,-5.6967692375183105,166,0.3213076889514923,300.0,128.0165982
14000,400,9.950050354003906,-1.2740988731384277,175,0.2281060665845871,300.0,123.76725602380954
17500,500,9.967673301696777,-0.9287790060043335,172,0.2180074006319046,300.0,127.65271730357141
21000,600,9.993637084960938,-0.4807102680206299,169,0.22046628594398499,300.0,125.50837592857141
24500,700,10.049257278442383,-0.8487207889556885,174,0.04161432385444641,300.0,124.57237522077922
28000,800,10.118895530700684,-1.2706270217895508,172,0.07977992296218872,300.0,122.76189414285713
31500,900,10.17873477935791,-0.7858473062515259,171,0.2506830096244812,300.0,119.79999004
35000,1000,10.24504280090332,-1.1075451374053955,174,0.049444399774074554,300.0,120.84529634
38500,1100,10.283571243286133,0.14268779754638672,172,0.39381709694862366,300.0,123.12988619
42000,1200,10.315542221069336,-0.9118518829345703,171,1.666060447692871,300.0,127.19907198999998
45500,1300,10.314485549926758,0.38899731636047363,174,0.03241787850856781,300.0,132.41569886
49000,1400,10.378059387207031,0.9001084268093109,173,0.023217441514134407,300.0,158.84445892000002
52500,1500,10.453086853027344,-0.22828161716461182,173,15.729631423950195,300.0,195.27174173
56000,1600,10.524457931518555,-0.80433189868927,176,0.017865978181362152,300.0,216.36898084
59500,1700,10.588260650634766,0.7033912837505341,175,0.03600514680147171,300.0,279.29923308
63000,1800,10.704418182373047,-4.86789083480835,175,10.230490684509277,300.0,322.92178437999996
66500,1900,10.792634963989258,0.17381024360656738,177,0.0053233313374221325,300.0,346.56537419
70000,2000,10.90149974822998,-0.15089881420135498,177,0.015291637741029263,300.0,414.81912244
73500,2100,11.014351844787598,-0.16613984107971191,177,12.058858871459961,300.0,473.81559973000003
77000,2200,11.178577423095703,0.131109356880188,179,0.021157432347536087,300.0,485.15532344
80500,2300,11.336808204650879,-0.28084635734558105,179,0.011153914965689182,300.0,522.18177584
84000,2400,11.471440315246582,-81.02603149414062,179,14.631258964538574,300.0,560.58687259
