#{"env_id": null, "t_start": 1582052039.881695}
r,l,t
20.132655,1000,31.371267
14.32477,1000,58.553741
180.080064,1000,85.686534
595.845137,1000,111.190469
582.195307,1000,136.079609
1063.514278,1000,160.71494
2560.389643,1000,185.64005
166.198456,1000,215.750654
3017.196557,1000,241.792187
88.656117,1000,268.552101
2986.192574,1000,295.491749
4611.057696,1000,320.963791
5631.010484,1000,345.865943
7020.291343,1000,369.963288
6006.93222,1000,393.602669
6765.181438,1000,417.174375
7501.363707,1000,440.691664
8142.07475,1000,463.429871
8428.083661,1000,486.652849
9639.230815,1000,510.430982
9625.644122,1000,534.259823
9263.722036,1000,557.991258
11118.993032,1000,581.30389
10747.704703,1000,604.692178
10705.360293,1000,628.103646
11503.386638,1000,651.67857
11724.440349,1000,674.954312
11590.048478,1000,699.747882
12317.625869,1000,724.954552
11889.166001,1000,749.758688
12794.255773,1000,774.113961
11793.103522,1000,797.818791
11921.123082,1000,821.734249
12554.013322,1000,845.757913
13005.822225,1000,869.889193
13307.047524,1000,893.284476
12965.494728,1000,916.920995
10296.990086,1000,941.571382
9611.682887,1000,965.455243
10139.743718,1000,988.123426
12669.06556,1000,1010.439504
13093.564211,1000,1032.280032
11084.7569,1000,1054.86711
11906.007704,1000,1077.948281
9822.385372,1000,1101.016378
13356.187382,1000,1124.04288
14663.695017,1000,1146.953955
15434.463503,1000,1170.192106
20664.551382,1000,1193.438531
19066.185603,1000,1216.094948
14326.985396,1000,1238.727207
25852.527772,1000,1261.460979
26242.992129,1000,1283.193863
13600.636691,1000,1305.747188
12258.70043,1000,1328.429098
11951.597933,1000,1350.534413
10389.860653,1000,1373.769762
12046.314437,1000,1396.188182
9907.453933,1000,1419.388326
12930.956271,1000,1442.475764
12527.447743,1000,1465.420775
13983.598746,1000,1490.279171
13976.001037,1000,1514.331969
14386.121939,1000,1538.974641
13847.646212,1000,1563.329847
12630.858701,1000,1588.466878
13257.534709,1000,1612.894736
13473.904881,1000,1637.114896
14398.014736,1000,1660.338313
14504.617259,1000,1683.751709
14771.881812,1000,1707.509443
14252.259174,1000,1731.378167
14630.936218,1000,1754.320941
15032.882676,1000,1777.417118
14855.086266,1000,1801.075123
14168.9808,1000,1824.383492
15123.435882,1000,1847.454489
14884.308369,1000,1870.697238
14253.286088,1000,1894.352543
15019.429332,1000,1917.898214
15517.042077,1000,1941.737246
13657.853986,1000,1964.726907
14294.765621,1000,1988.172093
15459.986449,1000,2012.168047
14530.590431,1000,2036.11753
18893.491616,1000,2060.217113
32860.171633,1000,2084.224062
26729.1947,1000,2107.412497
40304.523458,1000,2130.971815
40121.849707,1000,2154.963463
45259.165105,1000,2178.265901
36294.068975,1000,2201.971768
23125.12473,1000,2226.118228
14134.437202,1000,2249.182147
14918.019627,1000,2272.59662
14219.469237,1000,2295.376752
13486.531466,1000,2319.564298
12950.816302,1000,2343.15139
19633.132469,1000,2367.526341
23048.720906,1000,2390.292356
44667.193701,1000,2413.809035
39150.975186,1000,2436.79406
43377.125764,1000,2459.674249
44227.125566,1000,2483.350976
27311.626201,1000,2507.170852
54285.70255,1000,2530.524132
54826.890143,1000,2554.104416
43140.709012,1000,2577.88703
66452.467771,1000,2601.755298
76517.425223,1000,2626.256957
71626.95465,1000,2649.685547
75481.509933,1000,2673.629023
73603.173214,1000,2697.964073
81103.553306,1000,2721.292051
64799.731883,1000,2744.949285
82249.026994,1000,2768.508646
51438.343632,1000,2792.181499
81531.443925,1000,2816.288697
63125.766107,1000,2840.258519
36804.044544,1000,2863.466249
58299.749996,1000,2887.237493
12862.010317,1000,2911.619462
5207.080425,1000,2938.211464
19543.680752,1000,2961.584452
18486.296536,1000,2985.532852
18862.261538,1000,3008.999806
16825.815751,1000,3032.918609
12888.503177,1000,3056.203881
11372.138034,1000,3079.511928
7537.979851,1000,3103.343944
1912.779799,1000,3127.071119
1788.191128,1000,3150.289228
1145.103089,1000,3177.516455
38.392213,1000,3201.853602
148.753203,1000,3226.437572
969.810943,1000,3249.944142
3077.731909,1000,3273.105408
3423.778135,1000,3296.203034
5331.244579,1000,3319.768379
1687.476348,1000,3342.922365
6736.77622,1000,3366.21767
11939.904653,1000,3390.659331
