#{"t_start": 1581981066.1453228, "env_id": null}
r,l,t
25.681966,1000,27.755558
384.319859,1000,52.627723
1382.545962,1000,76.113181
598.688564,1000,100.072009
380.103348,1000,126.430961
249.682025,1000,160.803103
366.159627,1000,190.996921
423.725034,1000,220.697783
701.572708,1000,246.343442
976.341387,1000,273.032928
1872.526014,1000,296.52012
2594.500326,1000,322.5976
2934.07995,1000,346.30553
2770.676273,1000,369.691441
3756.108112,1000,392.263138
3031.154975,1000,415.111812
4176.027548,1000,437.945178
5369.877255,1000,461.985744
5538.344309,1000,484.383356
5422.631237,1000,507.835313
6264.730429,1000,531.334305
6224.277593,1000,555.481546
7618.352318,1000,579.256648
8573.887901,1000,602.784247
7715.702234,1000,625.830852
8454.099314,1000,648.109706
9499.977736,1000,670.822574
9676.841111,1000,694.545929
10278.278074,1000,717.066738
10341.346857,1000,739.969167
10343.049135,1000,763.1276
10866.687266,1000,785.837916
10917.771513,1000,808.565495
10492.551026,1000,831.366628
10836.659888,1000,854.402776
10669.590117,1000,877.639896
10666.243486,1000,900.151193
10325.428738,1000,923.548924
10274.332754,1000,946.908288
11798.379987,1000,969.962888
11506.578958,1000,993.158978
9866.779988,1000,1016.395651
8916.997801,1000,1039.07699
11506.678578,1000,1062.301599
10697.523299,1000,1085.576086
10771.964135,1000,1109.520619
11935.747964,1000,1132.885516
11236.238613,1000,1155.017553
12625.7827,1000,1177.909512
11749.69583,1000,1201.047446
11911.635005,1000,1224.941394
11883.398065,1000,1247.684195
12740.159948,1000,1271.246015
12092.231882,1000,1293.30135
11766.193107,1000,1316.192687
11029.475602,1000,1339.148137
11188.325392,1000,1361.990979
12434.616782,1000,1385.139071
12674.227058,1000,1408.247296
12308.166025,1000,1430.83521
13755.180626,1000,1453.660171
12857.574147,1000,1476.327226
11596.919139,1000,1499.386305
12740.701975,1000,1522.590598
12739.718126,1000,1545.996567
13458.528302,1000,1568.99157
11778.370156,1000,1591.878841
11313.727769,1000,1614.258762
10975.359408,1000,1636.893339
13229.373437,1000,1659.997988
10015.025069,1000,1683.264821
12077.805636,1000,1706.357857
12073.006342,1000,1729.443093
12914.506659,1000,1752.858437
13573.8767,1000,1776.179831
12762.087495,1000,1799.3073
13495.306098,1000,1823.769034
12854.672991,1000,1847.697719
17040.018839,1000,1870.650497
24365.06079,1000,1893.378618
19646.649004,1000,1916.392324
29210.878105,1000,1939.105854
29347.741885,1000,1962.468478
24641.882202,1000,1985.885352
1657.021672,1000,2009.419095
5058.381288,1000,2032.644109
15471.13377,1000,2056.109306
22449.879022,1000,2078.891102
39213.163473,1000,2102.311549
31776.801196,1000,2125.607195
48175.913855,1000,2148.473123
46912.702565,1000,2171.739967
53741.971084,1000,2194.618512
58572.007979,1000,2217.953267
64345.882105,1000,2241.332421
72695.719531,1000,2265.010537
58936.379442,1000,2288.354451
79535.599959,1000,2311.219399
81939.61874,1000,2333.961452
74781.044778,1000,2357.561589
79987.142741,1000,2380.515037
59336.028064,1000,2404.266622
53551.250564,1000,2427.860977
36266.305979,1000,2451.248327
70305.010497,1000,2475.767779
59489.273069,1000,2499.323806
61470.64401,1000,2522.895649
68988.091523,1000,2546.475616
67305.08047,1000,2569.139083
73376.754943,1000,2593.19159
84126.098444,1000,2617.126523
54573.257083,1000,2640.530893
58995.574703,1000,2663.943298
62504.736694,1000,2687.144187
66642.334502,1000,2710.621541
46624.424962,1000,2734.80647
53694.459361,1000,2758.484134
38550.482343,1000,2782.110589
52151.042715,1000,2805.913679
56375.953959,1000,2828.892191
27961.158681,1000,2852.582161
34608.388227,1000,2876.611984
51780.139492,1000,2900.01264
57304.502171,1000,2923.91638
56672.716244,1000,2947.197813
53419.716509,1000,2970.352182
64813.951764,1000,2994.340113
61652.333747,1000,3019.0236
33135.500597,1000,3043.068305
57068.498045,1000,3066.775573
50702.089241,1000,3091.620564
52185.003871,1000,3115.082539
60858.922456,1000,3138.672476
70357.765116,1000,3162.509697
48738.79715,1000,3185.222978
65080.278721,1000,3209.05974
22866.615228,1000,3232.034233
19663.125969,1000,3254.861164
24439.228466,1000,3277.546264
39728.958539,1000,3300.326696
60596.232859,1000,3323.684277
31679.414508,1000,3346.986914
