#{"env_id": "my_panda_free_space_traj", "t_start": 1582826394.1573145}
r,l,t
203.942032,300,17.687276
142.315775,300,30.238979
147.173719,300,42.693422
162.788045,300,55.020039
222.903708,300,67.397022
89.341639,300,79.779031
149.084734,300,92.756712
183.441764,300,104.92934
172.050602,300,117.168881
99.063624,300,129.322185
146.807824,300,142.191048
133.099581,300,154.757207
118.98123,300,166.883328
102.208353,300,179.083488
126.35504,300,191.611703
89.772253,300,203.791304
97.899047,300,216.751694
142.873025,300,228.773578
147.662914,300,240.91315
118.047945,300,252.533989
109.163879,300,264.515897
301.31982,300,276.699701
267.051103,300,288.170475
959.072358,300,299.205174
784.098288,300,310.511537
1001.917978,300,321.813718
778.800569,300,332.953338
1015.043351,300,343.992746
875.60579,300,355.190003
740.632419,300,366.589338
911.794177,300,378.093955
880.401263,300,389.592595
720.792899,300,400.92684
938.159963,300,412.446084
1228.426122,300,423.919328
1210.691205,300,435.034385
998.441861,300,446.300581
1271.419626,300,457.221886
1102.572579,300,468.567824
1099.357051,300,479.793093
1202.638805,300,490.520702
1180.287674,300,502.022913
1267.682495,300,513.29709
1470.545155,300,524.43943
1564.564547,300,535.901696
1332.697834,300,547.300338
1288.781473,300,558.787248
1423.2433,300,569.302207
1693.35177,300,580.124078
1331.833259,300,591.279522
1488.920353,300,602.534368
1713.905634,300,614.018569
1696.748591,300,625.268405
1793.942306,300,636.813589
1867.791134,300,647.9981
2079.698752,300,659.408011
2078.237082,300,669.975747
1999.225718,300,681.322527
1797.585264,300,692.534889
2116.629487,300,703.911748
1945.866414,300,715.478212
2226.299854,300,726.986774
2375.066157,300,738.317523
2007.101901,300,749.046079
2302.750814,300,760.24612
2489.948642,300,771.503526
2276.651483,300,782.720962
2406.727557,300,793.459837
2804.140053,300,805.27971
2289.663729,300,816.401823
2506.902106,300,827.582438
2770.617657,300,838.781803
2927.955334,300,850.215412
2646.395668,300,861.89075
2474.128541,300,873.071001
2514.156829,300,884.05348
2568.608789,300,895.288705
2810.776771,300,906.882304
2729.765743,300,917.966191
3034.706624,300,928.674232
2798.658763,300,940.017176
2924.32757,300,950.781926
2759.399729,300,961.615669
3167.089792,300,972.657115
2943.532965,300,983.68191
3158.195679,300,994.961038
2919.909478,300,1005.944305
3158.417009,300,1017.263866
2889.599455,300,1028.404417
2579.649473,300,1040.199189
2796.647648,300,1051.520198
2701.85388,300,1063.111711
3200.976423,300,1074.741711
