#{"t_start": 1582060685.5307064, "env_id": null}
r,l,t
968.665178,1000,29.275166
1049.235671,1000,53.903474
1154.001182,1000,78.091291
886.655276,1000,102.656207
143.976555,1000,126.303075
731.459225,1000,153.282991
727.898117,1000,177.998967
729.364144,1000,204.149138
1142.249919,1000,229.733081
2089.887532,1000,254.531679
2606.499273,1000,279.299842
2174.804475,1000,303.598555
6740.171416,1000,327.255441
3257.809494,1000,350.0587
5425.430414,1000,374.330548
6767.26543,1000,399.474348
6368.248101,1000,423.578004
10041.198639,1000,449.036204
13202.213476,1000,473.537456
15207.886741,1000,498.230557
16186.4296,1000,522.131229
18173.827066,1000,545.549444
19835.479799,1000,568.747358
24119.074168,1000,592.902537
19809.280395,1000,616.902834
23734.835798,1000,640.927364
20160.639095,1000,664.918849
22980.473557,1000,688.627261
30786.627139,1000,713.060619
30438.150632,1000,736.81272
30439.077044,1000,760.739318
26382.858194,1000,783.997477
30340.738,1000,807.843937
28057.834457,1000,831.229841
27314.478164,1000,855.209189
38122.425342,1000,880.014269
34273.324901,1000,903.848791
34926.17781,1000,928.169879
28830.250092,1000,952.467702
36296.969838,1000,976.167297
38205.011082,1000,1000.44111
29700.724764,1000,1023.92343
21794.473407,1000,1048.448966
29288.508516,1000,1073.107822
9669.389525,1000,1097.189523
18971.983319,1000,1121.434852
38182.973186,1000,1145.676942
20006.792044,1000,1169.252911
26362.622428,1000,1193.431275
45097.866477,1000,1217.432177
44026.656846,1000,1241.29065
25364.113908,1000,1266.620015
37346.652433,1000,1290.843066
25216.953864,1000,1315.132422
8135.009065,1000,1339.564594
6339.807718,1000,1363.489757
18233.917208,1000,1388.170876
43930.557188,1000,1412.723455
24502.379671,1000,1437.306742
39510.888914,1000,1461.816287
27211.72581,1000,1486.209109
33882.988411,1000,1509.665163
39516.958474,1000,1532.748281
49148.195377,1000,1556.428857
44959.637997,1000,1580.162194
53257.154446,1000,1603.71347
35686.064114,1000,1627.692526
21008.97895,1000,1652.13071
20862.233361,1000,1676.524661
9169.885022,1000,1700.464466
14478.532667,1000,1724.067503
5260.373941,1000,1747.686924
7515.565132,1000,1770.961557
4653.389415,1000,1794.21578
22260.728085,1000,1818.882417
8090.473957,1000,1842.916116
5113.869051,1000,1866.653158
101.500857,1000,1890.15701
73.839621,1000,1913.076443
2725.724366,1000,1936.400991
2540.259396,1000,1960.261398
88.883441,1000,1983.692871
45.659901,1000,2005.809204
34.506071,1000,2028.392798
34.379702,1000,2051.18734
41.912914,1000,2075.265712
32.305531,1000,2097.502382
313.883993,1000,2121.025417
718.63721,1000,2143.738627
722.993819,1000,2167.143839
1323.629961,1000,2191.322448
1921.027723,1000,2215.161585
2623.08374,1000,2238.489829
4042.230828,1000,2261.811377
8198.34714,1000,2285.043477
2748.648581,1000,2308.843257
316.075342,1000,2335.33741
13648.78399,1000,2359.272441
11353.61492,1000,2382.338278
8896.023446,1000,2405.133841
1113.308065,1000,2430.27076
2560.624176,1000,2454.043307
2164.49326,1000,2477.197933
3780.928046,1000,2499.848275
2160.803336,1000,2522.886473
945.635284,1000,2547.971938
533.257409,1000,2577.31435
1215.292324,1000,2606.482234
1584.359866,1000,2635.290876
741.240908,1000,2664.034655
1632.284045,1000,2692.470134
2176.739766,1000,2720.989208
1983.009814,1000,2749.396919
1735.045657,1000,2777.337297
924.148862,1000,2804.877723
1180.778813,1000,2833.756785
5751.870587,1000,2861.559738
843.361827,1000,2889.402497
5486.87475,1000,2917.296878
2038.460903,1000,2943.184633
831.708425,1000,2969.55304
4021.880394,1000,2996.647322
3902.599079,1000,3024.375349
3014.311259,1000,3051.153161
5403.112147,1000,3076.50509
3433.053658,1000,3103.48346
8301.824844,1000,3127.900334
8495.534691,1000,3151.467442
2587.60655,1000,3174.195023
182.764122,1000,3199.529204
5468.414209,1000,3227.817784
8995.027714,1000,3257.140899
1905.68289,1000,3286.50458
1163.011244,1000,3316.647437
1880.597004,1000,3346.644584
529.13613,1000,3375.534136
1867.343913,1000,3405.066897
2461.414071,1000,3434.641547
2313.448989,1000,3464.121526
2327.908429,1000,3494.186908
667.897589,1000,3522.485408
3102.071127,1000,3551.945843
