#{"t_start": 1581629385.2896166, "env_id": "myPandaFreeSpaceTraj-v0"}
r,l,t
76.321631,1000,27.177336
425.569686,1000,48.551652
266.608934,1000,71.313131
48.403155,1000,97.10423
115.735221,1000,123.539434
251.718888,1000,152.633861
384.770033,1000,179.494912
437.513038,1000,204.820592
573.876811,1000,229.818528
539.039658,1000,254.735912
595.948231,1000,279.222812
759.785923,1000,303.742995
789.904268,1000,328.331096
856.859193,1000,353.422775
899.122489,1000,379.132016
1001.818242,1000,404.953709
1080.195429,1000,430.692707
1103.258451,1000,456.633455
1248.727818,1000,482.044771
1291.399701,1000,507.993784
1337.068218,1000,533.81927
1390.261299,1000,560.680419
1415.751305,1000,586.794589
1472.256028,1000,612.249223
1500.151737,1000,638.205606
1514.775093,1000,664.285615
1540.661001,1000,690.282676
1546.939432,1000,716.151804
1383.583366,1000,742.400575
1576.91313,1000,768.085243
1586.903853,1000,793.731343
1580.321344,1000,819.174322
1587.308701,1000,844.463146
1590.17185,1000,869.432069
1608.27801,1000,895.181052
1611.950147,1000,921.380729
1599.825386,1000,947.466669
1618.868377,1000,973.44141
1605.7885,1000,999.822113
1618.733046,1000,1024.357046
1627.256147,1000,1048.668874
1627.742667,1000,1071.914563
1643.188621,1000,1095.29127
1624.280997,1000,1119.353976
1641.367024,1000,1143.00828
1637.813495,1000,1166.23313
1635.190447,1000,1189.338817
1636.110006,1000,1214.305286
1640.897893,1000,1239.546664
1632.483104,1000,1264.932888
1640.365536,1000,1290.040848
1641.075184,1000,1314.69588
1636.4688,1000,1340.131832
1642.45143,1000,1365.084335
1643.45681,1000,1389.839504
1645.934691,1000,1414.283328
1640.983507,1000,1438.766965
1644.727083,1000,1462.147752
1643.088767,1000,1486.522285
1642.804925,1000,1510.551513
1644.597746,1000,1535.396904
1635.879552,1000,1559.859115
805.329782,1000,1584.352748
1561.092635,1000,1608.923848
1643.261623,1000,1633.09298
1654.06301,1000,1657.323611
1656.333811,1000,1681.257285
1649.318465,1000,1705.282354
1649.5503,1000,1729.146313
1606.438917,1000,1752.902951
1640.830542,1000,1776.686194
1637.618119,1000,1798.471317
1657.286648,1000,1821.24701
1655.581786,1000,1844.635717
1648.354322,1000,1867.780792
1660.721771,1000,1891.051329
1646.145551,1000,1914.168055
1649.385519,1000,1937.330206
1649.28149,1000,1960.688271
1655.353469,1000,1983.151913
1649.610772,1000,2005.082725
1653.336039,1000,2026.86276
1664.191368,1000,2048.831866
1654.43683,1000,2071.39937
1658.077701,1000,2093.738635
1647.282069,1000,2116.153242
1638.090594,1000,2139.36399
1652.879699,1000,2161.956383
1651.96575,1000,2184.499337
1655.901214,1000,2207.047455
1659.088683,1000,2229.001052
1654.103062,1000,2251.908063
1653.765579,1000,2273.383904
1661.780129,1000,2294.52439
1648.063316,1000,2316.46688
1650.836777,1000,2337.588153
1654.915497,1000,2359.135233
1650.174728,1000,2380.945813
1654.343957,1000,2402.411797
1658.144998,1000,2424.485819
1649.177331,1000,2445.629573
1658.833153,1000,2467.172753
1652.879938,1000,2489.092328
1643.894193,1000,2510.435119
1641.721657,1000,2531.878585
1660.812512,1000,2553.59946
1651.465617,1000,2575.388044
1654.43659,1000,2597.043785
1659.051401,1000,2619.230809
1647.339041,1000,2641.77685
1652.335834,1000,2663.876029
1640.777516,1000,2685.890122
1656.141191,1000,2707.688337
1656.622671,1000,2729.932534
1646.676137,1000,2751.086113
1660.263603,1000,2773.779632
1660.339585,1000,2795.987048
1655.305072,1000,2818.269988
1651.806602,1000,2840.148462
1648.11436,1000,2862.132349
1650.99397,1000,2884.433955
1644.223529,1000,2906.717303
1656.091625,1000,2928.985797
1644.864325,1000,2950.528568
1656.508416,1000,2971.896657
1650.128503,1000,2993.170178
