#{"t_start": 1580936328.5992463, "env_id": "my_panda_free_space_traj"}
r,l,t
813.217352,1000,4.604536
357.993991,1000,8.53917
830.729068,1000,12.464636
944.645627,1000,16.359656
498.282366,1000,20.524658
163.654375,1000,24.706566
283.470824,1000,29.099197
420.105144,1000,33.304258
337.727676,1000,37.273435
338.201377,1000,41.329756
282.556819,1000,45.666449
336.333562,1000,49.854241
199.620473,1000,54.173167
408.953826,1000,58.459255
427.564792,1000,62.713169
428.183711,1000,66.972068
388.326587,1000,71.264599
484.183286,1000,75.412773
489.566576,1000,79.667418
508.479079,1000,83.831293
324.440639,1000,88.062755
481.060001,1000,92.288766
533.784591,1000,96.762936
534.810315,1000,101.092241
650.825307,1000,105.407753
787.47198,1000,109.595645
666.543903,1000,113.89398
617.27253,1000,118.217579
701.384591,1000,122.367861
517.777243,1000,126.432175
724.759307,1000,130.729094
658.78938,1000,135.024688
766.190848,1000,139.384158
840.133225,1000,143.58206
839.250364,1000,148.042556
827.53235,1000,152.552085
941.341542,1000,157.079765
900.716638,1000,161.536469
947.035156,1000,165.910558
1262.566696,1000,170.141018
1297.811992,1000,174.181806
1093.756904,1000,178.323179
1176.835822,1000,182.48523
1124.720082,1000,186.627172
1269.679746,1000,190.764289
852.589081,1000,194.974427
960.77437,1000,199.106129
794.936203,1000,203.257286
623.088799,1000,207.450673
1192.708079,1000,211.594386
1066.097269,1000,215.776958
1259.195523,1000,219.925767
1418.44169,1000,223.989501
989.967927,1000,228.09179
1148.094706,1000,232.214148
1124.349861,1000,236.314016
1636.433542,1000,240.345393
1131.745007,1000,244.436045
1062.94651,1000,248.561797
1384.705638,1000,252.794314
1160.66345,1000,256.921232
1267.66764,1000,260.943763
1212.959841,1000,264.929168
1463.222897,1000,268.95003
1801.101006,1000,272.962059
992.080222,1000,276.908727
1618.064032,1000,280.848532
826.463665,1000,284.725466
1285.090049,1000,288.737422
1471.878341,1000,292.685377
1644.870232,1000,296.706951
1886.043259,1000,300.662717
1814.053326,1000,304.62994
1260.099518,1000,308.497916
2381.176172,1000,312.430681
2176.252501,1000,316.337007
2559.725172,1000,320.227711
1923.160286,1000,324.053435
2049.21531,1000,328.002477
3100.187265,1000,331.891501
2143.67023,1000,335.824452
1534.565225,1000,339.748218
2668.977968,1000,343.698854
1734.782037,1000,347.662697
2091.62713,1000,351.695101
1845.153769,1000,355.656919
2144.217036,1000,359.666481
2294.448173,1000,363.570908
2450.36246,1000,367.553146
1726.000082,1000,371.534341
1993.841532,1000,375.53806
2941.567983,1000,379.536699
3883.301755,1000,383.461754
3587.512575,1000,387.449645
2791.001039,1000,391.469706
2012.86181,1000,395.410961
2357.934813,1000,399.318774
2894.576127,1000,403.084455
3373.666111,1000,407.027529
1992.235719,1000,410.889251
2899.075771,1000,414.801836
2596.297363,1000,418.650242
1632.119124,1000,422.511914
964.853754,1000,426.380045
779.7019,1000,430.365044
544.253879,1000,434.303566
448.695002,1000,438.22305
546.04339,1000,442.091868
1782.33239,1000,446.230604
2070.043167,1000,450.208879
2903.985875,1000,454.230147
2291.550995,1000,458.119842
2384.536807,1000,462.122362
1978.044267,1000,466.085395
2181.40623,1000,470.153852
2439.244233,1000,474.037146
3827.727346,1000,477.983451
3439.070148,1000,481.862489
2459.168541,1000,485.903874
1557.419519,1000,489.853191
1299.961302,1000,493.704661
435.027154,1000,497.542511
559.43567,1000,501.377361
666.829218,1000,505.243833
964.057185,1000,509.198502
1295.110707,1000,513.110553
2103.398739,1000,517.007854
2229.035372,1000,520.847049
3180.911801,1000,524.837008
3200.004641,1000,528.792575
1906.346798,1000,532.715276
3250.368835,1000,536.63574
2755.14304,1000,540.552459
2523.358881,1000,544.544559
3156.433097,1000,548.597036
3041.522477,1000,552.571448
3076.802884,1000,556.512078
2767.256333,1000,560.371333
2327.226939,1000,564.368398
3108.551604,1000,568.326663
2928.721651,1000,572.321083
3004.554834,1000,576.308655
4304.778731,1000,580.217306
3718.776243,1000,584.153575
4085.761512,1000,588.159396
3173.68026,1000,592.151929
3392.243114,1000,596.071547
3751.710549,1000,599.968114
4696.655163,1000,603.984662
5114.891949,1000,607.911672
4947.308915,1000,611.760329
3233.963007,1000,615.628994
2994.127498,1000,619.487108
3076.932527,1000,623.320668
3029.5345,1000,627.27741
3781.12784,1000,631.154591
4886.798616,1000,635.049299
4120.926063,1000,638.851504
4287.121632,1000,642.783078
4003.757584,1000,646.647763
2246.503263,1000,650.499194
3996.398055,1000,654.346833
2229.56114,1000,658.166801
1822.92557,1000,662.027765
1741.698065,1000,666.01468
1682.269829,1000,670.002283
1966.317064,1000,673.976494
2234.806818,1000,677.79723
3222.406546,1000,681.797311
3495.840817,1000,685.798701
2657.842077,1000,689.746161
3353.625406,1000,693.668186
3603.684164,1000,697.601171
3092.95135,1000,701.59817
3270.343529,1000,705.758655
586.293691,1000,709.914797
128.534091,1000,714.27378
73.299356,1000,718.570226
220.907141,1000,722.621625
182.486247,1000,726.913948
148.552923,1000,731.008949
332.96015,1000,735.619664
622.059215,1000,740.013448
1245.13568,1000,744.102723
1285.604863,1000,748.258372
1570.423118,1000,752.605431
1709.660913,1000,756.829771
2048.007066,1000,761.121362
1999.559408,1000,765.35741
1954.310354,1000,769.587102
1647.521128,1000,774.132141
1720.754731,1000,778.396137
1981.07431,1000,782.567807
1954.942134,1000,786.88669
2189.17628,1000,791.111925
2413.722194,1000,795.297569
2796.252513,1000,799.334902
3335.564545,1000,803.278939
2772.140474,1000,807.197185
1836.85575,1000,811.169199
856.693692,1000,815.099287
3893.81405,1000,818.963352
3966.182093,1000,822.864456
2918.20221,1000,826.785513
3385.742574,1000,830.628125
3417.720477,1000,834.542404
3664.974373,1000,838.429032
3471.378258,1000,842.311115
4806.751871,1000,846.197785
4198.759931,1000,850.156549
2356.666594,1000,854.034314
2159.143616,1000,857.842732
