#{"t_start": 1581082942.5678046, "env_id": "my_panda_free_space_traj"}
r,l,t
715.288072,1000,4.613786
496.761635,1000,8.514755
1202.230821,1000,12.423524
914.92873,1000,16.378259
1000.864158,1000,20.287218
711.983087,1000,24.341322
1419.995992,1000,28.379459
613.526665,1000,32.581061
165.629419,1000,36.970599
237.792482,1000,41.279317
239.58972,1000,45.648329
556.130391,1000,49.952399
444.464146,1000,54.024398
434.084949,1000,58.084318
735.642546,1000,62.373579
795.674307,1000,66.460744
683.767679,1000,70.508946
518.560197,1000,74.931991
81.88236,1000,79.20527
512.273538,1000,83.350374
605.288043,1000,87.557436
634.177665,1000,91.707578
607.948746,1000,95.826553
584.148712,1000,99.9463
647.190595,1000,104.058653
1120.787975,1000,108.276964
651.929273,1000,112.797541
174.652622,1000,117.289136
94.477261,1000,121.752737
270.098803,1000,126.328158
197.658426,1000,130.613525
405.607613,1000,135.282526
586.854538,1000,139.638509
544.873157,1000,144.249684
476.941331,1000,148.688811
198.97174,1000,153.164567
198.544277,1000,157.440413
322.17552,1000,161.896704
360.120775,1000,166.442263
318.232583,1000,170.895309
524.050141,1000,175.876352
1522.895858,1000,180.098271
2427.345999,1000,184.295475
531.184081,1000,188.689194
1077.28294,1000,192.778832
1352.99124,1000,196.892009
1846.2997,1000,201.142026
860.664329,1000,205.747153
528.308788,1000,210.391221
1521.04099,1000,214.597525
1334.835838,1000,218.82712
1108.905534,1000,223.037904
1544.670717,1000,227.181995
1705.526733,1000,231.25181
1279.999634,1000,235.5088
1478.969328,1000,239.662612
1595.857714,1000,243.785261
2101.91539,1000,247.857659
2357.281638,1000,251.940514
2034.6644,1000,256.069358
1940.705945,1000,260.268072
1990.974271,1000,264.37122
99.916856,1000,268.972276
2101.375164,1000,273.127393
1676.942456,1000,277.448546
2299.998285,1000,281.560473
1652.466689,1000,285.777418
1833.598088,1000,289.797513
2164.890877,1000,293.935422
1987.653531,1000,298.087799
1633.401329,1000,302.19877
1985.297872,1000,306.322634
2385.403611,1000,310.433967
1721.833819,1000,314.657503
1812.815068,1000,318.881336
1737.571717,1000,322.974884
1004.156671,1000,327.160559
1317.946272,1000,331.270782
1308.826449,1000,335.463468
2000.462678,1000,339.571008
74.203942,1000,343.875566
2277.008945,1000,347.931316
2273.591896,1000,351.98882
2670.64215,1000,356.03618
2701.828797,1000,360.220531
