#{"t_start": 1581453289.0734777, "env_id": "myPandaFreeSpaceTraj-v0"}
r,l,t
-29125.827796,1000,6.598709
-29672.718122,1000,10.611469
-29515.060196,1000,14.698145
-29716.791337,1000,18.749239
-29082.18705,1000,22.862489
-29404.746259,1000,26.945586
-29513.023316,1000,30.879383
-29739.112249,1000,34.910803
-29654.857963,1000,38.874851
-29637.608917,1000,43.084653
-29897.176676,1000,47.486161
-29416.346172,1000,51.548714
-29325.689414,1000,55.591896
-29464.91778,1000,59.644545
-28705.151231,1000,63.558921
-29253.590134,1000,67.540894
-29177.29718,1000,71.464489
-29904.474512,1000,75.360055
-29916.817202,1000,79.27991
-29892.126921,1000,83.277933
-29631.618363,1000,87.294496
-29494.632889,1000,91.259531
-29034.011378,1000,95.390959
-29775.386193,1000,99.541679
-29881.240197,1000,103.401901
-29779.921964,1000,107.349048
-29592.593815,1000,111.301428
-29352.738687,1000,115.243264
-29784.56208,1000,119.184651
-29695.697235,1000,123.127405
-29792.469646,1000,127.198177
-29577.352412,1000,131.236159
-29817.501479,1000,135.220156
-29407.45721,1000,139.218151
-29240.148484,1000,143.183419
-29742.12925,1000,147.066255
-29734.244191,1000,151.001878
-29364.61711,1000,154.983621
-29942.435351,1000,158.950041
-29603.725161,1000,162.921628
-29871.824105,1000,166.938439
-29947.591679,1000,171.107047
-29662.915355,1000,175.050622
-29590.89095,1000,179.013774
-29499.516324,1000,182.901901
-29250.121498,1000,186.809691
-29134.373981,1000,190.884389
-29394.224556,1000,194.753424
-29602.470377,1000,198.686421
-29640.796884,1000,202.629122
-29136.585754,1000,206.559919
-29433.263965,1000,210.479439
-29808.841047,1000,214.373619
-29595.02053,1000,218.293677
-29493.958326,1000,222.196882
-29873.08259,1000,226.110325
-29624.345186,1000,229.992004
-29743.426414,1000,233.939269
-29339.783635,1000,237.840653
-29471.628377,1000,241.673713
-29710.902862,1000,245.667776
-29463.343308,1000,249.573081
-29036.293662,1000,253.470167
-29056.056586,1000,257.418189
-29490.917745,1000,261.34644
-29085.848143,1000,265.246025
-29322.426327,1000,269.120641
-29222.829865,1000,273.001014
-29320.195954,1000,276.938905
-29445.411991,1000,280.79914
-29268.168303,1000,284.851392
-28980.124537,1000,288.721483
-28851.765182,1000,292.561185
-28830.11895,1000,296.473843
-28609.809075,1000,300.402953
-29469.321451,1000,304.289888
-29232.497422,1000,308.156224
-29164.610324,1000,312.052161
-29563.117244,1000,315.994724
-29562.535763,1000,319.885958
-29192.435941,1000,323.756377
-29285.089652,1000,327.705348
-29474.204303,1000,331.58109
-29432.335461,1000,335.379745
-29497.519468,1000,339.239241
-29573.684047,1000,343.094778
-29534.654281,1000,346.954227
-29760.734273,1000,350.83856
-29534.397284,1000,354.716201
-29203.764646,1000,358.582829
-29699.273352,1000,362.443547
-29286.545977,1000,366.26924
-29428.869366,1000,370.085723
-29548.137927,1000,373.934982
-29354.16072,1000,377.834279
-29366.304567,1000,381.596811
-29586.013952,1000,385.429632
-28969.526884,1000,389.253485
-29192.258474,1000,393.101662
-29570.36279,1000,396.928601
-29327.774497,1000,400.756892
-29549.93199,1000,404.573614
-29318.865867,1000,408.397499
-29280.335912,1000,412.236383
