nupdates,explained_variance,policy_entropy,fps,value_loss,total_timesteps,ep_reward_mean,ep_len_mean
1,-0.018189072608947754,9.932570457458496,191,10.079607009887695,128,,
100,-0.3158833980560303,9.932588577270508,189,0.6466284394264221,12800,196.92481045833333,500.0
200,-1.3207409381866455,9.93284797668457,191,0.12570986151695251,25600,202.43503141666667,500.0
300,-0.2203425168991089,9.933919906616211,187,0.4348207712173462,38400,197.6252190789474,500.0
400,-0.3323720693588257,9.934666633605957,187,0.2188655436038971,51200,205.91841614,500.0
500,-1.2760248184204102,9.931787490844727,186,0.1089530736207962,64000,205.30278972999997,500.0
600,-0.7219610214233398,9.930989265441895,188,0.1637389361858368,76800,203.90678288000004,500.0
700,-1.722299575805664,9.929201126098633,189,0.07974564284086227,89600,204.49010142,500.0
800,-1.605774164199829,9.930776596069336,189,0.1430491954088211,102400,198.52471129000003,500.0
900,-8.842451095581055,9.93177604675293,190,0.11053876578807831,115200,199.57166835,500.0
1000,-0.09003090858459473,9.930632591247559,189,0.6900476217269897,128000,204.35714165000002,500.0
1100,-0.41808032989501953,9.930028915405273,190,0.373923659324646,140800,214.71234528999994,500.0
1200,-0.9065041542053223,9.929219245910645,190,0.18080750107765198,153600,212.59099742,500.0
1300,-0.10139238834381104,9.92851734161377,189,8.303157806396484,166400,226.61632872000007,500.0
1400,-0.0561528205871582,9.931184768676758,190,6.6142473220825195,179200,227.95811358,500.0
1500,0.1083337664604187,9.931188583374023,190,1.2767589092254639,192000,227.18032578999998,500.0
1600,-0.2321455478668213,9.933441162109375,190,0.5519641637802124,204800,230.81788047999999,500.0
1700,-0.19932901859283447,9.928175926208496,191,0.5373834371566772,217600,225.61394835000002,500.0
1800,-0.15194213390350342,9.92622184753418,190,0.416767418384552,230400,231.02742666999998,500.0
1900,-1.956770420074463,9.929902076721191,191,0.27591249346733093,243200,231.49528549,500.0
2000,-0.9523824453353882,9.929383277893066,191,2.277754068374634,256000,240.62684511999998,500.0
2100,-0.020407795906066895,9.923395156860352,191,0.5544780492782593,268800,259.02059987999996,500.0
2200,-0.7416989803314209,9.920695304870605,191,0.10641047358512878,281600,259.58886689999997,500.0
2300,-0.06464672088623047,9.922304153442383,191,0.4546775817871094,294400,275.71500963,500.0
2400,-1.0045218467712402,9.918045043945312,191,0.09190617501735687,307200,289.28090203,500.0
2500,0.13788467645645142,9.914835929870605,191,3.226566791534424,320000,290.61620879000003,500.0
2600,-0.10848081111907959,9.910399436950684,192,0.20119810104370117,332800,312.42679076,500.0
2700,-0.022576570510864258,9.906020164489746,192,0.26915574073791504,345600,334.18334655,500.0
2800,-0.008025884628295898,9.897002220153809,192,0.8684612512588501,358400,369.18632282,500.0
2900,-0.004957437515258789,9.892060279846191,192,0.6744933128356934,371200,410.05678645000006,500.0
3000,-0.16231286525726318,9.885029792785645,192,5.145416736602783,384000,480.90049927,500.0
3100,-0.18719422817230225,9.880743026733398,192,1.0318725109100342,396800,535.5783525500001,500.0
3200,0.018209218978881836,9.87022590637207,193,1.8462425470352173,409600,615.47645925,500.0
3300,-2.5247018337249756,9.862776756286621,193,0.28472962975502014,422400,726.75714371,500.0
3400,-0.297513484954834,9.85539436340332,193,0.19635984301567078,435200,812.59188963,500.0
3500,-0.13291394710540771,9.846052169799805,193,13.001296997070312,448000,916.4817267,500.0
3600,-0.06683552265167236,9.840209007263184,193,0.83249831199646,460800,996.5885229700001,500.0
3700,-0.4638148546218872,9.839418411254883,194,0.06981032341718674,473600,1054.99155664,500.0
3800,-0.36263954639434814,9.837812423706055,194,0.061830975115299225,486400,1122.03127023,500.0
3900,0.20124250650405884,9.835927963256836,194,0.1566218137741089,499200,1185.6636832200002,500.0
