#{"t_start": 1585771741.000433, "env_id": "my_panda_free_space_traj"}
r,l,t
201.864842,500,14.428309
170.41124,500,25.761095
350.391314,500,36.822326
184.748136,500,47.864854
295.219589,500,59.293127
157.231822,500,70.521997
201.234817,500,81.745897
268.201578,500,92.657412
168.105924,500,103.764553
209.171021,500,114.95452
207.571697,500,126.365057
237.2777,500,137.485319
290.985928,500,149.069184
270.130041,500,160.22177
159.100493,500,171.584519
325.969534,500,182.774955
192.87023,500,193.791213
137.221514,500,205.053928
239.753695,500,216.214079
118.77142,500,227.118281
198.67181,500,238.321001
180.940635,500,248.991223
242.207905,500,260.490892
195.55549,500,271.684309
240.350647,500,282.533213
166.344752,500,294.005049
287.524622,500,304.723372
171.99539,500,316.235298
111.387904,500,327.22735
255.906978,500,338.747393
261.092027,500,350.125293
230.579596,500,361.311545
178.971763,500,372.540234
275.918627,500,383.552279
197.494998,500,394.64954
217.967559,500,405.701011
160.328878,500,416.760016
187.933323,500,427.40226
212.875164,500,438.402921
266.927233,500,449.398396
122.247687,500,460.112387
272.045342,500,471.457734
263.732582,500,482.790865
203.780311,500,493.885192
249.956436,500,505.148058
165.283651,500,515.915456
83.06831,500,527.18664
211.718093,500,538.233057
168.12111,500,549.490493
189.906087,500,560.8224
198.724783,500,571.949844
166.601318,500,583.500424
212.24636,500,594.598281
231.247138,500,605.550063
291.420184,500,616.678353
198.590891,500,627.692701
141.914872,500,638.667353
229.324566,500,649.822839
203.212931,500,660.588615
252.357544,500,671.622044
217.411731,500,682.46776
241.906817,500,693.269449
270.689578,500,704.340735
220.003791,500,715.351781
170.779624,500,726.348658
170.265947,500,737.470322
181.630713,500,748.451312
420.961372,500,759.643602
181.317311,500,770.770593
258.424723,500,782.136404
164.775471,500,793.37341
230.23331,500,804.274648
315.089064,500,815.409798
261.937297,500,826.289352
309.484752,500,837.498842
333.942831,500,848.808692
340.205275,500,859.736734
402.306582,500,870.622905
246.279758,500,881.807502
381.827901,500,892.981863
246.394268,500,903.993585
285.254404,500,915.016682
414.487403,500,926.004305
588.281223,500,937.003495
729.868821,500,947.725994
548.128713,500,958.538968
561.062906,500,969.031417
744.446143,500,979.587503
508.891341,500,990.086725
899.599981,500,1000.569479
1054.29076,500,1011.121957
971.741732,500,1021.817703
929.209417,500,1032.27546
981.013136,500,1042.577254
1066.487609,500,1053.047906
1100.702337,500,1063.283217
1551.896094,500,1073.712069
1264.189837,500,1084.243825
1186.296799,500,1094.428637
1621.622981,500,1105.205076
1725.587394,500,1116.050117
1525.797855,500,1126.724309
2808.919557,500,1137.649425
2212.550468,500,1148.641799
2567.413972,500,1159.798384
3190.510432,500,1170.729669
2116.340019,500,1181.559099
2952.452632,500,1192.866874
4479.742631,500,1204.197825
3038.115719,500,1215.715811
3082.530913,500,1226.987855
3036.501777,500,1238.267015
3399.009493,500,1249.136526
3806.529989,500,1260.509326
4348.745301,500,1271.750279
4442.732492,500,1283.109617
4675.215639,500,1294.22875
4822.337944,500,1305.582782
4994.235258,500,1316.759252
4987.98026,500,1327.959203
3364.707892,500,1339.16715
3894.425768,500,1350.551192
4513.024984,500,1361.624284
3941.174525,500,1372.962415
5261.31279,500,1384.027608
5681.389788,500,1395.393646
3372.654105,500,1406.51719
4331.24277,500,1417.324642
4507.417251,500,1428.892664
5308.23237,500,1439.79204
4974.553035,500,1450.9398
5945.804039,500,1462.264787
2953.940406,500,1473.364955
5577.851739,500,1484.634597
3137.839201,500,1495.964767
5596.709685,500,1506.588933
