#{"env_id": "my_panda_free_space_traj", "t_start": 1585760468.193158}
r,l,t
194.076218,500,13.900355
258.475251,500,24.143138
179.310859,500,34.513748
146.372347,500,44.925617
169.14453,500,55.478223
176.208102,500,66.115638
230.388677,500,76.556904
202.062696,500,87.975991
154.956596,500,98.519201
113.639773,500,109.165872
174.731422,500,119.92679
241.016587,500,130.338801
206.144372,500,141.183956
211.040163,500,152.269798
195.880398,500,163.03585
230.791791,500,174.132992
291.249568,500,184.987357
198.840128,500,196.069926
227.771319,500,207.113863
249.613919,500,217.964863
186.706831,500,229.095545
194.689364,500,240.027967
235.563107,500,251.161249
190.853765,500,262.568699
161.991969,500,273.167527
233.747243,500,283.833661
163.371297,500,294.817685
182.272394,500,305.695088
225.921921,500,316.274268
294.785055,500,327.059865
176.454525,500,337.862036
215.384353,500,348.807622
208.847137,500,359.812416
259.262219,500,371.09398
219.269854,500,382.239705
367.258392,500,393.083519
375.405975,500,404.452919
298.255093,500,415.624633
175.803944,500,426.489217
182.519221,500,437.446556
257.289411,500,448.141863
289.232358,500,458.877792
233.065514,500,470.257792
156.618931,500,481.171992
253.678464,500,492.539361
253.991393,500,503.681199
243.104065,500,514.715395
189.942416,500,525.826122
205.850453,500,536.820801
164.867764,500,547.693577
226.2458,500,558.732335
224.877074,500,569.412867
131.839358,500,580.392516
350.402067,500,591.464965
266.026435,500,602.784233
177.902025,500,613.823047
358.913099,500,624.892756
245.177828,500,635.810088
311.29483,500,646.881305
196.230174,500,657.765455
281.399922,500,668.478543
148.878367,500,679.287175
355.43173,500,690.196735
646.828696,500,701.204793
402.471156,500,711.834045
577.258772,500,722.165197
337.537603,500,733.461342
386.299764,500,744.392793
416.140678,500,755.352404
477.50614,500,766.142506
417.608858,500,776.851491
776.243849,500,787.705703
477.522432,500,798.284703
676.054152,500,809.010809
391.630306,500,819.390424
552.087596,500,829.228078
903.470141,500,839.42854
928.202837,500,849.848845
1161.812662,500,859.861466
1043.276087,500,870.764163
1191.311952,500,881.403941
955.070902,500,892.417699
1023.116356,500,903.050292
1197.834154,500,913.66317
1126.728989,500,924.217344
1193.083587,500,935.048674
1010.9747,500,945.721609
1207.514496,500,956.507909
1545.770177,500,967.171177
1300.85962,500,978.169388
1409.810951,500,989.166733
930.680428,500,1000.01201
1751.309433,500,1011.229635
1052.279688,500,1022.159719
1422.416923,500,1033.029053
1638.122063,500,1044.466163
1365.3445,500,1055.469393
1788.024135,500,1066.647688
2101.730702,500,1077.702319
1890.165178,500,1089.063822
1979.297335,500,1100.603518
2581.892405,500,1112.380044
2861.640396,500,1124.114806
2937.305059,500,1136.265155
2627.944052,500,1148.125909
1803.11001,500,1160.094133
2784.586989,500,1171.682243
3180.01398,500,1183.501491
3146.518443,500,1195.373076
3069.442057,500,1207.236875
2712.906542,500,1218.880225
2622.657315,500,1230.928817
1891.437644,500,1242.602549
3099.978806,500,1254.419106
3066.197748,500,1266.086431
3155.48768,500,1278.077672
3030.912896,500,1290.342797
3274.179085,500,1302.243997
2997.027634,500,1314.220982
2526.784176,500,1326.452806
2619.002663,500,1338.56219
3229.670201,500,1350.713742
2684.927899,500,1362.792456
2931.952262,500,1374.820271
2965.750702,500,1386.629689
3130.38943,500,1398.411241
3489.518823,500,1410.492502
3376.326783,500,1422.084651
3187.243788,500,1433.98968
3134.276016,500,1446.045862
2911.108094,500,1457.73694
3142.912085,500,1469.517285
3461.112632,500,1481.484217
3295.944231,500,1493.336412
2984.782824,500,1505.337841
3161.089792,500,1516.902297
3225.704359,500,1528.351475
3274.659278,500,1540.081785
3316.153939,500,1551.748643
3195.087509,500,1563.097026
2609.980347,500,1574.710948
3048.393763,500,1586.140381
2936.523376,500,1598.077078
3006.966924,500,1609.999582
3821.050238,500,1621.467349
2823.434013,500,1633.253125
3466.659886,500,1644.956852
3304.632298,500,1656.611643
3578.785968,500,1668.481757
3213.92138,500,1679.821791
2991.590314,500,1691.323107
3472.928824,500,1702.742877
3415.140781,500,1714.279476
3470.222943,500,1726.249311
3497.495483,500,1737.550239
3267.028703,500,1748.850495
3436.545796,500,1760.539081
2191.076447,500,1771.909535
3654.520397,500,1783.593341
2592.06035,500,1795.013005
3307.6864,500,1806.467565
2875.804243,500,1818.104904
3718.09242,500,1829.365719
3401.032843,500,1840.671035
3295.349045,500,1851.805946
3652.502492,500,1863.044242
3634.720083,500,1874.386603
3294.610352,500,1885.698427
3304.827145,500,1897.009402
3358.313433,500,1908.307061
3365.740644,500,1919.390713
3043.387139,500,1930.914919
3651.632307,500,1942.228675
3735.299623,500,1953.411976
3036.925118,500,1964.843988
3576.875329,500,1975.963182
3051.162523,500,1987.214685
3737.223967,500,1998.636423
3588.229325,500,2009.945178
3332.561189,500,2021.316711
3419.215036,500,2032.311639
4171.229543,500,2043.639804
3045.465902,500,2054.816866
3032.84994,500,2065.807794
3537.723467,500,2076.775438
3242.302763,500,2088.143615
3775.293604,500,2099.206413
3237.054726,500,2110.744011
3847.054517,500,2121.747669
3263.336591,500,2133.113784
3895.537245,500,2144.695163
3608.700915,500,2155.512876
3088.048739,500,2166.810263
3472.036741,500,2178.40041
4062.101737,500,2189.652373
3168.178871,500,2200.953262
3562.997906,500,2212.124485
3673.233397,500,2223.030996
3483.122396,500,2234.009835
3617.520169,500,2244.701018
3604.745199,500,2255.234245
3750.841076,500,2266.35142
3322.128768,500,2277.056635
3830.155596,500,2288.2811
3814.133194,500,2299.166385
3612.707585,500,2310.160333
3876.944986,500,2321.483404
3735.427776,500,2332.128268
4076.557877,500,2342.427524
3511.533327,500,2353.147141
3725.464943,500,2363.272853
3303.013982,500,2373.44788
3371.981648,500,2383.50107
3020.42185,500,2393.958627
3981.819549,500,2404.54169
4172.997353,500,2415.236958
3588.574148,500,2425.979934
4018.413836,500,2436.301614
3855.526338,500,2446.094553
3721.63778,500,2456.284424
3627.008329,500,2466.568586
4507.618226,500,2477.12243
4255.98483,500,2487.75428
3625.973637,500,2497.693545
3695.390818,500,2507.832379
4183.011135,500,2517.972789
3825.182752,500,2528.706557
3895.202666,500,2539.513537
3827.376302,500,2549.888505
3891.100291,500,2559.825744
4103.138355,500,2570.760209
4578.607615,500,2580.813184
4030.119493,500,2591.315984
3884.173539,500,2601.192314
3640.494332,500,2611.447359
4753.07324,500,2621.923231
3848.651927,500,2632.054483
4022.501218,500,2642.789903
4559.365648,500,2653.424999
4418.026457,500,2663.564568
4003.18427,500,2674.2582
4506.998053,500,2684.437225
4011.675636,500,2694.584141
4019.988509,500,2705.225577
3823.636357,500,2714.684336
4129.691589,500,2724.18825
4656.6099,500,2734.064533
4625.557874,500,2743.63525
4143.837093,500,2753.407077
