#{"env_id": "my_panda_free_space_traj", "t_start": 1585768257.747541}
r,l,t
206.841244,500,13.979057
255.412427,500,24.412175
210.45357,500,34.735361
275.961836,500,45.362245
217.591762,500,55.586597
156.388969,500,66.405609
296.840993,500,76.869828
187.452725,500,87.232762
257.938259,500,97.743372
256.827507,500,107.941108
242.172249,500,118.259125
222.532576,500,128.965562
169.607653,500,139.391542
169.90812,500,149.926121
276.181108,500,160.121421
216.791377,500,170.48238
172.020502,500,181.357185
258.177885,500,191.483911
231.831349,500,202.041691
175.652609,500,212.249771
235.650601,500,222.774261
210.030858,500,233.371558
192.471063,500,243.937241
247.305878,500,254.168228
296.666265,500,264.74104
274.034091,500,275.007283
228.377702,500,285.650555
240.550404,500,296.259622
238.302651,500,306.380754
208.182341,500,316.729366
301.642568,500,327.188644
228.098735,500,337.535493
226.038799,500,347.967296
193.532157,500,358.01571
211.271169,500,368.387873
286.180495,500,378.51187
275.525081,500,388.784027
229.37428,500,399.427598
217.287258,500,409.950848
213.725513,500,420.190207
236.292258,500,430.501858
267.599448,500,440.615759
213.138157,500,450.839043
302.988761,500,460.881236
151.991205,500,470.914432
340.716047,500,481.193628
335.357982,500,491.161056
278.57994,500,501.100777
174.607475,500,511.345227
253.057495,500,521.342608
191.452765,500,531.601547
152.979898,500,541.758985
378.050911,500,551.977738
384.465375,500,562.383927
210.464111,500,572.458806
248.556325,500,582.378038
279.156848,500,592.543548
384.222895,500,602.469855
339.094831,500,612.635585
330.453591,500,622.559305
496.70882,500,632.488253
459.507201,500,642.525254
664.372589,500,652.719877
444.577601,500,663.186834
596.014662,500,673.440927
1062.43093,500,683.567677
935.469836,500,693.85415
1506.098446,500,703.928434
1676.779928,500,714.056438
1668.003557,500,724.223849
2099.202355,500,734.122238
1805.556698,500,744.313687
2456.653333,500,754.619434
2858.57457,500,764.928222
2834.523536,500,775.481198
3059.297529,500,786.102007
3058.704363,500,796.817151
2915.109245,500,807.435456
2544.01443,500,817.90523
2595.963825,500,828.665483
3420.034393,500,839.445718
3497.862449,500,850.477247
2730.306797,500,861.466142
3097.020236,500,872.554443
3861.509599,500,883.769197
3540.970723,500,895.219433
3255.002608,500,906.475277
3604.413567,500,917.880638
3485.582642,500,928.957115
3326.666798,500,940.296345
3507.704255,500,951.763797
3553.079028,500,962.837879
3525.485289,500,973.991544
3644.342135,500,985.422004
3818.451087,500,996.53793
3130.042731,500,1007.840146
3401.254077,500,1018.966706
3448.900144,500,1030.327313
3349.901944,500,1041.548069
3565.367729,500,1052.428094
4045.862668,500,1063.70012
3567.861343,500,1074.467852
4028.296539,500,1085.055878
3848.138535,500,1096.042887
3619.588477,500,1106.850324
4075.061683,500,1117.426199
3369.691822,500,1128.436048
3763.28375,500,1139.371514
3960.541942,500,1150.581637
3911.385081,500,1161.596295
4185.978873,500,1172.44245
3796.177301,500,1183.596724
4512.722953,500,1194.790529
3837.504253,500,1205.769712
4228.974558,500,1217.080269
4319.621839,500,1228.019487
4161.756695,500,1239.106626
4074.856594,500,1249.870858
4180.895953,500,1260.608136
4329.33521,500,1271.498198
4337.256912,500,1282.391117
3865.288642,500,1293.155
3797.598857,500,1304.326945
4471.089981,500,1315.080248
3833.926577,500,1326.273105
4589.14452,500,1337.423295
4281.844345,500,1348.660521
4266.912827,500,1359.969261
3929.026427,500,1370.84469
4274.46108,500,1381.49514
4316.330719,500,1392.666464
4360.742333,500,1403.358285
4281.463464,500,1414.745025
4524.91133,500,1425.452418
4289.105656,500,1436.139145
4643.483254,500,1447.094033
4500.80066,500,1457.672601
4612.614482,500,1468.259758
5020.329742,500,1478.915022
4484.660891,500,1489.55095
5255.051722,500,1500.492127
4534.122575,500,1511.015609
4783.220354,500,1521.472985
4950.626663,500,1532.104632
4932.539519,500,1542.569174
4725.634678,500,1553.463055
4481.352234,500,1564.050463
5318.718649,500,1574.531407
5281.193723,500,1585.256515
6153.201687,500,1595.706765
4954.251134,500,1606.193941
4535.497017,500,1616.774088
4605.138461,500,1627.523895
5615.378422,500,1638.444092
6148.832215,500,1649.019931
5358.026077,500,1659.638771
5585.161141,500,1670.305317
5904.917893,500,1680.773341
5113.211665,500,1691.318785
5881.972057,500,1701.964547
5603.586935,500,1712.495571
5574.330977,500,1723.33376
5733.973295,500,1733.899227
5067.344073,500,1744.536436
6056.50061,500,1755.527098
5533.1394,500,1766.326683
5166.739855,500,1776.692544
4962.985893,500,1787.356795
6842.891025,500,1797.902566
5583.990831,500,1808.846085
6188.510788,500,1819.437061
5114.449441,500,1830.118552
6360.851285,500,1841.355783
5557.133676,500,1851.893432
7270.762652,500,1862.483726
6467.81059,500,1873.344924
6284.261821,500,1883.886671
5678.591127,500,1894.766429
7285.313663,500,1905.382262
6749.880244,500,1915.891299
6384.181053,500,1926.851882
6197.416071,500,1937.554948
6335.597434,500,1948.330307
5853.452578,500,1959.01403
5899.663936,500,1969.826968
6925.032418,500,1981.005238
7070.970509,500,1991.778935
5898.041545,500,2002.68256
6475.856821,500,2013.874879
6658.302707,500,2024.698264
5236.440862,500,2036.138354
6614.129875,500,2047.035861
6662.863885,500,2057.571119
7073.659676,500,2068.538698
5323.803782,500,2078.946179
6634.206414,500,2089.73944
5794.332582,500,2100.97377
5913.206471,500,2111.545954
6658.70131,500,2122.713075
8137.80769,500,2133.33636
6622.204718,500,2144.158136
5860.096688,500,2155.139622
7592.746256,500,2165.834783
6477.783913,500,2176.546627
5789.148854,500,2187.618798
5883.467634,500,2198.551837
7499.793568,500,2209.733066
6885.13867,500,2220.565698
7899.565572,500,2231.456465
