#{"t_start": 1585760419.5131042, "env_id": "my_panda_free_space_traj"}
r,l,t
222.997066,500,13.405293
218.27682,500,23.264949
241.323854,500,32.914417
191.520245,500,43.081391
272.371458,500,53.497559
166.181739,500,64.15691
230.310905,500,74.727578
200.152898,500,85.016999
173.302248,500,95.432673
228.821926,500,106.081185
206.054241,500,116.406731
129.564403,500,126.930256
328.660627,500,137.316433
254.091633,500,147.858661
225.587633,500,158.155915
228.101844,500,168.356371
155.711348,500,178.930328
167.691842,500,189.526388
375.6588,500,199.989459
162.65762,500,210.636053
193.190237,500,221.507624
204.137171,500,231.934222
248.246058,500,242.547037
144.332443,500,253.50915
251.091515,500,264.693002
240.583873,500,275.236873
220.665612,500,286.088077
234.116066,500,296.872368
298.016809,500,307.402325
293.531052,500,317.945594
388.534558,500,328.49001
414.289697,500,338.941556
331.650864,500,349.609423
354.712762,500,360.189891
499.267703,500,370.907684
533.298351,500,381.122581
433.007053,500,391.421443
444.027594,500,401.35537
1040.952994,500,411.285439
992.022425,500,421.325714
1601.940989,500,431.833807
1652.074925,500,442.287223
2033.503411,500,453.164519
2222.889087,500,463.983136
2460.497379,500,474.77794
2124.909677,500,486.01738
2998.911234,500,496.643481
3271.227724,500,507.286958
3218.059185,500,518.285814
3010.248895,500,529.122996
3413.232499,500,540.44148
3442.53437,500,551.065499
3462.038372,500,561.846644
3146.75389,500,572.650093
3152.055512,500,583.7115
3310.794773,500,594.862901
3244.55582,500,606.02049
3229.148432,500,616.865238
3586.619544,500,627.968414
3471.756505,500,638.87662
3302.104607,500,649.803589
3330.270954,500,661.003799
3459.744367,500,672.132958
3318.770056,500,682.895497
3159.748394,500,694.022846
3463.692247,500,704.941831
3319.700237,500,716.16505
3232.252627,500,726.846241
3288.84654,500,737.603567
3175.370103,500,748.486472
3553.27505,500,759.071528
3329.476156,500,769.95902
3144.516099,500,780.721447
3087.124142,500,791.440341
3654.161451,500,802.218959
3379.505949,500,812.821603
3573.325424,500,823.735004
3119.235942,500,834.605287
3238.189603,500,845.652201
3584.497396,500,856.838209
2007.070131,500,868.098643
3787.280464,500,879.777395
4081.199253,500,891.250617
3627.933007,500,902.358821
3687.383663,500,913.388731
2830.131179,500,924.852684
2799.091225,500,936.141903
2733.697366,500,947.638333
2820.383071,500,958.775916
3262.654591,500,969.926208
3371.175009,500,981.360727
3786.725746,500,992.629878
3526.109296,500,1003.855672
3569.037511,500,1015.416725
3364.836245,500,1026.448678
3877.708241,500,1037.683776
3549.588739,500,1048.861316
2547.636663,500,1059.685314
3914.275724,500,1071.017143
3624.877648,500,1082.240989
3006.989334,500,1093.282
2885.515269,500,1104.37152
2786.424949,500,1115.057419
2705.893821,500,1126.13774
3328.943532,500,1137.216854
3467.527379,500,1148.234219
2168.434766,500,1159.367944
2845.050848,500,1170.176605
2699.763026,500,1181.487533
2810.78184,500,1192.705518
2675.889375,500,1203.782841
2712.465491,500,1214.909877
2785.964996,500,1225.780253
2692.08801,500,1236.762705
2992.470244,500,1248.050767
3016.798006,500,1259.156832
3125.806567,500,1270.427938
2959.984345,500,1281.480692
2739.735625,500,1292.062072
2993.152353,500,1303.196556
3066.764734,500,1314.219721
3031.724234,500,1325.418026
2992.256313,500,1336.697244
2976.830898,500,1347.871808
2966.881812,500,1359.256523
3547.153682,500,1370.460049
3728.292012,500,1381.50633
3190.417198,500,1392.917454
3514.164942,500,1403.886854
3078.726787,500,1414.785145
4066.825542,500,1426.100277
3508.78114,500,1437.097081
2526.064526,500,1448.437579
2722.650197,500,1459.659232
2818.38482,500,1470.632639
2722.730507,500,1481.899225
3031.663805,500,1493.167369
2744.453249,500,1504.080338
2543.377465,500,1515.187892
2564.629891,500,1526.38443
