policy_entropy,value_loss,total_timesteps,nupdates,fps,explained_variance,ep_reward_mean,ep_len_mean
9.932570457458496,2.6193747520446777,128,1,178,-0.06207466125488281,,
9.935761451721191,0.32313254475593567,12800,100,194,-0.4605644941329956,220.34666037500003,500.0
9.94202709197998,0.3910799026489258,25600,200,194,-1.1000590324401855,220.5356345,500.0
9.937627792358398,0.19270379841327667,38400,300,191,-1.929511308670044,236.47414431578946,500.0
9.796865463256836,1.0371894836425781,51200,400,194,-0.018259406089782715,289.23895495,500.0
9.725556373596191,18.17816925048828,64000,500,194,0.14782768487930298,624.0447350600001,500.0
9.420358657836914,0.013975712470710278,76800,600,192,-0.20430099964141846,1324.04167114,500.0
9.363691329956055,0.0347445122897625,89600,700,191,-0.07073104381561279,2069.14296272,500.0
9.441215515136719,0.02715439721941948,102400,800,189,0.05739361047744751,2896.0416605999994,500.0
9.403877258300781,0.03398025035858154,115200,900,189,0.06546980142593384,3354.2965315,500.0
9.087738037109375,2.4594295024871826,128000,1000,187,0.04282736778259277,3123.8351474799997,500.0
9.395293235778809,0.030556872487068176,140800,1100,187,0.0766858458518982,2662.31598266,500.0
9.728086471557617,0.003514645155519247,153600,1200,188,-0.05599701404571533,2511.8050279000004,500.0
10.18089771270752,0.0023083577398210764,166400,1300,187,-0.45189833641052246,2364.04260604,500.0
10.686903953552246,0.00019393391266930848,179200,1400,188,0.07411396503448486,2499.37828613,500.0
11.196596145629883,3.455172538757324,192000,1500,187,-1.1920928955078125e-07,2840.6587348400003,500.0
11.968204498291016,0.00012636903556995094,204800,1600,188,0.0,2764.22152741,500.0
12.466032981872559,9.060297088581137e-06,217600,1700,188,-0.0003647804260253906,2720.26227939,500.0
12.932367324829102,0.0007502653170377016,230400,1800,188,-0.12029123306274414,2761.4832714,500.0
12.976892471313477,0.0330890417098999,243200,1900,188,-0.7130447626113892,2775.2779467699997,500.0
13.445143699645996,5.012286186218262,256000,2000,188,-0.016317248344421387,2337.58555322,500.0
13.761699676513672,0.01579403504729271,268800,2100,188,-0.051813602447509766,2406.99944134,500.0
13.896724700927734,0.002868977840989828,281600,2200,188,0.260869562625885,2486.7392638399997,500.0
14.625072479248047,0.03312551602721214,294400,2300,187,-0.06315696239471436,2648.15437271,500.0
14.908967018127441,0.005838438868522644,307200,2400,187,0.38259100914001465,3068.80992084,500.0
15.267302513122559,4.118824005126953,320000,2500,187,0.0011423826217651367,3052.5857097100006,500.0
16.20168685913086,0.0019138464704155922,332800,2600,187,-0.01464378833770752,3023.3182844199996,500.0
16.739988327026367,0.007438576780259609,345600,2700,187,0.021447598934173584,3037.9091036600003,500.0
16.770490646362305,0.0037602107040584087,358400,2800,187,-0.38319432735443115,3069.0286906599995,500.0
17.47321891784668,0.021655229851603508,371200,2900,187,-0.024251222610473633,3180.3690063699996,500.0
17.695772171020508,6.456836700439453,384000,3000,187,-0.022576093673706055,3290.601063299999,500.0
18.574312210083008,0.016294684261083603,396800,3100,187,-0.2083796262741089,3391.9665749399996,500.0
19.410816192626953,0.0060526528395712376,409600,3200,187,-0.0034395456314086914,3483.9764179300005,500.0
19.789796829223633,0.0441097617149353,422400,3300,187,0.01162862777709961,3481.6104125300003,500.0
19.727710723876953,0.002981421770527959,435200,3400,187,0.03313934803009033,3512.9556060399996,500.0
20.169097900390625,5.9629669189453125,448000,3500,187,0.009974539279937744,3500.4259468399996,500.0
20.423768997192383,0.013448217883706093,460800,3600,187,0.03543633222579956,3488.87757895,500.0
20.413928985595703,0.011384066194295883,473600,3700,187,-0.11661005020141602,3519.71180652,500.0
20.552753448486328,0.03638209402561188,486400,3800,187,0.16491222381591797,3517.0518436400002,500.0
20.379087448120117,0.05428491160273552,499200,3900,187,0.08615732192993164,3495.5590378400007,500.0
