#{"env_id": null, "t_start": 1582685299.7989726}
r,l,t
4616.630821,1001,60.482342
6540.765942,1001,111.632133
415.625414,1001,163.311975
278.809859,1001,213.582865
5039.576007,1001,264.497517
8582.130101,1001,315.002832
9813.982172,1001,366.226185
10481.584506,1001,417.655254
11068.392498,1001,468.752313
11578.606281,1001,519.163301
11340.269224,1001,570.307972
11559.726639,1001,621.117258
11940.282487,1001,672.901015
11506.834169,1001,723.231719
11778.067128,1001,773.917383
12069.019785,1001,824.20617
12176.359672,1001,875.422625
12385.815328,1001,925.863539
12393.208903,1001,977.095748
12417.308444,1001,1027.46321
12389.894177,1001,1078.800313
12576.440872,1001,1129.951286
12737.346778,1001,1180.204871
12585.653181,1001,1231.557219
12784.343844,1001,1282.422003
12524.775776,1001,1334.324301
12861.659086,1001,1385.418465
12722.531077,1001,1437.265559
12968.713815,1001,1488.99472
13076.60195,1001,1540.662441
12719.425455,1001,1592.603671
12664.249354,1001,1644.091386
12734.339714,1001,1695.553392
12750.807266,1001,1747.32626
12765.886506,1001,1798.16779
12782.821188,1001,1849.31136
12691.242265,1001,1900.948335
13143.442832,1001,1952.123997
12837.495281,1001,2003.644672
12847.332869,1001,2054.591717
13153.973449,1001,2106.211465
13125.217873,1001,2157.268059
13153.386863,1001,2208.749617
13143.526211,1001,2259.150522
12816.788542,1001,2310.699171
12756.011657,1001,2362.268377
12850.244961,1001,2413.864967
12985.841872,1001,2465.408123
12941.875267,1001,2517.464989
12498.916388,1001,2568.823628
13331.088475,1001,2619.645213
12878.668597,1001,2670.086102
13042.121503,1001,2721.230948
12783.297774,1001,2772.393495
13295.85408,1001,2822.899785
13184.645372,1001,2874.602875
13059.769118,1001,2926.765996
12918.765253,1001,2978.485974
13085.738583,1001,3029.531426
13187.119287,1001,3080.50588
12960.008543,1001,3131.993633
12956.8444,1001,3183.090385
12859.659654,1001,3234.535303
13325.161521,1001,3285.512416
12920.199898,1001,3336.723953
13286.075564,1001,3387.998949
13293.328339,1001,3438.606092
13453.312578,1001,3490.601972
12867.349199,1001,3541.626245
12931.626185,1001,3593.215614
12930.408018,1001,3644.00563
13192.918912,1001,3694.911298
12911.808464,1001,3746.549679
13310.611395,1001,3797.125835
13051.998754,1001,3848.598029
13297.046586,1001,3899.970239
12921.120562,1001,3951.267723
12905.288608,1001,4002.686128
13347.57761,1001,4052.870976
13478.877393,1001,4104.832123
13580.190861,1001,4155.533734
12814.434466,1001,4207.872095
13407.692117,1001,4258.856
13439.185902,1001,4310.102408
12831.19151,1001,4360.685802
13387.053647,1001,4411.751811
13421.472595,1001,4462.720932
12873.351295,1001,4513.987365
13453.554755,1001,4564.706238
12900.472532,1001,4616.293633
12878.433291,1001,4667.895038
12905.696046,1001,4719.032804
13170.981241,1001,4769.732006
13211.739054,1001,4820.840473
13473.710574,1001,4870.929567
12859.125968,1001,4921.712373
13245.181992,1001,4972.364814
13403.577302,1001,5024.183816
13523.789051,1001,5074.768412
13433.318532,1001,5126.266664
13402.131507,1001,5177.339129
12909.156541,1001,5228.681159
12921.44012,1001,5280.175391
12894.53606,1001,5331.096961
13027.754412,1001,5382.117331
13002.864719,1001,5434.462558
13459.49078,1001,5486.174506
13238.171857,1001,5538.808052
13465.693352,1001,5589.937575
13217.815415,1001,5641.241404
13576.345427,1001,5692.535393
12807.679146,1001,5745.117191
13346.05322,1001,5797.014282
13225.757114,1001,5848.736986
13128.625949,1001,5901.111409
13201.722858,1001,5953.186778
13313.854236,1001,6004.073501
13561.797451,1001,6055.980517
13367.201403,1001,6107.638645
13234.719659,1001,6159.425663
13009.058863,1001,6211.052383
14203.193256,1001,6263.267199
13068.901253,1001,6315.83324
12885.868928,1001,6368.13088
13292.412581,1001,6420.241546
13445.904835,1001,6472.383492
13919.960138,1001,6523.819891
13774.728748,1001,6575.354388
13353.210299,1001,6627.828854
13032.706806,1001,6680.095033
13016.288544,1001,6732.948081
12906.995017,1001,6785.239078
13331.269446,1001,6836.706257
13219.082074,1001,6887.802198
12986.799039,1001,6939.981546
13093.239476,1001,6992.771208
12927.838518,1001,7045.34479
12902.455842,1001,7097.231745
12910.039823,1001,7149.82309
12944.837245,1001,7202.058263
13961.363127,1001,7254.566011
12899.938717,1001,7307.496481
