#{"t_start": 1582746022.606712, "env_id": "my_panda_free_space_traj"}
r,l,t
5637.049964,1001,54.955975
9259.910955,1001,87.567312
10367.212115,1001,120.04284
9428.241069,1001,151.950708
10847.322124,1001,184.117949
10633.220811,1001,216.280662
10679.591855,1001,248.456177
11120.927118,1001,280.948171
11361.371559,1001,313.151765
11710.586257,1001,344.991785
11879.952784,1001,377.189361
12158.937188,1001,409.388836
12351.53303,1001,441.746006
12241.033189,1001,473.905226
12487.588738,1001,505.741006
12085.875217,1001,537.995348
12590.628335,1001,570.124955
12807.209518,1001,602.300077
13053.342965,1001,634.535975
12875.38293,1001,666.921776
12917.755686,1001,699.052625
12979.342571,1001,731.01345
12952.307417,1001,763.121945
12981.944437,1001,795.300517
13147.0574,1001,826.899284
13036.349385,1001,858.850303
13063.623173,1001,890.878144
13162.803073,1001,923.006205
12995.314505,1001,955.404525
13264.196198,1001,987.176517
13103.847458,1001,1018.846025
13335.677992,1001,1050.777238
13355.293218,1001,1082.847485
13350.153123,1001,1114.767805
13053.622955,1001,1146.816155
13101.536827,1001,1179.209003
13080.142838,1001,1211.540004
13178.637907,1001,1243.484415
13129.563793,1001,1275.705092
13344.245175,1001,1307.663929
13134.992348,1001,1339.534353
13432.319236,1001,1371.633723
13161.844429,1001,1403.472834
13457.123619,1001,1434.94976
13251.421646,1001,1466.954317
13359.000496,1001,1498.866169
13467.102283,1001,1530.866084
13486.670421,1001,1562.541223
13180.666498,1001,1594.546728
13201.99625,1001,1626.307449
13488.189952,1001,1658.06428
13269.644181,1001,1689.859749
13463.539985,1001,1721.884789
13430.902627,1001,1753.716886
13482.416937,1001,1785.372351
13498.784988,1001,1817.012594
13236.344632,1001,1848.867697
13108.10848,1001,1880.673183
13500.052462,1001,1912.51729
13471.840449,1001,1944.392484
13201.02992,1001,1976.2409
13257.625989,1001,2008.036126
13324.634222,1001,2039.561613
13461.001553,1001,2071.175125
13438.072841,1001,2102.991477
13495.045105,1001,2134.464865
13454.728517,1001,2166.206772
13475.19916,1001,2197.610691
13224.06308,1001,2229.262471
13437.93288,1001,2260.998875
13187.989143,1001,2292.217169
13519.016637,1001,2324.065538
13324.060045,1001,2355.858358
13331.59274,1001,2387.581812
13499.750645,1001,2419.139886
13343.116217,1001,2451.16466
13556.200646,1001,2482.690038
13440.819239,1001,2514.302852
13498.311115,1001,2545.85884
13545.037674,1001,2577.35586
13568.06836,1001,2609.133207
13520.300742,1001,2640.744503
13520.707015,1001,2672.02947
13523.61434,1001,2703.704119
13537.209356,1001,2735.071942
13334.111705,1001,2766.732494
13563.126528,1001,2798.446937
13377.558594,1001,2830.252112
13358.167213,1001,2861.817843
13567.274227,1001,2893.538067
13356.241239,1001,2924.922426
13508.574269,1001,2956.776531
13507.759405,1001,2988.444287
13532.201218,1001,3019.960312
13522.997925,1001,3051.414749
13549.404319,1001,3082.908341
13348.286747,1001,3114.348676
13551.211876,1001,3145.942226
13563.281079,1001,3177.546143
13568.688545,1001,3208.927476
13209.851095,1001,3240.448802
13652.162664,1001,3271.897173
13348.872456,1001,3303.696203
13224.924537,1001,3335.133979
13424.845034,1001,3366.320551
13544.601754,1001,3397.464689
13421.787612,1001,3428.77464
13422.606092,1001,3459.773376
13410.674517,1001,3490.979721
13450.669496,1001,3525.565306
13359.051649,1001,3556.171968
13539.356496,1001,3586.681135
13569.402023,1001,3617.257491
13478.069775,1001,3648.128204
13434.144538,1001,3678.612585
13521.501952,1001,3709.066531
13278.889867,1001,3739.321125
13422.214479,1001,3770.135323
13303.902057,1001,3800.936537
13462.716156,1001,3831.639558
13387.210186,1001,3862.150007
13509.259627,1001,3893.028352
13363.102083,1001,3923.373392
13374.876374,1001,3954.150086
13381.878602,1001,3984.95551
13549.939856,1001,4015.492967
13365.643402,1001,4046.076058
13569.82886,1001,4076.714507
13566.759536,1001,4107.156685
13522.77551,1001,4137.655339
13317.948921,1001,4168.983223
13579.270616,1001,4201.534703
13579.780779,1001,4233.029063
13417.125863,1001,4265.163988
13399.641121,1001,4297.21482
13459.60305,1001,4328.692503
13485.59029,1001,4359.729743
13460.217725,1001,4390.730946
13260.049728,1001,4421.998675
13568.294642,1001,4453.719323
13299.597082,1001,4484.930288
13567.008883,1001,4516.274405
