#{"t_start": 1582670043.6031392, "env_id": null}
r,l,t
4087.136009,1001,63.27895
2832.830805,1001,118.609315
3218.873128,1001,173.734715
2866.754551,1001,229.031171
5481.039874,1001,282.763525
5274.270144,1001,337.183117
4391.021319,1001,391.276023
7481.124069,1001,443.992389
6320.444143,1001,497.563727
6034.944633,1001,550.076222
5140.41829,1001,603.64065
5746.690744,1001,656.328895
4802.693014,1001,708.887084
5095.946587,1001,762.057055
5649.355088,1001,815.257413
5517.00712,1001,869.053594
6783.973896,1001,922.28879
6692.116279,1001,975.951185
6456.44805,1001,1029.94101
6353.601402,1001,1084.061376
6118.209809,1001,1137.234206
7194.775269,1001,1190.765083
7589.286807,1001,1244.396225
7619.052197,1001,1298.547117
6381.537248,1001,1352.843052
8068.377976,1001,1407.446324
7541.120266,1001,1461.671666
7119.759802,1001,1516.107546
7119.703174,1001,1569.642226
8303.800254,1001,1624.145806
7261.584794,1001,1677.215348
8756.974289,1001,1730.313112
7245.887417,1001,1784.426205
7680.274763,1001,1837.991049
8684.010359,1001,1892.610879
8485.964088,1001,1946.569092
8393.558463,1001,2000.969673
8934.791063,1001,2055.054712
8277.839731,1001,2108.243833
9237.500258,1001,2162.85006
9674.098433,1001,2220.014926
8121.318783,1001,2274.475991
8473.731985,1001,2327.552909
8698.347819,1001,2381.428169
8929.31231,1001,2434.308221
8874.889376,1001,2486.551435
9616.040007,1001,2540.315176
8745.141322,1001,2596.127165
9128.799273,1001,2649.181132
9560.106267,1001,2702.095106
9587.706965,1001,2754.993001
9444.826283,1001,2808.403754
8962.042529,1001,2861.99185
9079.016939,1001,2915.707463
10083.423235,1001,2967.974671
9815.302867,1001,3022.052985
9302.327747,1001,3075.50349
9427.254942,1001,3128.0409
9554.973158,1001,3181.641695
9880.557983,1001,3235.049732
9924.047263,1001,3291.817015
9792.563963,1001,3344.647589
9738.849131,1001,3397.328006
9879.177684,1001,3450.994332
9563.321421,1001,3503.424411
10217.912381,1001,3556.006371
10010.995744,1001,3608.118578
9771.33502,1001,3660.99267
9864.823103,1001,3713.314308
10165.128146,1001,3767.137501
9930.218039,1001,3819.607242
10317.299481,1001,3872.548978
10177.206489,1001,3926.131736
9959.54185,1001,3980.619365
10245.743401,1001,4034.20868
10232.573359,1001,4087.609629
10590.510766,1001,4140.544531
9977.211032,1001,4195.226157
10869.626203,1001,4249.660931
10285.846932,1001,4302.014957
10092.336187,1001,4357.692356
10222.656195,1001,4411.662722
10446.550799,1001,4465.21571
10795.426343,1001,4517.970281
10401.349073,1001,4570.332443
10418.257155,1001,4623.127514
10456.89197,1001,4675.560462
10527.546054,1001,4728.964402
10525.228545,1001,4781.266001
10308.64405,1001,4834.170844
10585.751225,1001,4887.144444
10591.918468,1001,4940.137387
10630.455344,1001,4992.494503
10563.433424,1001,5045.549091
10687.867174,1001,5097.39929
10608.032744,1001,5150.171086
10806.506359,1001,5203.077356
10615.167823,1001,5256.20946
10883.026821,1001,5309.268184
10784.278838,1001,5364.292377
10913.694295,1001,5417.262956
10253.071433,1001,5469.93349
10572.147985,1001,5523.7871
10692.874747,1001,5576.456999
10844.605862,1001,5629.028213
10473.55507,1001,5682.099722
11014.544693,1001,5735.24913
