total_timesteps,fps,nupdates,policy_loss,explained_variance,value_loss,policy_entropy,ep_len_mean,ep_reward_mean
0,80,1,-0.10775572061538696,-0.013858795166015625,5.8569254875183105,4.2568159103393555,,
13959,137,100,-0.21708476543426514,0.8069808483123779,0.061343077570199966,5.662559986114502,1001.0,696.6350735714285
28059,135,200,-0.092560775578022,0.9720299355685711,0.0028382104355841875,5.651428699493408,1001.0,3441.055019285714
42159,134,300,-0.15896815061569214,0.991189593449235,0.0021904809400439262,5.601564884185791,1001.0,4965.700226914286
56259,134,400,-0.08247366547584534,0.11300867795944214,0.007974316366016865,5.599548816680908,1001.0,5611.098881183672
70359,134,500,-0.1817878633737564,0.9955600872635841,0.0007983756368048489,5.632713794708252,1001.0,5614.768179000001
84459,134,600,-0.18683642148971558,0.995670304633677,0.0013074595481157303,5.636001110076904,1001.0,5997.759420688311
98559,134,700,-0.05971096083521843,0.9935608124360442,0.002044914523139596,5.648772716522217,1001.0,6166.300391769231
112659,134,800,-0.13774850964546204,0.9667829535901546,0.0026030801236629486,5.744292736053467,1001.0,6825.06802165
126759,133,900,-0.12995262444019318,0.9933586656115949,0.004109865520149469,5.771446704864502,1001.0,7231.45579758
140859,133,1000,-0.03842305392026901,0.9874612260609865,0.006514629349112511,5.828925132751465,1001.0,7714.08934417
154959,133,1100,0.09120802581310272,0.989097866229713,0.005661945790052414,5.904294490814209,1001.0,7644.5883914099995
169059,133,1200,0.16028597950935364,0.9990803002729081,0.0019508730620145798,5.9847283363342285,1001.0,7892.03622371
183159,133,1300,-0.05051884055137634,0.9963162755593657,0.02297521010041237,6.0634613037109375,1001.0,8112.012755150001
197259,133,1400,0.0920342206954956,0.9917004453018308,0.002735877176746726,6.130465030670166,1001.0,8114.175989710001
211359,133,1500,0.017639704048633575,-1.2384026050567627,0.0257496926933527,6.236862659454346,1001.0,7539.552230470002
225459,133,1600,-0.09620526432991028,0.9971424059476703,0.0034587944392114878,6.2642083168029785,1001.0,7125.141247899999
239559,133,1700,-0.05066406726837158,0.982752250507474,0.002625697758048773,6.391014575958252,1001.0,6244.478809669998
253659,133,1800,-0.012881036847829819,0.9015150368213654,0.03325240686535835,6.458983898162842,1001.0,6208.582506080001
267759,133,1900,-0.05339838191866875,0.980206361040473,0.0006371650379151106,6.552429676055908,1001.0,6106.663455990001
281859,133,2000,-0.0596700944006443,0.9980753660202026,0.0013411382678896189,6.7373127937316895,1001.0,5958.769000710001
295959,132,2100,0.09286751598119736,0.9986437376355752,0.0008664008928462863,6.81971549987793,1001.0,5799.247790840001
310059,132,2200,-0.13078582286834717,0.9992459382046945,0.0004473355656955391,6.960981369018555,1001.0,6425.04102931
324159,132,2300,-0.022806234657764435,0.9983393677975982,0.000404562393669039,6.9731926918029785,1001.0,6880.56406033
338259,132,2400,-0.08796396851539612,0.9966209752019495,0.0010888855904340744,7.056358814239502,1001.0,7503.699028289999
352359,132,2500,-0.04270221292972565,0.9949027756229043,0.000978020136244595,7.206216812133789,1001.0,7772.683824389999
366459,132,2600,-0.3288302719593048,0.9972454064991325,0.0007449229015037417,7.2200093269348145,1001.0,8017.47238536
380559,132,2700,-0.14231175184249878,0.9989106071880087,0.0007355283014476299,7.205772876739502,1001.0,8214.3831191
394659,132,2800,-0.1707724630832672,0.9984891798812896,0.0004295938997529447,7.2542266845703125,1001.0,8493.223074279998
408759,132,2900,-0.18457110226154327,0.9995593542116694,0.00031433854019269347,7.313398361206055,1001.0,8556.319766039998
422859,132,3000,0.022872917354106903,0.9931751773692667,0.0011667544022202492,7.4472222328186035,1001.0,8679.18817209
436959,132,3100,-0.08057370036840439,0.9987939551938325,0.00034311541821807623,7.4786858558654785,1001.0,8661.18755201
451059,132,3200,-0.1518375277519226,0.9986501532839611,0.00027508268249221146,7.529409408569336,1001.0,8702.813629499999
465159,132,3300,-0.002195984125137329,0.9991895328857936,0.00033478281693533063,7.577080249786377,1001.0,8630.70134809
479259,132,3400,-0.055369675159454346,0.99503418430686,0.0008422369137406349,7.596443176269531,1001.0,8592.9225598
493359,131,3500,-0.041490454226732254,0.9980834575835615,0.00039264667429961264,7.609351634979248,1001.0,8464.65037535
