#{"env_id": null, "t_start": 1582686786.6584837}
r,l,t
8.823947,1000,32.808524
7.331548,1000,58.16273
4.887488,1000,85.142891
5.415578,1000,111.593086
11.804278,1000,138.403694
17.056479,1000,165.424288
35.560145,1000,192.784604
48.349015,1000,222.456286
56.08444,1000,254.062131
40.092756,1000,285.564392
56.531236,1000,316.440874
43.941271,1000,348.114675
58.029774,1000,379.757787
59.290179,1000,411.42678
58.14913,1000,442.720793
58.364815,1000,473.851361
58.302831,1000,505.298456
58.009636,1000,536.561091
57.462778,1000,567.722177
59.138553,1000,598.303282
58.618355,1000,630.19082
58.637986,1000,661.123147
57.531894,1000,693.712469
55.335074,1000,724.46944
56.79129,1000,755.679324
57.481047,1000,786.265024
58.040334,1000,817.177646
57.516376,1000,848.737969
57.265943,1000,881.390557
57.327528,1000,912.691202
58.039214,1000,943.746129
54.366558,1000,974.85336
52.747333,1000,1006.182793
58.520595,1000,1037.218356
55.621958,1000,1067.660868
58.069579,1000,1098.208455
53.179792,1000,1128.608398
58.521405,1000,1159.908601
58.523851,1000,1191.358152
57.900267,1000,1222.227338
53.738779,1000,1252.184143
30.748861,1000,1282.958166
54.977126,1000,1313.480007
58.72187,1000,1344.634686
59.074736,1000,1375.417549
59.966232,1000,1405.934994
56.235571,1000,1436.654989
45.386664,1000,1467.200969
57.200413,1000,1497.85412
52.350118,1000,1528.239832
57.199243,1000,1558.998531
53.024748,1000,1589.321342
55.622703,1000,1619.775122
55.389903,1000,1650.426193
58.632878,1000,1681.795723
57.354177,1000,1712.411636
51.485072,1000,1742.921137
58.456036,1000,1773.636069
59.958152,1000,1804.658706
56.646718,1000,1835.484721
57.569579,1000,1865.938461
59.37762,1000,1896.542744
57.717025,1000,1926.773772
52.013776,1000,1957.198657
59.28374,1000,1986.761516
59.253277,1000,2017.318273
59.182369,1000,2047.710238
57.313877,1000,2078.783967
45.98943,1000,2110.167709
59.208968,1000,2141.030229
57.954769,1000,2170.967798
59.076328,1000,2202.632994
59.738532,1000,2233.674097
58.917066,1000,2263.889364
56.260842,1000,2294.645954
58.332972,1000,2325.238108
58.238887,1000,2355.589032
59.480085,1000,2386.173512
58.690939,1000,2416.633073
57.798491,1000,2447.108441
58.837259,1000,2477.633798
57.293762,1000,2507.831821
57.997512,1000,2538.409014
54.862301,1000,2568.898561
60.320696,1000,2599.653569
58.901933,1000,2630.03781
59.623003,1000,2660.504317
57.919609,1000,2691.208302
58.945728,1000,2722.24249
58.173387,1000,2753.317768
58.736131,1000,2784.100108
58.34601,1000,2815.166998
58.697865,1000,2846.306972
59.022059,1000,2877.305729
55.359697,1000,2908.467075
57.963863,1000,2939.363982
57.587395,1000,2970.72222
56.972917,1000,3001.809654
58.314687,1000,3032.867778
58.062114,1000,3063.952424
58.056558,1000,3095.25119
57.875659,1000,3126.231371
57.735614,1000,3157.413145
59.189856,1000,3188.098106
58.163169,1000,3218.933158
58.788934,1000,3249.785342
59.516311,1000,3280.30728
57.970783,1000,3310.89029
57.608396,1000,3341.568286
59.260235,1000,3371.974386
58.710468,1000,3402.63736
58.810284,1000,3433.320664
58.003241,1000,3463.946902
58.782824,1000,3494.641569
59.275682,1000,3525.894491
58.171946,1000,3556.529649
58.175617,1000,3588.638278
58.599553,1000,3621.233174
59.597343,1000,3653.656727
60.536039,1000,3685.91475
59.771614,1000,3717.621995
58.477676,1000,3749.219227
58.424503,1000,3780.739148
59.240311,1000,3811.947292
59.147336,1000,3843.247907
59.146561,1000,3874.475471
60.080161,1000,3905.99077
58.864766,1000,3937.579403
59.272265,1000,3968.673708
58.489118,1000,4000.351938
59.929351,1000,4031.295518
58.59162,1000,4062.914664
61.658296,1000,4095.012475
62.927946,1000,4127.37596
65.053566,1000,4159.737605
71.341369,1000,4191.883917
70.984496,1000,4224.187765
73.200536,1000,4256.188339
75.050996,1000,4288.290307
78.74097,1000,4320.254612
81.276995,1000,4352.102666
79.815369,1000,4384.382727
