#{"t_start": 1582914434.37085, "env_id": "my_panda_free_space_traj"}
r,l,t
0.12414,1000,205.207421
0.037651,1000,229.497374
5.003432,1000,253.897964
14.00459,1000,278.405555
0.003015,1000,302.850539
1.320464,1000,327.438952
0.662554,1000,351.902186
0.521814,1000,376.597458
0.053362,1000,401.148122
1.376409,1000,425.894109
10.38644,1000,450.736464
2.332436,1000,475.523421
0.757621,1000,500.141351
5.450287,1000,524.687412
12.690291,1000,549.655846
2.725411,1000,574.486292
10.604074,1000,599.491538
3.716379,1000,624.646595
2.958717,1000,649.900067
30.120285,1000,674.406617
15.643147,1000,699.49448
9.790821,1000,723.990081
5.673966,1000,748.519535
2.830994,1000,772.822944
27.265896,1000,796.998311
38.230156,1000,821.121942
10.721642,1000,845.121159
47.03649,1000,869.193276
49.026933,1000,893.236607
56.639076,1000,917.256792
24.163888,1000,941.291389
57.807205,1000,965.132488
24.066612,1000,988.992162
61.691008,1000,1012.868351
38.528604,1000,1036.774367
56.054677,1000,1060.634209
48.417216,1000,1084.571324
33.362569,1000,1108.411711
33.858551,1000,1132.283808
66.362625,1000,1156.051993
69.053867,1000,1179.895703
39.791083,1000,1203.755377
106.520407,1000,1227.697497
77.15212,1000,1251.394533
90.286997,1000,1275.269061
113.493178,1000,1298.935364
104.070353,1000,1322.630084
182.529227,1000,1346.39391
124.29008,1000,1370.164622
112.584057,1000,1393.946389
150.088273,1000,1417.706712
71.491447,1000,1441.289096
102.664407,1000,1464.994542
132.89421,1000,1488.698866
86.061753,1000,1512.402292
229.026195,1000,1536.089939
174.925267,1000,1559.775276
92.797264,1000,1583.308043
166.023962,1000,1606.745746
200.837657,1000,1630.406253
238.14875,1000,1654.233907
223.069366,1000,1677.992967
217.633869,1000,1701.725782
221.725825,1000,1725.462476
530.110476,1000,1749.053212
265.356353,1000,1772.735755
486.453084,1000,1796.452346
408.947636,1000,1820.166615
268.282096,1000,1843.937485
420.791911,1000,1867.73547
697.538811,1000,1891.497077
461.775887,1000,1915.244286
410.453113,1000,1939.206052
733.290858,1000,1963.11754
1013.871335,1000,1986.988113
619.390835,1000,2010.879251
964.35957,1000,2034.881224
647.697057,1000,2058.567602
1536.680102,1000,2082.555353
817.048556,1000,2106.632903
1040.698911,1000,2130.663848
1056.928399,1000,2154.680646
1336.151424,1000,2178.739566
1463.628836,1000,2202.605777
1091.390167,1000,2226.717729
1968.500735,1000,2250.768683
1570.675846,1000,2274.799475
1900.372498,1000,2298.823465
1944.970157,1000,2322.893641
1919.708202,1000,2346.921278
2184.095462,1000,2370.650163
2423.796707,1000,2394.695396
3461.757646,1000,2418.806309
3214.015095,1000,2442.869677
3639.449232,1000,2466.868341
