#{"env_id": null, "t_start": 1582575703.5928075}
r,l,t
7.77766,1000,37.884562
4.162602,1000,70.797241
5.40095,1000,103.973743
5.859922,1000,135.736901
5.033943,1000,168.345242
5.355228,1000,200.068059
7.206238,1000,231.389115
3.928387,1000,267.048377
9.136339,1000,297.720261
11.16662,1000,327.692173
18.620593,1000,357.614115
18.936315,1000,387.948968
18.59636,1000,417.979377
20.404265,1000,448.023349
23.192487,1000,477.153558
26.619178,1000,506.091622
29.933924,1000,535.73004
41.529796,1000,563.912279
64.198655,1000,590.408449
88.830011,1000,616.790669
132.7919,1000,642.589875
426.636813,1000,668.669897
345.912524,1000,694.203312
1075.538196,1000,719.037163
1213.984486,1000,743.838842
1171.722787,1000,768.182865
1912.40057,1000,793.006224
1711.472692,1000,817.172753
2862.088588,1000,841.647435
3188.990395,1000,866.128268
3607.729219,1000,890.172525
477.442344,1000,914.924494
2838.896739,1000,939.548996
3367.471783,1000,964.017219
4038.317834,1000,987.97542
3741.953663,1000,1012.105665
4091.89014,1000,1036.566517
4788.462774,1000,1060.777872
4748.857454,1000,1085.064782
4802.428096,1000,1108.985463
3940.288328,1000,1132.887255
4370.159864,1000,1156.868968
5004.737741,1000,1181.004278
4947.255323,1000,1205.100265
4902.152632,1000,1229.028167
5601.806877,1000,1253.196004
5551.698325,1000,1277.132364
5794.906855,1000,1301.436324
5934.635082,1000,1325.69435
6085.519008,1000,1349.989054
5924.31067,1000,1373.930382
5722.193496,1000,1397.999732
6512.078962,1000,1422.032649
6477.717916,1000,1446.509454
6546.518543,1000,1470.741553
6667.0775,1000,1494.907299
6603.840104,1000,1519.330871
7014.282879,1000,1543.581753
6660.011506,1000,1568.362278
6875.144019,1000,1592.777637
7037.93168,1000,1616.748316
6886.708319,1000,1640.958825
6601.15413,1000,1664.972069
7251.777489,1000,1689.515937
6910.12858,1000,1713.604687
7199.527564,1000,1737.283399
6951.698464,1000,1761.320076
6984.382872,1000,1785.109488
7092.949357,1000,1809.127995
7076.641841,1000,1833.580343
7435.149047,1000,1857.266062
7312.891246,1000,1881.445572
7387.006306,1000,1906.033648
7338.305428,1000,1930.067125
7112.578686,1000,1954.197075
7325.721738,1000,1978.172216
7351.509996,1000,2002.212294
7287.740566,1000,2026.809163
7534.448958,1000,2051.01414
7383.086263,1000,2074.577142
7516.12828,1000,2098.862328
7695.325168,1000,2123.106966
7279.325598,1000,2147.304816
7584.526734,1000,2171.421304
7439.017023,1000,2195.239492
7561.133101,1000,2219.362453
7578.998726,1000,2243.274957
7606.5447,1000,2267.058158
7633.309354,1000,2291.210474
7230.088661,1000,2314.686461
7608.23806,1000,2338.523274
7386.838424,1000,2362.754816
