#{"t_start": 1582582986.5346384, "env_id": null}
r,l,t
3.219977,1000,41.599999
4.800202,1000,71.281142
12.860562,1000,99.100674
15.792497,1000,127.943981
17.871943,1000,157.239082
21.010402,1000,185.044766
22.54355,1000,212.897185
27.655637,1000,240.733406
55.033094,1000,267.920421
102.141515,1000,295.394043
182.496614,1000,323.221389
285.755713,1000,350.611635
220.891898,1000,377.909615
341.195522,1000,407.728395
178.477626,1000,439.070762
172.859363,1000,469.200457
17.840572,1000,499.895995
87.397411,1000,529.277734
364.899195,1000,557.768775
456.240249,1000,588.936519
222.492645,1000,622.697763
357.484589,1000,654.212614
124.123712,1000,686.428311
435.808457,1000,717.621475
255.833888,1000,753.725154
402.918783,1000,783.188252
88.384976,1000,816.752463
309.730825,1000,853.797059
669.023151,1000,890.357239
317.269109,1000,920.53064
184.839932,1000,954.823222
291.328285,1000,991.153061
316.332223,1000,1028.89792
270.601784,1000,1067.867299
610.801847,1000,1102.875921
215.002645,1000,1139.212365
281.049744,1000,1176.102239
521.392079,1000,1211.551018
116.794151,1000,1247.969079
261.559016,1000,1281.34247
261.201995,1000,1316.57304
213.025829,1000,1351.551064
229.911149,1000,1384.957811
192.893151,1000,1420.790552
381.198209,1000,1456.275598
98.506799,1000,1489.001647
288.725408,1000,1522.055487
597.036725,1000,1556.413608
132.699263,1000,1590.27088
211.702851,1000,1623.498194
306.153675,1000,1659.881161
295.81825,1000,1695.247937
245.602425,1000,1731.29642
643.779068,1000,1768.918433
346.076575,1000,1803.615827
253.748314,1000,1840.199847
251.375691,1000,1875.29253
823.030639,1000,1909.086286
152.336874,1000,1947.096558
259.205293,1000,1980.016037
385.731772,1000,2010.847844
180.942945,1000,2046.38871
450.506731,1000,2077.96019
241.250859,1000,2115.425472
571.485813,1000,2151.178847
519.508575,1000,2183.951945
205.924145,1000,2219.92742
643.396071,1000,2252.233608
683.221904,1000,2286.382815
1033.941226,1000,2322.749172
1154.154181,1000,2354.448084
253.996489,1000,2392.127543
589.921821,1000,2425.868291
216.5967,1000,2464.78038
859.12904,1000,2500.115643
499.397186,1000,2535.994083
1069.189834,1000,2568.616054
757.27117,1000,2604.337495
39.241888,1000,2640.56209
321.612457,1000,2678.672849
652.29575,1000,2711.325609
312.263643,1000,2744.363863
390.157445,1000,2776.511908
313.806361,1000,2812.474868
1135.627412,1000,2846.538935
819.980697,1000,2880.606906
651.61828,1000,2914.595017
291.686648,1000,2949.772397
353.239823,1000,2985.201217
1082.299188,1000,3021.059224
218.354166,1000,3056.618722
393.4841,1000,3089.168869
752.16909,1000,3126.453841
363.217838,1000,3161.931801
973.412982,1000,3196.305027
684.897267,1000,3231.744968
715.268675,1000,3266.458299
399.089339,1000,3304.193321
528.929786,1000,3334.042455
248.74951,1000,3369.967242
646.131329,1000,3402.533502
255.816467,1000,3437.502186
357.471774,1000,3473.126165
333.017897,1000,3507.549159
469.263639,1000,3542.733253
467.881352,1000,3577.898946
687.917998,1000,3612.996273
701.966815,1000,3647.673027
677.48072,1000,3683.362627
354.18089,1000,3717.282021
1393.971427,1000,3751.025316
545.359949,1000,3786.97047
205.800227,1000,3823.535319
1191.961858,1000,3857.696993
971.981321,1000,3891.993898
708.64433,1000,3926.367434
480.375757,1000,3964.246603
895.333801,1000,3995.413564
393.271125,1000,4029.767271
1015.475974,1000,4062.925529
380.589288,1000,4098.964599
581.823396,1000,4135.637213
503.418649,1000,4171.327317
1358.265751,1000,4206.526056
577.946554,1000,4240.854528
317.14712,1000,4277.426339
1194.350964,1000,4310.537716
474.808987,1000,4341.374067
931.155672,1000,4373.733409
689.517347,1000,4406.241478
240.432755,1000,4441.774222
1046.686935,1000,4473.350417
548.642062,1000,4505.99222
541.33175,1000,4538.754622
1385.114926,1000,4570.443544
798.492523,1000,4600.449424
449.420583,1000,4633.312114
1374.670232,1000,4668.682825
1465.886387,1000,4701.931655
900.441299,1000,4737.571388
748.72161,1000,4771.549652
541.592498,1000,4807.628354
597.306761,1000,4839.549879
1296.96544,1000,4869.612693
1303.947395,1000,4903.440534
1763.924501,1000,4934.328849
301.43534,1000,4972.299611
651.458876,1000,5005.995817
1962.328777,1000,5036.940955
440.590306,1000,5071.07577
947.154952,1000,5106.680788
673.051641,1000,5140.091655
1348.360692,1000,5171.622467
1220.447378,1000,5201.907008
385.464543,1000,5234.731778
691.947921,1000,5269.66586
478.536169,1000,5302.308369
1492.814709,1000,5337.141687
1033.656465,1000,5368.15046
791.740866,1000,5400.22426
1396.041899,1000,5432.615049
254.406781,1000,5466.521874
544.574351,1000,5496.274229
522.348906,1000,5527.481672
245.641595,1000,5557.622139
1931.921019,1000,5587.845297
418.598881,1000,5617.632135
5001.310125,1000,5645.050451
1453.517327,1000,5671.014267
2120.540972,1000,5699.140325
1546.549096,1000,5729.303165
1710.36966,1000,5756.284808
2011.416802,1000,5786.730871
1813.382441,1000,5816.1994
3024.099856,1000,5841.943717
1864.405056,1000,5870.168993
5443.349727,1000,5896.064063
1711.093844,1000,5924.775766
4677.284928,1000,5952.34359
6243.038542,1000,5979.985972
6577.68213,1000,6006.774644
1786.383378,1000,6032.145727
6743.56726,1000,6061.363913
1811.340265,1000,6086.931316
1950.961276,1000,6116.133749
3876.502999,1000,6140.982547
2820.038775,1000,6170.679867
4093.514629,1000,6200.772789
4634.038914,1000,6226.958092
4477.471714,1000,6251.208343
2457.811356,1000,6275.522294
821.19429,1000,6303.337021
7371.962414,1000,6327.652585
7337.650527,1000,6352.007586
5965.599124,1000,6376.572676
7466.775153,1000,6401.022677
7102.974491,1000,6429.082862
5855.253086,1000,6456.061856
7504.398097,1000,6482.251829
5748.777511,1000,6506.566581
5145.473279,1000,6532.886491
6779.208504,1000,6557.330264
6913.186889,1000,6581.676483
4965.023069,1000,6605.847417
4168.136135,1000,6630.338911
7088.901832,1000,6654.141606
7584.14679,1000,6677.790868
6726.394774,1000,6702.367473
5971.570422,1000,6728.996073
7217.853679,1000,6755.07835
6365.425779,1000,6781.765074
6936.794962,1000,6805.842038
6678.116611,1000,6830.097455
7339.137748,1000,6856.363378
7652.659082,1000,6880.708631
7127.355687,1000,6906.64254
7606.025422,1000,6930.871746
4892.982487,1000,6955.615154
7546.416077,1000,6980.188109
7517.050778,1000,7004.346669
7165.833031,1000,7032.24633
7252.992598,1000,7058.240278
6768.806895,1000,7085.989582
7444.720518,1000,7109.896464
7051.430069,1000,7134.130747
7130.267449,1000,7159.916806
7683.812962,1000,7183.78374
6373.841649,1000,7211.000984
7101.009969,1000,7235.052874
7279.050299,1000,7259.29066
7073.557295,1000,7285.365821
6882.19036,1000,7309.673346
6377.684927,1000,7335.495657
7677.597328,1000,7363.523078
6625.862023,1000,7390.122212
7300.538288,1000,7414.179324
6159.423484,1000,7438.039677
7544.234364,1000,7461.529304
6929.188616,1000,7485.613523
7188.846212,1000,7509.62898
7009.864073,1000,7533.549027
7185.0066,1000,7557.056102
6774.884551,1000,7585.106569
6900.819647,1000,7608.704173
7650.588152,1000,7635.366782
7743.145428,1000,7659.522799
7782.402398,1000,7683.120497
6617.433373,1000,7709.419259
7273.46739,1000,7733.115023
6463.372111,1000,7757.212909
7709.710701,1000,7783.53424
5378.422194,1000,7809.910865
7890.683246,1000,7833.74184
7378.552275,1000,7857.836104
7911.589168,1000,7882.014087
7681.693059,1000,7906.329269
6298.781759,1000,7930.401772
7266.083974,1000,7954.232607
7549.106806,1000,7977.775829
7492.71608,1000,8002.230277
7760.482528,1000,8026.242583
6420.119072,1000,8050.099901
7451.225431,1000,8076.34464
216.197745,1000,8104.914636
7797.273959,1000,8128.986458
7723.748842,1000,8157.56457
7051.594083,1000,8183.96966
7242.49066,1000,8212.462031
7555.573552,1000,8238.037049
6742.046725,1000,8262.553675
7318.396713,1000,8286.365637
6719.653247,1000,8312.725215
6520.836708,1000,8336.819938
7449.822973,1000,8361.049961
7505.128065,1000,8385.095415
6291.805697,1000,8409.260813
4754.344437,1000,8433.504161
7711.74669,1000,8457.569942
6081.758488,1000,8481.298244
7506.004621,1000,8507.404808
7710.505588,1000,8531.161757
5476.062412,1000,8557.657433
7794.67131,1000,8581.72196
6888.223523,1000,8605.546983
7173.780656,1000,8629.362079
