#{"t_start": 1582750191.0854306, "env_id": "my_panda_free_space_traj"}
r,l,t
380.274795,1000,44.679965
403.861179,1000,68.919312
482.981185,1000,93.371471
1896.877685,1000,118.267766
5932.455193,1000,142.808228
8292.324857,1000,167.555763
10272.28453,1000,192.252343
11359.140325,1000,217.213674
12487.189525,1000,241.977957
22822.130458,1000,266.980332
15198.361593,1000,291.761516
16311.295408,1000,316.461808
17104.633934,1000,341.389441
17838.364248,1000,366.318734
18209.29452,1000,390.802943
18604.473594,1000,415.537371
40667.793561,1000,440.186281
42268.422276,1000,465.443341
51708.788934,1000,493.747462
58403.874305,1000,524.227401
63719.257648,1000,549.530076
63188.714516,1000,576.747644
67675.340758,1000,602.735899
70772.002345,1000,627.785491
79237.724136,1000,652.210687
84006.548747,1000,676.240181
91622.343997,1000,700.245744
86980.689507,1000,724.098341
87082.23014,1000,748.055613
90149.144993,1000,771.984684
95758.812722,1000,795.835325
97973.245879,1000,819.63308
95551.528676,1000,844.156574
99697.763353,1000,868.614684
105295.018707,1000,892.975536
110449.696979,1000,917.247006
109246.86595,1000,941.536331
115720.355339,1000,965.651555
114087.139871,1000,989.819835
115652.781849,1000,1013.925133
117561.013386,1000,1038.389627
119584.303069,1000,1062.535984
118411.040564,1000,1086.601985
122677.829591,1000,1110.726112
122883.625322,1000,1134.635688
122910.297182,1000,1158.674817
124601.137892,1000,1183.755625
121192.274238,1000,1213.118265
123280.430145,1000,1238.161737
121075.078544,1000,1264.237499
122782.983487,1000,1287.820243
123539.041384,1000,1311.413924
123971.172168,1000,1335.050142
125333.127208,1000,1358.642617
124527.970314,1000,1382.171137
123411.644395,1000,1405.621112
124883.571917,1000,1429.119536
124633.80886,1000,1452.442929
123709.855287,1000,1475.921492
124217.30267,1000,1499.382648
123297.280966,1000,1522.846616
122858.654781,1000,1546.256085
123624.100779,1000,1569.735649
122884.180665,1000,1592.978498
123657.429856,1000,1616.517983
125737.124187,1000,1640.107235
123427.601514,1000,1663.525987
124380.943515,1000,1686.882571
123285.585558,1000,1710.201798
124178.771766,1000,1733.501481
125482.204502,1000,1756.649673
125010.622794,1000,1780.105942
124643.024084,1000,1803.484036
123973.2815,1000,1826.775389
123654.973731,1000,1850.039292
124346.471337,1000,1873.475319
122885.633579,1000,1897.411319
125072.141184,1000,1920.550941
125057.002615,1000,1943.865834
124992.453135,1000,1967.283789
124851.710874,1000,1990.658226
125545.058872,1000,2014.052613
125124.685008,1000,2037.571824
125065.816456,1000,2060.679822
125145.064366,1000,2083.979758
124475.648677,1000,2107.363139
123859.233041,1000,2130.910077
122171.948207,1000,2154.189374
124927.730253,1000,2177.341223
125381.942198,1000,2200.602814
123302.838892,1000,2223.632243
126023.193382,1000,2246.9198
125365.635127,1000,2270.118032
124769.332031,1000,2293.502313
124328.561745,1000,2317.216386
125374.436226,1000,2340.510969
125205.187102,1000,2363.956811
125623.548857,1000,2387.316181
122812.190019,1000,2411.389886
124279.157691,1000,2435.563779
124445.420666,1000,2459.216572
123325.272315,1000,2482.833061
123066.406565,1000,2506.193982
125234.321777,1000,2529.516209
121882.472675,1000,2553.420822
122612.237539,1000,2576.973251
124557.385704,1000,2600.380894
124643.491033,1000,2623.620109
123753.512324,1000,2647.038636
125462.2795,1000,2670.029252
125455.909119,1000,2693.165363
125905.085004,1000,2716.299906
124485.358641,1000,2739.389787
125241.925062,1000,2762.522706
124652.945464,1000,2785.638677
125361.430896,1000,2808.782893
125809.003329,1000,2831.941931
125032.436297,1000,2854.91334
124788.051169,1000,2878.020816
124615.962864,1000,2901.122675
123809.067711,1000,2924.301361
124054.072766,1000,2947.389356
124023.001039,1000,2970.503569
124546.047115,1000,2993.389757
125198.082373,1000,3016.474911
125906.773996,1000,3039.557001
124888.197852,1000,3062.640872
124663.643003,1000,3085.741399
124849.791592,1000,3108.838377
125467.013876,1000,3131.923906
124119.03986,1000,3155.232852
125134.013776,1000,3178.3557
124495.670269,1000,3201.499128
123658.393437,1000,3224.575868
125529.51668,1000,3247.704594
125590.985213,1000,3270.801709
124509.776826,1000,3293.784605
125612.209641,1000,3316.897172
125547.938716,1000,3340.064672
125128.681224,1000,3363.205449
125486.693725,1000,3386.328845
125915.524868,1000,3409.435565
