#{"t_start": 1582126053.8678122, "env_id": null}
r,l,t
143.666285,1000,43.718776
258.014233,1000,69.513727
448.490631,1000,96.004804
423.599364,1000,121.90194
722.485289,1000,146.736688
499.099574,1000,171.496955
780.627215,1000,196.290652
939.544442,1000,221.061234
979.756199,1000,245.674319
913.851611,1000,270.515612
1050.709977,1000,295.313556
1271.424581,1000,320.172296
1218.38184,1000,344.931874
1313.939855,1000,369.450425
1439.699286,1000,394.055812
1399.62747,1000,418.758563
1576.342304,1000,443.430396
1635.046573,1000,467.970624
1889.166576,1000,492.439463
2325.326322,1000,516.923511
2598.407903,1000,541.260019
2458.788165,1000,565.286864
2302.278868,1000,589.333388
2128.780895,1000,613.326706
1760.377894,1000,637.304027
2725.355808,1000,661.322692
2324.998986,1000,685.482273
2848.974373,1000,709.616669
2431.557787,1000,733.188528
4020.395225,1000,757.343945
2670.481968,1000,781.354737
3311.397476,1000,805.364847
3089.059226,1000,829.326524
3567.892358,1000,853.414176
3164.046376,1000,877.544166
3456.285647,1000,901.25097
3320.166958,1000,924.969077
3883.209287,1000,948.75164
4407.859621,1000,972.325819
5213.793898,1000,995.868249
4515.516267,1000,1019.550838
5153.087026,1000,1042.80847
7854.239645,1000,1066.351179
4492.902293,1000,1089.774575
6270.305762,1000,1113.168767
5508.203301,1000,1136.582312
7684.098925,1000,1160.016416
7184.349523,1000,1183.25684
6240.529595,1000,1206.484658
8286.32629,1000,1229.870905
6868.359063,1000,1253.192259
10398.301218,1000,1276.612319
6981.601644,1000,1299.867938
7997.782392,1000,1323.162225
7866.213786,1000,1346.78835
9169.643935,1000,1370.226747
6971.709803,1000,1393.47543
7605.298699,1000,1417.289163
8396.991587,1000,1441.002049
10173.683376,1000,1464.155495
8133.271825,1000,1488.329004
6728.897077,1000,1511.756983
7680.038693,1000,1534.981554
181.174763,1000,1558.581048
7727.586548,1000,1581.705584
183.387656,1000,1605.30382
11235.361089,1000,1628.354305
7592.604638,1000,1651.150821
11103.941938,1000,1674.616232
235.887729,1000,1698.461835
9210.681152,1000,1722.668432
11259.676246,1000,1746.132806
9973.878517,1000,1770.558157
11763.456765,1000,1793.763448
9825.779715,1000,1816.775683
13584.126347,1000,1840.150078
12207.178702,1000,1863.4314
10741.53826,1000,1886.323585
10105.530157,1000,1909.889466
12556.231376,1000,1932.866023
11709.872701,1000,1955.569019
10972.775368,1000,1978.943635
13522.371333,1000,2002.033032
11765.779862,1000,2025.902652
10891.306841,1000,2048.987142
14069.6559,1000,2071.881665
13787.178483,1000,2094.716491
14613.340764,1000,2118.087794
13329.55351,1000,2140.962442
15023.612789,1000,2163.969817
12235.347222,1000,2186.790955
8693.666766,1000,2209.858816
15923.189338,1000,2232.702729
10016.044363,1000,2255.557173
14016.526328,1000,2278.42339
8203.635979,1000,2301.809946
15314.698943,1000,2324.669403
14054.662483,1000,2347.442009
12964.716882,1000,2370.584291
14825.126097,1000,2393.759119
15781.972214,1000,2417.118173
11191.250501,1000,2440.781611
17270.389981,1000,2463.570255
13755.583417,1000,2487.37522
13896.881287,1000,2510.211072
16739.179278,1000,2533.376738
11865.999773,1000,2556.774912
12189.319992,1000,2579.454982
15798.855716,1000,2602.461291
8653.03062,1000,2625.502782
17620.090281,1000,2648.259148
16853.946562,1000,2671.720542
13461.206069,1000,2694.9941
16071.163923,1000,2717.765659
13795.064937,1000,2740.548055
17118.562047,1000,2763.91117
14348.368346,1000,2788.119073
18371.898603,1000,2811.415465
242.609234,1000,2834.74161
15519.787061,1000,2857.621641
15965.563348,1000,2880.670851
16920.103777,1000,2903.660776
18093.526089,1000,2926.5506
19830.174623,1000,2949.642891
11560.734668,1000,2972.666334
15586.715111,1000,2995.631142
21340.433681,1000,3018.486465
15217.485318,1000,3041.343638
25467.460054,1000,3064.15954
16380.948944,1000,3087.955606
21049.140763,1000,3110.75895
19786.839998,1000,3133.842159
18649.952067,1000,3156.717432
17168.536601,1000,3179.565652
19018.052518,1000,3202.457625
13050.487078,1000,3225.501321
16959.338409,1000,3248.358829
21262.317142,1000,3271.277345
15976.568742,1000,3294.129574
18447.376702,1000,3316.907629
18158.665184,1000,3339.652607
17612.579051,1000,3362.324954
