#{"env_id": null, "t_start": 1582598081.1522696}
r,l,t
734.876047,1000,32.865824
485.791117,1000,59.051569
279.166593,1000,84.687034
464.953707,1000,109.979812
191.401683,1000,137.710912
565.566014,1000,164.338597
701.972862,1000,191.583301
693.358838,1000,217.909962
765.931534,1000,243.299956
1026.535591,1000,268.920364
923.507857,1000,294.437239
1542.893284,1000,319.491476
2713.482196,1000,344.836622
3014.542109,1000,369.435688
1602.473485,1000,394.545464
1548.971362,1000,418.555665
2586.811504,1000,442.622264
1955.608405,1000,466.390645
3151.344734,1000,491.474166
2145.54649,1000,516.18353
3214.869484,1000,541.080326
3006.578861,1000,565.751481
3231.600222,1000,590.339417
1817.015429,1000,615.294044
2170.145026,1000,640.090968
2252.161624,1000,665.271286
4175.130743,1000,689.921574
3710.64059,1000,715.200207
6373.372807,1000,740.025337
4580.605436,1000,763.916572
4241.831896,1000,788.492916
2309.458606,1000,813.070318
6094.536055,1000,838.679914
4747.923661,1000,863.591389
2672.04614,1000,888.612601
3960.916958,1000,913.337333
3452.463948,1000,938.136768
3225.804488,1000,962.990724
4016.369213,1000,987.538357
3998.97756,1000,1012.603318
5637.047898,1000,1038.06076
4644.691953,1000,1062.85934
3828.300185,1000,1088.257596
4477.211167,1000,1113.376228
3424.171974,1000,1138.156649
9815.480155,1000,1163.052097
5127.361646,1000,1188.124693
3861.586014,1000,1213.126525
6221.400436,1000,1238.742455
4326.584747,1000,1263.654128
4649.857792,1000,1289.316623
5351.400716,1000,1315.200856
5077.364645,1000,1341.393247
3082.080716,1000,1366.545493
4281.826553,1000,1392.499819
7830.959849,1000,1417.333118
6127.035308,1000,1442.291503
3781.507645,1000,1467.483287
5636.034423,1000,1493.572165
8428.682404,1000,1519.363887
3298.430305,1000,1544.820138
9011.657218,1000,1570.751621
4910.048427,1000,1596.146883
5957.77601,1000,1621.657273
6625.67818,1000,1647.457773
5420.362952,1000,1673.382396
4680.671078,1000,1699.229706
6633.595173,1000,1725.06601
8293.392072,1000,1751.280744
7489.164678,1000,1776.589234
5447.312577,1000,1802.488168
10816.714875,1000,1828.215099
6636.253,1000,1853.694396
12446.784538,1000,1879.605209
6111.77514,1000,1905.629151
5951.044164,1000,1931.74104
5797.679276,1000,1957.770129
7071.736541,1000,1982.798322
7330.38071,1000,2009.301492
8532.757287,1000,2034.7618
10435.93016,1000,2061.332376
7248.445528,1000,2087.005307
7948.510754,1000,2112.827429
7787.732685,1000,2138.820605
8442.26402,1000,2164.89609
9107.865518,1000,2190.995221
7704.440693,1000,2217.416265
5971.978918,1000,2243.439385
9337.137475,1000,2270.453976
8179.762693,1000,2296.767007
10904.130695,1000,2323.012377
8894.357621,1000,2349.361885
7975.067021,1000,2375.218367
7818.483109,1000,2401.721787
10482.315427,1000,2427.900585
13930.930798,1000,2454.038834
9154.700229,1000,2480.005628
8883.350163,1000,2505.894308
12064.162907,1000,2532.203314
11895.515062,1000,2558.28738
13425.038794,1000,2584.302279
8342.628889,1000,2610.418693
12157.111603,1000,2636.581402
12849.803618,1000,2662.376761
9357.672854,1000,2688.827245
10216.831408,1000,2715.284089
9031.305849,1000,2741.769958
10703.099209,1000,2768.172774
8605.412586,1000,2794.681655
13188.009847,1000,2821.49189
9075.182693,1000,2847.944584
8859.809669,1000,2874.760285
10642.017741,1000,2901.072722
10629.044166,1000,2927.097763
14667.510628,1000,2954.015303
14650.321693,1000,2980.544852
12507.352392,1000,3007.592134
11397.255344,1000,3034.083083
12628.902918,1000,3060.716372
11200.96635,1000,3087.240718
14182.073382,1000,3113.644588
12241.902084,1000,3141.016412
11518.123117,1000,3168.324422
10810.853181,1000,3194.762791
13096.085102,1000,3221.950351
13607.441913,1000,3248.897413
9547.220416,1000,3275.514952
8799.939477,1000,3302.550643
16171.184405,1000,3329.164634
7911.360166,1000,3356.122764
8671.554744,1000,3382.965623
13992.824924,1000,3409.020107
14533.45954,1000,3435.326184
12847.535749,1000,3462.335495
9071.906389,1000,3488.584414
13376.941215,1000,3514.603935
13566.492966,1000,3541.522619
15776.390901,1000,3568.176048
14375.666418,1000,3594.461185
15216.527599,1000,3620.648446
14856.882464,1000,3647.62409
12281.80803,1000,3674.89957
12171.133336,1000,3701.854492
17872.756633,1000,3728.329105
16859.752329,1000,3755.535966
14450.274476,1000,3781.598152
19001.869193,1000,3808.228264
12499.196661,1000,3834.679745
17154.00623,1000,3861.224491
12433.53198,1000,3887.9783
12542.154965,1000,3914.602635
17790.764915,1000,3940.932453
17297.90373,1000,3968.156634
16660.24709,1000,3995.264536
16605.981672,1000,4021.948761
14888.046514,1000,4048.207871
11793.61147,1000,4075.181047
17301.687448,1000,4101.753029
15623.429006,1000,4128.237607
13551.640788,1000,4154.955114
13477.463183,1000,4181.169306
24875.286146,1000,4208.338718
15940.629299,1000,4234.928496
14763.091554,1000,4261.378085
18320.885577,1000,4288.266496
13070.661503,1000,4314.72524
19389.70463,1000,4341.356453
16296.456432,1000,4368.165592
16871.876893,1000,4394.422978
19626.42489,1000,4421.239672
16646.031438,1000,4447.810423
13157.114182,1000,4474.380917
19156.928494,1000,4501.597098
26668.209331,1000,4527.936635
14036.746493,1000,4554.750006
19170.751381,1000,4581.362153
16139.035499,1000,4608.120539
13514.264128,1000,4635.606278
21951.05721,1000,4662.927519
26084.768592,1000,4690.266845
14920.423383,1000,4717.119708
22808.367807,1000,4744.333875
23736.360319,1000,4771.33406
17296.72374,1000,4798.545205
20917.199014,1000,4824.579331
17473.777763,1000,4851.427404
19556.033001,1000,4878.275825
24223.412264,1000,4905.120359
19615.645929,1000,4932.485287
16860.727511,1000,4959.252434
22460.207355,1000,4986.178861
19283.538174,1000,5012.897509
27518.126324,1000,5039.831959
17792.793635,1000,5066.813922
21901.729394,1000,5093.643145
20291.482611,1000,5120.299439
24177.139817,1000,5147.179616
16026.70845,1000,5174.246394
18452.039476,1000,5201.043159
19982.832239,1000,5227.501643
24319.241688,1000,5254.448201
13830.544,1000,5281.262353
24445.043288,1000,5308.182339
26704.659959,1000,5334.690876
18965.626666,1000,5361.343984
17968.11986,1000,5388.712862
29609.550369,1000,5416.066074
21307.233049,1000,5442.178488
24215.074009,1000,5469.166052
24740.419199,1000,5495.822409
25866.393187,1000,5523.140809
27635.959522,1000,5549.356518
20762.183252,1000,5576.472071
21246.22323,1000,5602.867956
18536.117173,1000,5629.902941
18844.198147,1000,5656.496639
17221.053008,1000,5683.576436
21220.283439,1000,5711.086576
24548.988125,1000,5738.659032
26754.589438,1000,5765.750927
17600.58399,1000,5792.470965
16889.612659,1000,5819.631339
23149.762678,1000,5846.826375
24700.304211,1000,5873.443477
33168.667615,1000,5900.633198
21526.865571,1000,5927.287561
25928.38035,1000,5954.35973
27772.062462,1000,5981.218758
28522.450974,1000,6008.799456
25860.072813,1000,6036.311584
26596.705256,1000,6063.337688
20388.30251,1000,6090.759214
28986.684717,1000,6117.463462
25430.574863,1000,6144.201233
32722.883221,1000,6171.443173
32504.450327,1000,6198.470439
29763.872094,1000,6225.806241
23789.028477,1000,6252.92821
31833.873402,1000,6279.967534
28366.699805,1000,6307.250114
25195.748214,1000,6334.528768
25505.670658,1000,6361.206059
26257.672533,1000,6387.937847
29719.245537,1000,6415.00378
23844.807929,1000,6441.529016
26611.413346,1000,6469.02462
27019.902216,1000,6495.830548
30065.488311,1000,6523.305478
29709.65565,1000,6550.276809
25612.538433,1000,6577.150477
29246.302708,1000,6604.17563
38536.691441,1000,6631.488279
27748.311582,1000,6658.362795
25694.979106,1000,6684.946885
26993.883413,1000,6711.048006
26419.287429,1000,6737.195384
24654.566474,1000,6763.101858
28314.482795,1000,6789.712799
32218.643298,1000,6815.700758
29446.061558,1000,6841.025102
28820.274731,1000,6867.326812
33945.783301,1000,6893.59411
26850.649113,1000,6919.746823
29968.540545,1000,6945.606679
41340.095672,1000,6970.679281
35002.108354,1000,6996.91333
31223.750988,1000,7022.486504
28659.818965,1000,7048.339284
36373.2715,1000,7073.959727
41039.435222,1000,7099.210994
33780.843903,1000,7124.525247
29522.538925,1000,7149.550855
30523.371795,1000,7174.237976
34342.811419,1000,7199.47679
29642.287441,1000,7224.148749
35670.170535,1000,7249.547271
35919.190159,1000,7274.874364
40547.349994,1000,7299.759131
29127.510698,1000,7325.31512
45321.973134,1000,7350.686933
37012.270947,1000,7375.724983
36816.040901,1000,7400.557446
37675.531975,1000,7426.025975
29163.781918,1000,7451.001332
43017.345459,1000,7476.224972
