nupdates,value_loss,explained_variance,policy_loss,total_timesteps,fps,policy_entropy,ep_reward_mean,ep_len_mean
1,38.433685302734375,0.02450770139694214,-0.16648495197296143,0,31,9.93256950378418,,
100,0.01749597303569317,-133.5443572998047,-0.37360355257987976,3267,196,9.932092666625977,54.112887,1000.0
200,0.004570828750729561,-51.462589263916016,-0.43415144085884094,6567,206,9.90937328338623,30.633460666666668,1000.0
300,0.003145829774439335,-70.6005630493164,-0.18240727484226227,9867,205,9.89771556854248,23.01126422222222,1000.0
400,0.002552012912929058,-58.454322814941406,-0.45603808760643005,13167,201,9.91768741607666,19.107629499999998,1000.0
500,1.2151358127593994,-8693.5263671875,-0.5585145354270935,16467,188,9.910040855407715,15.517303625000002,1000.0
600,0.008137749508023262,-11.028108596801758,0.18340566754341125,19767,185,9.913028717041016,13.21500710526316,1000.0
700,0.0010469256667420268,-2.2647104263305664,0.08865628391504288,23067,181,9.914533615112305,11.446468954545457,1000.0
800,0.0011171754449605942,-1.7624919414520264,-0.46765774488449097,26367,179,9.891826629638672,10.156109160000002,1000.0
900,0.00040806239121593535,-3.1023011207580566,-0.389105886220932,29667,178,9.885037422180176,9.091413214285716,1000.0
1000,0.9665778875350952,nan,0.20906788110733032,32967,174,9.8847017288208,8.05980946875,1000.0
1100,0.0003813303483184427,-3.387392044067383,-0.3813095688819885,36267,171,9.89598560333252,7.3909516,1000.0
1200,0.0008095799130387604,-5.211734294891357,-0.4145433306694031,39567,170,9.90141487121582,6.857179868421054,1000.0
1300,0.0014563989825546741,-9.843413352966309,0.18865443766117096,42867,168,9.901314735412598,6.382287658536585,1000.0
1400,0.0005239656311459839,-6.103147506713867,-0.06710821390151978,46167,168,9.893335342407227,5.976674681818181,1000.0
1500,0.7532880306243896,-13.097307205200195,-0.11154131591320038,49467,165,9.889249801635742,5.524671520833334,1000.0
1600,0.0007398356683552265,-10.251260757446289,0.008422701619565487,52767,166,9.876470565795898,5.307185882352942,1000.0
