#{"t_start": 1583334112.0607436, "env_id": "my_panda_free_space_traj"}
r,l,t
0.223005,1000,8.473966
0,1000,14.982482
0,1000,21.508843
0,1000,27.739104
0,1000,34.361329
0,1000,40.858611
0,1000,47.268188
0,1000,53.412095
0,1000,59.256236
0,1000,66.043827
0,1000,71.512131
0,1000,78.220548
0,1000,84.853055
0,1000,91.349748
0,1000,97.997193
0,1000,104.790323
0,1000,111.698163
0,1000,118.402566
0,1000,124.960383
0,1000,131.729645
0,1000,138.161369
0,1000,144.755552
0,1000,151.330876
0,1000,157.702852
0,1000,164.21854
0,1000,170.130868
0,1000,175.366245
0,1000,180.462155
0,1000,185.48368
0,1000,190.553915
0,1000,196.025159
0,1000,201.149626
0,1000,206.403129
0,1000,211.671848
0,1000,216.820462
0,1000,221.873233
0,1000,227.030908
0,1000,232.136697
0,1000,237.215334
0,1000,242.477308
0,1000,247.43194
0,1000,252.597398
0,1000,257.687821
0,1000,262.772319
0,1000,267.792013
0,1000,272.689172
0,1000,277.812754
0,1000,283.086225
0,1000,288.169058
0,1000,293.322425
0,1000,298.248607
0,1000,303.549807
0,1000,308.679468
0,1000,313.830641
0,1000,319.225681
0,1000,324.439328
0,1000,329.724014
0,1000,334.802549
0,1000,339.88039
0,1000,345.029915
0,1000,350.136729
0,1000,355.243401
0,1000,360.317222
0,1000,365.334513
0,1000,370.621518
0,1000,375.713613
0,1000,380.757012
0,1000,385.974565
0,1000,390.947612
0,1000,396.061594
0,1000,401.12666
0,1000,406.233447
0,1000,411.327162
0,1000,416.316203
0,1000,421.507768
0,1000,426.655991
0,1000,431.642034
0.201279,1000,436.87791
0,1000,441.963546
0,1000,447.127113
0,1000,452.217895
0,1000,457.199785
0,1000,462.33265
0,1000,467.439288
0.113321,1000,472.43238
0.155841,1000,477.547709
0.117917,1000,482.521484
0.22862,1000,487.607171
0.157246,1000,492.706617
0,1000,497.87625
0.39927,1000,502.968837
0.182272,1000,507.958324
0.332343,1000,513.132686
0.201251,1000,518.249403
0.165271,1000,523.23038
0.425895,1000,528.316449
0,1000,534.30077
0,1000,540.521274
0,1000,547.179718
0,1000,553.778125
0,1000,560.579368
0.079863,1000,565.741852
0,1000,570.759208
0,1000,575.926991
0,1000,580.898112
0,1000,586.03586
0,1000,591.094293
0,1000,596.21467
0,1000,602.503947
0,1000,608.691643
0,1000,613.830351
0.166981,1000,618.884859
0,1000,623.912252
0,1000,629.040473
0.324446,1000,634.041076
0,1000,639.196234
0,1000,644.265517
0,1000,649.30686
0,1000,654.337521
0,1000,659.236863
0,1000,664.325581
0.224776,1000,669.443635
0,1000,674.404971
0,1000,679.487383
0,1000,684.431318
0,1000,689.481047
0.145968,1000,694.529782
0,1000,699.688745
0,1000,704.925512
0,1000,710.107325
0,1000,715.277521
0,1000,720.282611
0,1000,725.218888
0,1000,730.328054
0,1000,735.265071
0,1000,740.367411
0,1000,745.47066
0,1000,750.461097
0,1000,755.538873
0,1000,760.573555
0,1000,765.505864
0,1000,770.573258
0,1000,775.556923
0,1000,780.640249
0.557479,1000,785.671583
0,1000,790.738964
0,1000,795.729266
0,1000,800.653481
0.288327,1000,805.684174
0,1000,810.701344
0,1000,815.745117
0,1000,820.938193
0,1000,825.984798
0,1000,831.178787
0,1000,836.345369
0,1000,841.3669
0,1000,846.592646
0,1000,851.754884
0.276801,1000,856.74899
0,1000,861.975988
0,1000,867.00892
0,1000,872.08772
0,1000,877.106736
0,1000,882.187574
0.345802,1000,887.335041
0,1000,892.228015
0.2241,1000,897.366261
0.276641,1000,902.52532
0,1000,907.502669
0,1000,912.603589
0,1000,917.560391
0.495791,1000,922.759548
0.149987,1000,927.852201
0,1000,932.835907
0,1000,937.86493
0,1000,942.799043
0,1000,947.952302
0.215533,1000,953.024289
0,1000,957.982816
0,1000,963.122919
0,1000,968.050049
0.351516,1000,973.162523
0,1000,978.200092
0.272502,1000,983.148047
0,1000,988.249105
2.927737,1000,993.275388
0.177472,1000,998.385151
3.518227,1000,1003.651726
0,1000,1008.646916
0,1000,1013.767113
0.258237,1000,1018.785209
0,1000,1023.830402
0.592533,1000,1028.923486
0,1000,1033.913266
0,1000,1039.029765
0.404037,1000,1043.987009
0.127016,1000,1048.891352
0,1000,1054.056919
0,1000,1058.999515
0.326082,1000,1064.091137
0.459062,1000,1069.10725
0,1000,1074.158947
0.205024,1000,1079.245322
0,1000,1084.333399
0,1000,1089.245403
0.260823,1000,1094.356849
0,1000,1099.349138
0.68734,1000,1104.466852
0,1000,1109.542547
0.397934,1000,1114.597816
1.500061,1000,1119.701812
0.85547,1000,1124.706427
0.622697,1000,1129.816222
0.654175,1000,1134.952001
2.852313,1000,1139.899835
1.694446,1000,1145.116498
0.180024,1000,1150.054488
0,1000,1155.218146
0.427172,1000,1160.220402
5.193578,1000,1165.189602
0.423105,1000,1170.334424
0.074162,1000,1175.320299
0.198187,1000,1180.323632
0.024029,1000,1185.689718
0.292896,1000,1190.656586
0.371549,1000,1195.789763
1.704115,1000,1200.803974
0.040975,1000,1206.055703
0.613483,1000,1211.264993
5.848701,1000,1216.161002
2.029704,1000,1221.262531
1.800986,1000,1226.311069
3.325449,1000,1231.249525
3.17108,1000,1236.36994
1.089077,1000,1241.319665
1.556199,1000,1246.511047
1.913967,1000,1251.504709
7.012742,1000,1256.462366
1.969468,1000,1261.46855
2.362433,1000,1266.478411
3.331887,1000,1271.63871
2.279039,1000,1276.647879
5.537686,1000,1281.746526
4.753996,1000,1286.985243
5.12866,1000,1291.912185
4.133048,1000,1296.984044
2.502297,1000,1301.947955
2.797936,1000,1306.838819
4.571415,1000,1311.91084
2.08646,1000,1316.915013
6.021923,1000,1321.789981
4.89879,1000,1326.826895
4.897121,1000,1331.690456
9.323778,1000,1336.713947
6.101154,1000,1341.715215
5.55174,1000,1346.817886
4.043938,1000,1351.986007
5.328134,1000,1356.918952
10.42245,1000,1361.988285
5.263184,1000,1367.105465
7.134421,1000,1372.025829
8.306596,1000,1377.084958
5.935817,1000,1381.964828
6.87648,1000,1387.101299
6.997578,1000,1392.096614
9.920456,1000,1397.02574
6.946274,1000,1402.052891
7.841642,1000,1407.046474
5.120004,1000,1411.958022
3.466776,1000,1417.02529
5.807539,1000,1421.893141
8.106867,1000,1427.023249
6.968608,1000,1432.035784
8.839759,1000,1437.053362
5.750172,1000,1442.123505
10.990776,1000,1447.010352
10.586563,1000,1452.085569
15.547009,1000,1457.018665
10.378815,1000,1461.831494
12.141223,1000,1466.84419
