#{"t_start": 1580927439.944197, "env_id": "my_panda_free_space_traj"}
r,l,t
0.019459,1000,6.551008
0.019459,1000,10.912855
0.019459,1000,15.173608
0.019459,1000,19.176417
0.019459,1000,23.26352
0.019459,1000,27.353826
0.019459,1000,31.404814
0.019459,1000,35.610247
0.019459,1000,39.67706
0.019459,1000,43.736835
0.019459,1000,47.83672
0.019459,1000,51.818259
0.019459,1000,55.90922
0.019459,1000,59.838427
0.019459,1000,63.921795
0.019459,1000,67.957833
0.019459,1000,72.039237
0.019459,1000,76.092573
0.019459,1000,80.125267
0.019459,1000,84.15243
0.019459,1000,88.268671
0.019459,1000,92.180488
0.019459,1000,96.288504
0.019459,1000,100.203866
0.019459,1000,104.285166
0.019459,1000,108.320322
0.019459,1000,112.316894
0.019459,1000,116.30407
0.019459,1000,120.292407
0.019459,1000,124.294939
0.019459,1000,128.479991
0.019459,1000,132.57107
0.019459,1000,136.526273
0.019459,1000,140.761243
0.019459,1000,144.95202
0.019459,1000,149.029727
0.019459,1000,153.105639
0.019459,1000,157.211933
0.019459,1000,161.243445
0.019459,1000,165.30086
0.019459,1000,169.343273
0.019459,1000,173.763983
0.019459,1000,177.881399
0.019459,1000,182.167645
0.019459,1000,186.113848
0.019459,1000,190.239147
0.019459,1000,194.390601
0.019459,1000,198.660799
0.019459,1000,202.906701
0.019459,1000,207.191161
0.019459,1000,211.326086
0.019459,1000,215.443331
0.019459,1000,219.615755
0.019459,1000,223.704129
0.019459,1000,227.749771
0.019459,1000,231.906405
0.019459,1000,235.933873
0.019459,1000,240.014703
0.019459,1000,244.272832
0.019459,1000,248.290452
0.019459,1000,252.435305
0.019459,1000,256.563572
0.019459,1000,260.534519
0.019459,1000,264.760521
0.019459,1000,268.730966
0.019459,1000,272.778397
0.019459,1000,276.830847
0.019459,1000,281.055184
0.019459,1000,285.174848
0.019459,1000,289.337439
0.019459,1000,293.579325
0.019459,1000,297.891259
0.019459,1000,301.947113
0.019459,1000,306.36762
0.019459,1000,310.917745
0.019459,1000,315.249969
0.019459,1000,319.612724
0.019459,1000,323.61813
0.019459,1000,327.711386
0.019459,1000,331.746621
0.019459,1000,335.982848
0.019459,1000,340.017987
0.019459,1000,344.095972
0.019459,1000,348.257036
0.019459,1000,352.328147
0.019459,1000,356.589539
0.019459,1000,360.926265
0.019459,1000,365.328716
0.019459,1000,369.72014
0.019459,1000,374.037105
0.019459,1000,378.430341
0.019459,1000,382.774612
0.019459,1000,387.117793
0.019459,1000,391.550094
0.019459,1000,395.5232
0.019459,1000,399.994425
0.019459,1000,404.492427
0.019459,1000,408.89666
0.019459,1000,413.149799
0.019459,1000,417.253955
