#{"env_id": "my_panda_free_space_traj", "t_start": 1585150645.2596633}
r,l,t
264.101409,500,16.923309
179.229242,500,27.324844
196.829281,500,37.658284
339.287825,500,47.927722
165.519801,500,58.374464
234.301813,500,68.614427
221.902305,500,78.905224
479.324131,500,89.243593
265.357431,500,99.38455
403.055096,500,109.506323
675.681165,500,119.72929
1066.807592,500,129.602644
1161.732011,500,139.423965
1605.198089,500,149.556371
2045.797863,500,159.828219
2729.223903,500,170.482317
4216.955329,500,181.463328
2615.521682,500,192.609719
4337.733274,500,203.494551
4394.662752,500,214.332699
4158.033788,500,225.10497
4466.092935,500,235.898129
4768.481263,500,246.561082
5553.164466,500,257.510393
6046.155824,500,268.389478
5824.235584,500,279.314396
6080.382562,500,290.382327
6182.956538,500,301.635357
6579.275538,500,312.682996
7177.090691,500,323.769272
7801.713936,500,334.850952
7533.323584,500,345.397906
8568.844822,500,355.708378
10071.353008,500,366.105725
9136.093857,500,376.736068
10195.986538,500,387.228822
11021.028869,500,397.511003
12156.382929,500,407.928237
11847.372088,500,418.466081
12353.068353,500,429.091951
12340.78814,500,439.955688
10775.085148,500,450.509638
12114.391193,500,460.883308
13288.73425,500,471.469139
11381.486275,500,481.961606
14410.44794,500,492.210812
14170.542003,500,502.488097
14010.100092,500,512.919221
12827.268448,500,523.115212
14815.804168,500,533.452957
17377.767093,500,543.990546
12781.378464,500,554.70155
16391.55734,500,565.082429
17737.153859,500,575.596952
18091.536871,500,585.967678
17970.758888,500,596.226675
19298.994323,500,606.477313
19783.00216,500,616.953581
19145.773058,500,627.200301
19692.42124,500,637.567432
18685.698811,500,648.071084
21327.962744,500,658.289706
22638.626592,500,668.522056
21077.470239,500,678.845457
22793.350456,500,689.421882
24331.697859,500,699.724618
21374.652066,500,709.982559
26783.447589,500,720.531507
25151.277275,500,731.035701
25552.237838,500,741.390879
25811.869212,500,751.812216
28240.822922,500,761.978197
28181.106388,500,772.223959
26327.006608,500,782.679552
24808.765645,500,793.017536
23935.949076,500,803.342461
28788.095697,500,813.786201
19202.171876,500,824.402033
20937.459432,500,835.113875
23734.564807,500,845.926715
25734.838991,500,856.232428
24811.533553,500,866.810512
26071.908497,500,877.321547
29755.337897,500,887.806014
27536.234915,500,898.217211
28355.441868,500,908.505887
30049.273772,500,918.992742
22006.899452,500,929.559561
33226.243751,500,939.804431
29958.892759,500,950.387117
27113.139945,500,961.401284
31957.879091,500,971.640099
31280.157908,500,981.836082
33539.946714,500,992.083458
33319.789068,500,1002.669397
31851.153088,500,1013.026587
32533.504986,500,1023.435183
31604.49554,500,1033.895875
31710.50339,500,1044.115645
33781.265957,500,1054.560475
33718.580707,500,1065.094826
32949.102165,500,1075.441362
34441.11252,500,1085.806239
37058.003216,500,1096.186828
35645.549041,500,1106.396009
35557.099818,500,1116.663763
32205.493493,500,1127.171405
37203.561649,500,1137.601074
36173.004265,500,1147.836751
37988.977987,500,1158.102528
38987.928395,500,1168.568271
37452.799874,500,1179.289404
40181.678329,500,1189.48912
41417.01788,500,1199.960358
39915.81096,500,1210.33172
37965.904999,500,1220.583931
42067.896514,500,1230.773892
42537.314054,500,1241.205483
39297.948908,500,1251.412194
38740.280591,500,1261.607103
41257.19566,500,1272.062115
42875.613571,500,1282.239195
40830.366166,500,1292.390482
41569.08715,500,1302.575367
