#{"t_start": 1586630724.4471102, "env_id": "my_panda_free_space_traj"}
r,l,t
223.121284,500,16.811285
239.509668,500,26.926543
203.025662,500,37.433181
126.398987,500,47.699027
231.428402,500,58.147249
212.253333,500,68.647076
155.559941,500,78.794111
225.856857,500,88.850007
191.255744,500,98.917036
275.970856,500,109.224392
224.023742,500,119.163958
426.278715,500,129.119728
1306.681651,500,139.130162
1206.517486,500,148.934905
1544.675481,500,158.859946
1470.29143,500,168.860964
1464.391133,500,179.221996
1656.648085,500,189.420271
1813.09976,500,199.70995
2013.22191,500,210.372436
2501.755982,500,220.815858
2043.121329,500,231.121518
2454.941049,500,241.704466
2501.367872,500,252.190562
1761.945321,500,262.633332
3031.272241,500,273.491287
2500.705287,500,284.103126
2108.045756,500,294.619256
3771.102896,500,305.217208
2829.091675,500,316.06352
3967.114512,500,326.741763
3538.862641,500,337.492062
3507.598329,500,348.198091
3782.207429,500,359.158754
3969.020334,500,369.878457
4075.279386,500,380.966236
4333.858442,500,391.782367
4382.204617,500,402.522706
4087.315246,500,413.320681
4154.497744,500,424.301828
4303.506197,500,434.995707
4704.512353,500,445.607996
4228.551345,500,456.490326
5642.143168,500,467.27558
5016.545258,500,478.168824
8196.816808,500,489.215766
6454.097192,500,500.4149
7123.200445,500,511.462775
8028.128862,500,522.529418
9615.115071,500,533.951484
11639.384954,500,545.107677
14719.346796,500,556.145069
10449.799103,500,567.119996
7364.590082,500,577.602832
10758.042832,500,588.27562
12142.443148,500,599.133762
16727.901732,500,609.86228
17633.128941,500,620.728216
16853.438904,500,631.985488
16410.865058,500,643.351151
19919.95293,500,654.594692
15490.654192,500,665.715558
14268.609594,500,676.843552
17781.376294,500,688.245479
15841.085268,500,699.195029
15725.084041,500,710.557183
17556.103868,500,721.749304
16480.047247,500,732.808559
19749.080089,500,743.990139
21664.728509,500,755.290668
19936.572162,500,766.446462
20669.410347,500,777.438638
22498.475071,500,790.162334
20729.186497,500,802.486058
21903.777106,500,814.324871
21517.35065,500,825.895803
20578.965488,500,837.449011
20720.653035,500,848.589352
21894.702454,500,859.727034
22341.100843,500,870.900685
22682.7343,500,881.694672
25108.740762,500,892.439656
23551.497792,500,903.362671
24905.57856,500,914.296111
24982.868778,500,925.619149
22480.410899,500,936.939642
25654.972233,500,948.104493
27732.715454,500,959.265274
22625.37125,500,970.493086
26629.345609,500,981.96461
26809.848698,500,993.137967
27851.979913,500,1004.203158
26487.762498,500,1015.137326
27514.688914,500,1026.418646
27577.892902,500,1037.304596
26408.170638,500,1048.488739
28674.976635,500,1059.464967
27771.349722,500,1070.301168
26919.631924,500,1081.362297
30942.636153,500,1092.490485
28774.147255,500,1103.344859
31310.439038,500,1114.302111
29513.579865,500,1125.648896
30109.590467,500,1136.611245
31773.68269,500,1147.498087
30855.342389,500,1158.22177
29937.651483,500,1168.931984
32585.096755,500,1179.680768
31921.188682,500,1190.422578
31466.205756,500,1201.466596
33961.343945,500,1212.254349
29468.415751,500,1223.110051
36142.018341,500,1234.152293
34234.157367,500,1244.727017
34836.269098,500,1255.233942
27926.324394,500,1266.091248
33446.470172,500,1277.03318
32542.958649,500,1287.888667
32983.086791,500,1298.919905
33578.874675,500,1310.217324
35474.142775,500,1321.196978
29874.596315,500,1332.251059
31133.581175,500,1343.198552
35839.252045,500,1354.428735
30865.660545,500,1365.558089
32029.911727,500,1377.011297
36009.349024,500,1388.065922
36831.429965,500,1398.969284
33763.346647,500,1410.009027
35126.455767,500,1421.378342
35113.923212,500,1432.443732
34359.103561,500,1443.395793
35660.969266,500,1454.681889
37469.545127,500,1465.704779
36323.103809,500,1476.70488
36221.934724,500,1487.661836
37207.953895,500,1498.848398
38644.511261,500,1509.812902
39705.600001,500,1520.598576
39753.692809,500,1531.515978
40510.876502,500,1542.193901
44620.337641,500,1552.77185
12270.978084,500,1563.462497
45784.015646,500,1574.098368
44380.191034,500,1584.784312
35973.489266,500,1595.777036
41283.996861,500,1606.843221
45272.018505,500,1617.712836
45379.025946,500,1628.481699
46613.726841,500,1639.56785
48578.394175,500,1650.304749
49647.767278,500,1661.059927
48687.652082,500,1671.638192
50298.158699,500,1682.609253
52358.481894,500,1693.301621
52776.249555,500,1704.265321
49008.897095,500,1714.953384
52783.346059,500,1725.651897
53954.998841,500,1736.265455
51620.596316,500,1747.197608
54132.73697,500,1757.7646
54247.057711,500,1768.358442
54006.822725,500,1779.150331
55927.305059,500,1789.675274
54173.913693,500,1800.370401
53446.15924,500,1811.228046
50794.548601,500,1822.30582
55328.660936,500,1833.231625
55571.186444,500,1844.20612
55453.160271,500,1855.336559
56850.589798,500,1866.153784
54375.602598,500,1877.065844
49352.116851,500,1888.344002
56795.450478,500,1899.531716
53986.821257,500,1910.494993
59075.317267,500,1921.815742
58496.847617,500,1932.865603
55233.506236,500,1943.793396
54768.696074,500,1954.929288
54105.98826,500,1966.32021
49886.076383,500,1977.594095
55707.392599,500,1988.886171
55866.239476,500,2000.385905
57096.551687,500,2011.560646
59172.277151,500,2022.424302
59295.130235,500,2033.571306
56741.637762,500,2044.466844
59142.811349,500,2055.20014
59608.62434,500,2065.994415
57020.036202,500,2077.27777
56623.081007,500,2088.325719
60666.826667,500,2099.54383
57235.816435,500,2111.127074
59049.922002,500,2122.091324
60789.588897,500,2132.989253
58483.469796,500,2144.060744
58485.103157,500,2155.512345
57901.122291,500,2166.266205
59267.146253,500,2177.137946
58978.507788,500,2188.443478
60033.755681,500,2199.220814
60308.450808,500,2210.147166
58071.014919,500,2221.383312
59981.411369,500,2232.404317
57057.071892,500,2243.552696
60746.866711,500,2254.638335
59547.051264,500,2265.842426
57261.09543,500,2277.13632
57902.948676,500,2288.610978
60810.015235,500,2300.570921
60057.634489,500,2311.879553
59997.276827,500,2323.223597
