#{"env_id": "my_panda_free_space_traj", "t_start": 1586673142.5661242}
r,l,t
140.932123,500,16.595448
268.217103,500,26.948119
134.150137,500,37.443482
252.683651,500,47.783222
208.858945,500,58.318512
316.117405,500,69.113566
271.706817,500,79.563778
451.795937,500,89.83959
346.408724,500,100.077361
497.972073,500,110.540323
590.820714,500,120.785406
754.167008,500,131.401717
1070.913346,500,141.612762
1043.95921,500,151.883468
1190.32353,500,162.126895
954.276463,500,172.418833
1334.8466,500,182.645535
1350.130251,500,192.907347
1713.106724,500,203.404639
1808.986463,500,213.67026
1713.664519,500,223.909549
1747.408805,500,234.255205
1543.817496,500,244.901606
1886.024467,500,255.315334
2323.179772,500,265.857418
2824.75554,500,276.670474
1902.195576,500,287.210685
1965.366764,500,297.966571
2868.773285,500,308.870193
2272.22077,500,319.545318
2351.405339,500,330.248854
2432.930177,500,340.9938
3198.844976,500,351.926576
4409.516201,500,362.77249
3774.133168,500,373.633557
3808.834711,500,384.58816
5560.910089,500,395.36925
4088.793732,500,406.335753
5665.076035,500,417.336162
5789.715011,500,428.584349
7679.660183,500,439.595945
8086.686267,500,450.794774
7818.750745,500,461.859984
9013.393261,500,472.957083
9569.784166,500,484.189047
10825.73899,500,495.761497
13077.966991,500,507.197988
8196.29969,500,518.498162
16240.940248,500,530.035803
16738.267308,500,541.425053
16873.072277,500,552.730238
21247.896252,500,564.132569
17972.441637,500,575.85477
20332.051514,500,587.163342
21763.288832,500,598.610394
24871.907478,500,610.143404
23425.561023,500,621.347373
24086.224741,500,632.692341
28171.717425,500,644.313141
27711.44362,500,655.739697
25817.11552,500,666.953501
29844.571305,500,678.332495
32847.339175,500,689.797035
31607.190617,500,701.084556
31892.541701,500,712.369159
29400.364005,500,723.724106
38796.574679,500,735.032232
31979.164445,500,746.619369
33776.161979,500,757.875808
37491.403608,500,769.44293
32467.809099,500,780.906554
33519.510343,500,792.630008
26025.472853,500,803.915406
34201.087509,500,815.326355
40380.680456,500,826.866473
37719.150581,500,838.591104
30670.359915,500,850.233577
41588.881421,500,861.734235
36934.132315,500,873.460932
42856.660616,500,884.960128
41009.388909,500,896.31995
41607.701101,500,907.678951
42787.889843,500,919.425371
43229.909107,500,930.843419
43303.838967,500,941.909878
49529.675621,500,953.376482
46063.790132,500,964.446409
38580.529565,500,975.663511
47012.673159,500,987.061663
43930.658119,500,998.307414
45208.243061,500,1009.509524
46166.34486,500,1020.700805
49420.57122,500,1032.218369
47919.130758,500,1043.583919
45787.697955,500,1054.780996
46575.225846,500,1066.1409
49690.50322,500,1077.324103
48820.442079,500,1088.472068
50166.621165,500,1099.648152
47830.745308,500,1111.379729
49730.640775,500,1122.80449
50652.557165,500,1134.412588
49562.246586,500,1145.513659
49671.412815,500,1156.768696
50168.139985,500,1168.094936
27201.10481,500,1179.732334
49076.029282,500,1191.345546
49405.87845,500,1202.769059
48674.609182,500,1214.514044
50433.88249,500,1226.035642
51946.500461,500,1237.483415
50525.180172,500,1248.86656
51642.326689,500,1260.295369
52892.221946,500,1271.486995
50610.26929,500,1282.695788
54197.065567,500,1294.091384
53546.819548,500,1305.283326
