#{"t_start": 1590609817.7050726, "env_id": "my_panda_free_space_traj"}
r,l,t
214.656308,500,16.644896
382.622725,500,27.385135
171.959242,500,37.796312
347.692588,500,48.368841
241.545728,500,58.963829
203.342994,500,69.882119
240.222641,500,80.578215
306.265209,500,91.128389
328.051471,500,102.110361
273.290449,500,112.814904
310.880237,500,123.461159
424.883327,500,134.350829
270.045012,500,145.555769
361.037082,500,156.735476
385.412101,500,168.010799
486.975139,500,179.417744
740.934351,500,190.951159
290.73119,500,202.98514
1141.803793,500,214.491671
1102.220657,500,225.28113
977.798883,500,236.157752
1140.89659,500,247.637435
1077.390118,500,258.363241
1261.392764,500,268.894588
1222.691093,500,279.395573
1355.31381,500,290.400987
1337.379926,500,301.56039
1386.45923,500,312.67056
1420.044412,500,323.80498
1630.529076,500,334.708213
1535.544558,500,345.445687
1746.977511,500,356.280405
1761.487806,500,366.885064
1771.061131,500,377.478765
1769.481979,500,387.947496
1709.149158,500,398.579529
1850.44264,500,409.015806
1881.330318,500,419.392211
1919.266941,500,430.17782
1945.828084,500,440.603961
2001.485385,500,450.971969
2114.246502,500,461.516541
2110.828272,500,472.141806
2179.887208,500,482.628247
2234.747274,500,493.064815
2337.903137,500,503.701312
2381.276641,500,513.945295
2257.885528,500,524.218189
2262.557878,500,534.967564
2578.8777,500,545.370016
2571.831828,500,555.673431
2495.946262,500,566.208559
2526.007186,500,576.43498
2615.126848,500,586.654689
2654.243199,500,597.117689
2686.971044,500,607.561364
2751.009833,500,617.840606
2793.697626,500,628.102736
2785.278063,500,638.589759
2805.981665,500,648.906803
2915.95677,500,659.153518
2871.745457,500,669.641291
2866.556231,500,679.90009
2938.866873,500,690.125659
2981.329045,500,700.356329
3164.209078,500,710.792614
3140.828558,500,720.982243
3088.119192,500,731.177887
3166.204484,500,741.732897
3109.838874,500,751.956934
3115.837089,500,762.136942
3264.36319,500,772.31558
3257.603314,500,782.726305
3190.775961,500,792.881328
3262.027876,500,803.074417
3321.812161,500,813.518686
3220.238551,500,823.721595
3180.322316,500,833.868244
3217.761527,500,844.226148
3374.390999,500,854.423227
3259.352968,500,864.639265
3383.405621,500,874.999771
3281.66417,500,885.116898
3341.680999,500,895.265926
3186.460944,500,905.464381
3256.727921,500,915.785434
3396.47886,500,925.911898
3274.676996,500,936.02089
3443.405126,500,946.38693
3325.337191,500,956.571691
3354.415263,500,966.73027
3434.089324,500,977.215817
3262.484634,500,987.362273
3346.208445,500,997.521706
3345.455072,500,1007.733745
3432.196102,500,1018.048852
3368.745458,500,1028.125721
3409.909594,500,1038.259262
3376.340551,500,1048.632422
3365.645082,500,1058.831242
3440.908594,500,1068.965232
3447.881883,500,1079.078246
3407.006138,500,1089.434248
3477.801612,500,1099.598405
3502.842055,500,1109.827516
3521.785547,500,1120.239918
3378.633247,500,1130.404972
3418.408856,500,1140.562587
3530.948039,500,1150.988407
59.029269,500,1161.929392
3518.901991,500,1172.145996
3541.656876,500,1182.523797
3254.457044,500,1192.693404
3452.003323,500,1202.82851
3385.411531,500,1212.884035
3384.683515,500,1223.17414
3423.316836,500,1233.281714
3535.549866,500,1243.410932
3549.488203,500,1253.757077
3401.508034,500,1263.876979
3491.095808,500,1273.987262
3499.763847,500,1284.344036
3512.244624,500,1294.468554
3537.642739,500,1304.660245
3544.570031,500,1314.887079
3571.736062,500,1325.254369
3552.15536,500,1335.423625
3576.874031,500,1345.526083
3487.77659,500,1355.893376
3523.58351,500,1366.035893
3527.092011,500,1376.132836
3623.35729,500,1386.223708
3507.357692,500,1396.54357
3566.940108,500,1406.69736
3595.19361,500,1416.860676
3453.914569,500,1427.246566
3597.475351,500,1437.385399
3633.770555,500,1447.52383
3604.008797,500,1457.906338
3588.522617,500,1468.069049
3579.05293,500,1478.204373
3643.47654,500,1488.508245
3532.400781,500,1498.583483
3673.497706,500,1508.695305
3776.351086,500,1518.840508
3649.59512,500,1529.222932
3633.89607,500,1539.357942
3691.347097,500,1549.477349
3602.664147,500,1559.874928
3717.603771,500,1570.003401
3577.202634,500,1580.15855
3691.383522,500,1590.515926
3797.741165,500,1600.609004
3699.230462,500,1610.719515
3680.21281,500,1620.832942
3680.2636,500,1631.172307
3654.860855,500,1641.295822
3692.63203,500,1651.403481
3578.54999,500,1661.759445
3763.916695,500,1671.926299
3745.968165,500,1682.085945
3814.893841,500,1692.183861
3805.850866,500,1702.439821
3820.584429,500,1712.580758
3804.162495,500,1722.661093
3794.334719,500,1732.964761
3687.50292,500,1743.044104
3794.918176,500,1753.078045
3797.595973,500,1763.378217
3864.666866,500,1773.459942
3731.026455,500,1783.608939
3751.929843,500,1793.94682
3848.526795,500,1804.035343
3893.109183,500,1814.07986
3828.814304,500,1824.181618
3901.129547,500,1834.511214
3880.18765,500,1844.594845
3802.69035,500,1854.663111
3817.299521,500,1865.008795
3887.355962,500,1875.150417
3909.094127,500,1885.293356
3907.860541,500,1895.604342
3935.0613,500,1905.699591
3955.104657,500,1915.787122
3917.295902,500,1925.909501
3910.370416,500,1936.244276
3911.153062,500,1946.291975
3970.68154,500,1956.383883
3935.984315,500,1966.748335
4010.804669,500,1976.862874
3935.198277,500,1986.995568
4061.048969,500,1997.115848
3995.026081,500,2007.431252
4006.639405,500,2017.532231
4024.466316,500,2027.602612
4001.386382,500,2037.876034
4060.270078,500,2047.971866
4013.0529,500,2058.02791
4102.505944,500,2068.342587
4067.903241,500,2078.453614
4016.723101,500,2088.586952
4094.407703,500,2098.950022
4118.505895,500,2109.061986
4194.042196,500,2119.181777
4116.430539,500,2129.310779
4158.288095,500,2139.611605
4126.296622,500,2149.689564
4200.117846,500,2159.751847
4118.262196,500,2170.09305
4167.377994,500,2180.225987
4206.927487,500,2190.331051
4169.210668,500,2200.68093
4169.992343,500,2210.744678
4180.365357,500,2220.818599
4220.966443,500,2230.930775
4222.246565,500,2241.242641
4178.999402,500,2251.280143
4163.843526,500,2261.382527
4180.5517,500,2271.675523
4147.49576,500,2281.765668
4244.345128,500,2291.849655
4146.554704,500,2301.958672
4239.100175,500,2312.27375
4198.25306,500,2322.376826
4189.14099,500,2332.510183
4248.970542,500,2342.851567
4207.710818,500,2352.919029
4249.23673,500,2363.026112
4264.260109,500,2373.392392
4335.306114,500,2383.512645
4244.955252,500,2393.644876
4267.118192,500,2403.978446
4275.647958,500,2414.124729
4309.217481,500,2424.224248
4294.050101,500,2434.320912
4282.453597,500,2444.652204
4282.963817,500,2454.730809
4287.737123,500,2464.828245
4303.079622,500,2475.202837
4387.698083,500,2485.328155
4327.551609,500,2495.423219
4359.607377,500,2505.7217
4335.763273,500,2515.816567
4307.450928,500,2525.864246
4362.189752,500,2535.938024
4360.327189,500,2546.212363
4319.103674,500,2556.262288
4348.359017,500,2566.357959
4362.048816,500,2576.672557
