#{"env_id": "my_panda_free_space_traj", "t_start": 1590712351.8387961}
r,l,t
179.233048,500,16.783659
216.651185,500,26.817647
406.319587,500,36.873802
232.022864,500,47.06902
232.388828,500,57.567215
337.893123,500,67.907134
245.106229,500,78.281668
212.039635,500,88.984725
260.595021,500,99.404635
430.331503,500,109.913036
402.84242,500,120.68019
483.103706,500,132.235636
645.776259,500,142.868111
704.982834,500,154.187551
273.152381,500,165.804239
811.848182,500,176.285022
746.46078,500,186.759367
837.059883,500,197.357586
843.797389,500,207.914995
949.480776,500,218.456303
824.801655,500,228.894449
933.038473,500,239.47591
1006.98581,500,249.9614
1096.112898,500,260.268656
1176.667033,500,270.790356
1176.931646,500,281.23646
1332.665754,500,291.491451
1224.360193,500,301.864147
1360.247472,500,312.465674
1495.414974,500,322.787292
1449.776279,500,332.989296
1690.020745,500,343.412677
1775.239421,500,353.62568
1843.952296,500,363.822814
2086.010809,500,374.271343
1925.955097,500,384.500318
2087.742196,500,394.739011
2185.103778,500,405.222711
2340.614725,500,415.553037
2388.252093,500,425.806692
2746.838309,500,436.20033
2672.642509,500,446.704132
2616.023287,500,457.015244
3006.597154,500,467.405598
2847.002913,500,478.17352
2922.094495,500,488.473344
2988.198513,500,498.733871
3057.904662,500,509.235773
3116.642525,500,519.542793
3264.784032,500,529.932287
3192.588,500,540.412983
3315.005845,500,550.937523
3527.273802,500,561.185634
3545.045481,500,571.446477
3367.265821,500,581.972046
3566.057926,500,592.344328
3509.756691,500,602.684107
3688.324769,500,613.026192
3546.668607,500,623.543327
3484.947642,500,633.847456
3618.411461,500,644.160453
3647.645684,500,654.783956
3678.479375,500,665.123513
3740.360174,500,675.415192
3726.540922,500,685.983546
3695.229391,500,696.29178
3783.524799,500,706.55646
3924.434034,500,717.038465
3849.786548,500,727.286563
3884.238651,500,737.520541
3770.27639,500,747.850279
3873.748794,500,758.293252
3868.954968,500,768.546353
3933.176297,500,778.794382
3987.350352,500,789.225984
3865.760523,500,799.463064
3886.142355,500,809.683165
3976.094044,500,820.106218
4022.987595,500,830.351292
4142.574474,500,840.651983
3986.336724,500,850.8857
3981.512183,500,861.263893
3897.869197,500,871.406844
4043.996406,500,881.567549
4078.379951,500,891.932345
4015.595673,500,902.140191
3987.214143,500,912.348713
3931.746483,500,922.534155
3952.070444,500,932.933852
3936.931143,500,943.136124
4013.582288,500,953.32598
4114.736546,500,963.686439
4062.340458,500,973.825711
4104.061563,500,983.978496
4121.7486,500,994.421069
4060.312121,500,1004.554683
4178.912524,500,1014.743466
4175.757497,500,1025.106599
4181.221803,500,1035.241799
4211.907571,500,1045.427732
4119.787249,500,1055.74146
4025.83822,500,1066.167383
4111.425269,500,1076.403448
4158.666415,500,1086.603948
4079.702345,500,1097.039275
4190.034776,500,1107.229116
4204.671449,500,1117.344949
4172.396611,500,1127.695066
4142.264483,500,1137.870357
4248.389243,500,1148.113194
4255.059844,500,1158.318573
4241.827052,500,1168.665799
4276.085353,500,1178.780774
4184.725019,500,1188.93269
4162.177808,500,1199.379684
4204.419768,500,1209.606184
4223.858823,500,1219.819438
4330.408063,500,1229.937353
4300.674608,500,1240.252679
4321.901065,500,1250.376526
4218.840996,500,1260.633794
4289.704982,500,1270.952094
4373.275594,500,1281.060127
4324.095618,500,1291.187333
4385.889548,500,1301.573254
4355.362531,500,1311.623667
4375.019273,500,1321.718596
4335.023329,500,1332.05537
4381.979389,500,1342.260148
4268.856798,500,1352.38451
4434.521662,500,1362.520216
4409.918318,500,1372.827974
4306.876167,500,1382.919648
4423.430292,500,1392.989244
4363.722264,500,1403.30457
4347.861536,500,1413.416767
4331.569391,500,1423.507422
4397.439922,500,1433.780864
4431.439069,500,1443.786921
4359.091223,500,1453.859944
4368.523081,500,1463.946619
4399.428219,500,1474.187892
