#{"t_start": 1590719411.5475457, "env_id": "my_panda_free_space_traj"}
r,l,t
202.206989,500,16.774499
241.842301,500,26.935195
271.002909,500,37.355237
236.274065,500,47.641853
265.537373,500,58.226243
438.200955,500,69.130148
328.473132,500,79.85959
470.645242,500,90.843182
534.465869,500,101.867791
936.158561,500,112.755545
1028.120753,500,123.399809
1198.353262,500,134.330291
1047.369995,500,145.372412
1165.398028,500,156.425726
1135.150691,500,167.45887
1164.479557,500,178.503317
45.859795,500,190.058907
1162.032134,500,201.145747
1235.065538,500,212.324516
496.9731,500,223.920183
1253.68587,500,235.100212
1327.497386,500,246.123523
1369.688412,500,257.138429
1329.213213,500,267.925456
1286.263939,500,278.87754
1017.810337,500,290.146049
1317.280673,500,301.38407
1568.697209,500,312.229276
1489.889113,500,322.855283
1474.927872,500,333.854023
1455.104548,500,344.8574
1631.580965,500,355.54437
1666.224221,500,366.230039
1444.15132,500,377.028216
1513.920449,500,387.675733
1602.21735,500,398.539669
1748.838192,500,409.21647
1621.164427,500,419.671596
1763.775938,500,430.192585
1823.985065,500,441.179556
1745.779067,500,452.04462
1840.64975,500,462.858891
1901.845584,500,473.750177
1932.40416,500,484.46248
1860.479325,500,495.127814
1831.605189,500,505.608806
2038.496234,500,516.404231
2106.110618,500,526.899718
2188.440791,500,537.496235
2373.164358,500,548.201562
2244.854179,500,558.737249
2222.205019,500,569.371314
2235.372159,500,580.093962
2459.377973,500,590.496858
2416.251471,500,600.906814
2587.880381,500,611.399483
2642.932917,500,621.712531
2522.298792,500,632.046189
2621.574845,500,642.377164
2657.863625,500,653.046454
2801.544896,500,663.329409
2771.548186,500,673.559918
2996.187776,500,683.740939
2839.786275,500,694.056786
2916.194556,500,704.128978
2949.455096,500,714.4658
2961.174684,500,724.581376
2870.095127,500,734.693471
3034.94833,500,744.773791
3005.414848,500,755.134665
2934.379232,500,765.160529
2998.51503,500,775.201117
2952.909582,500,785.468478
3052.224449,500,795.522011
2952.347151,500,805.629428
3048.683082,500,815.799968
2908.630794,500,826.130965
3154.530378,500,836.319817
3039.87348,500,846.462108
3117.238596,500,856.809407
3170.301733,500,866.889703
3001.075408,500,876.903433
3145.308737,500,887.116217
3126.361022,500,897.081993
3227.808727,500,907.090906
3155.912883,500,917.28957
3223.206488,500,927.278592
3197.436413,500,937.136417
3289.733,500,946.97987
3172.610127,500,957.074347
3359.404039,500,966.956355
3316.942507,500,976.879842
3359.035173,500,986.787879
3195.742561,500,996.893038
3127.701768,500,1006.759559
3180.413184,500,1016.866427
3187.096413,500,1026.783464
3270.927628,500,1036.738471
3304.973674,500,1046.656174
3218.368759,500,1056.946227
3185.389386,500,1067.02578
3231.321683,500,1077.10351
3316.236756,500,1087.442513
3392.738024,500,1097.602506
3322.117542,500,1107.721185
3301.560868,500,1117.832287
3384.168991,500,1128.078226
3295.019375,500,1138.078161
3342.238845,500,1148.067556
3468.320217,500,1158.216521
3436.775371,500,1168.08303
3362.751135,500,1177.975399
3382.256317,500,1188.061853
3402.984176,500,1197.900576
3397.479503,500,1207.744326
3342.409509,500,1217.827721
3239.820278,500,1227.644212
3510.866396,500,1237.474634
3459.159907,500,1247.390821
3353.165472,500,1257.495839
3335.49813,500,1267.315545
3249.21699,500,1277.143958
3339.552435,500,1286.985681
3404.368669,500,1297.02205
3488.427385,500,1306.881524
3555.570243,500,1316.984927
3356.778789,500,1326.921417
3483.524195,500,1336.803256
3439.204403,500,1346.694521
3413.888085,500,1356.84207
3425.428429,500,1366.666782
3427.10807,500,1376.507489
3496.763846,500,1386.654751
3466.605056,500,1396.602905
3510.110098,500,1406.558888
3476.157673,500,1416.512374
3528.430396,500,1426.718684
3420.7659,500,1436.642955
3386.447738,500,1446.595943
3526.378354,500,1456.820666
3397.060064,500,1466.810883
3621.935049,500,1476.700908
3549.646875,500,1486.814854
3527.729587,500,1496.738901
3466.31107,500,1506.71278
3529.389897,500,1516.905575
3426.514628,500,1526.846828
3444.270186,500,1536.782527
3573.896831,500,1546.680663
3642.274034,500,1556.811604
3542.262288,500,1566.668949
3575.175565,500,1576.51053
3565.530953,500,1586.350304
3591.666913,500,1596.482422
3548.367161,500,1606.407517
3580.130553,500,1616.607206
3671.227579,500,1626.462166
3570.060445,500,1636.331493
3461.247028,500,1646.180792
3570.025901,500,1656.2969
3600.61807,500,1666.175503
3531.629933,500,1676.061727
3531.681492,500,1686.192469
3615.796513,500,1696.128854
3531.54273,500,1706.031372
3632.544697,500,1715.953208
3533.207676,500,1726.042661
3537.328472,500,1735.91115
3697.643084,500,1745.752771
3546.379986,500,1755.920609
3617.586584,500,1765.76725
3784.423794,500,1775.647774
3690.121486,500,1785.964808
3692.892489,500,1795.811038
3728.582411,500,1805.6768
3529.602376,500,1815.734474
3632.407671,500,1825.5646
3667.362591,500,1835.377104
3752.693147,500,1845.271181
3700.213001,500,1855.425904
3850.038576,500,1865.230546
3797.879305,500,1875.034524
3765.778182,500,1884.819865
3755.573216,500,1894.825211
3808.841131,500,1904.664654
3754.133954,500,1914.73106
3652.80382,500,1924.563406
3864.480523,500,1934.376494
3794.98695,500,1944.257369
3830.477126,500,1954.405705
3815.793794,500,1964.290858
3865.648122,500,1974.163723
3807.705969,500,1984.28469
3837.252542,500,1994.183052
3871.973827,500,2004.102868
3958.863024,500,2013.999774
3877.81398,500,2024.092883
3786.955776,500,2033.945574
3895.393227,500,2043.777071
3900.352274,500,2053.892953
3929.833011,500,2063.842365
3934.267497,500,2073.768282
3908.680137,500,2083.928056
4005.592939,500,2093.787649
4081.481684,500,2103.587649
3970.670814,500,2113.689922
3930.76105,500,2123.613157
3980.174323,500,2133.452104
3984.006387,500,2143.300563
4047.801267,500,2153.444948
3819.339815,500,2163.248507
4179.554815,500,2173.086363
4047.346591,500,2182.99141
4110.690839,500,2193.120543
4116.955057,500,2203.036264
4146.489132,500,2213.177183
4138.447694,500,2223.072592
4172.569634,500,2232.873302
4246.319248,500,2242.710462
4275.569385,500,2252.867073
4389.219826,500,2262.753558
4349.792368,500,2272.596569
4346.713817,500,2282.92863
4030.207262,500,2292.723701
4243.868961,500,2302.533526
4288.456645,500,2312.379074
4416.427537,500,2322.40166
4346.238236,500,2332.20257
4224.036142,500,2341.942557
4526.549138,500,2351.967162
4188.380505,500,2361.766727
4566.545366,500,2371.575524
4496.82088,500,2381.607678
4298.0795,500,2391.413495
3846.157353,500,2401.200046
4552.769932,500,2411.251283
4495.951218,500,2421.063012
4638.245416,500,2430.82562
4725.291698,500,2440.637364
539.215226,500,2452.899535
4414.322488,500,2462.683966
4898.876692,500,2472.515166
4593.332658,500,2482.367288
4649.279006,500,2492.390492
4701.481304,500,2502.163431
4350.942056,500,2512.205485
4972.238342,500,2521.97877
4248.49285,500,2531.810278
4912.997621,500,2541.644312
4472.077779,500,2551.707551
4463.203588,500,2561.508416
4237.102582,500,2571.219811
4851.890757,500,2581.202366
4771.81542,500,2590.96117
4482.424825,500,2600.732942
4637.867613,500,2610.512284
4480.20083,500,2620.497429
4468.062513,500,2630.239504
4590.061155,500,2639.916931
4447.188812,500,2649.923549
4611.232876,500,2659.647446
4858.409361,500,2669.354252
4680.708367,500,2679.348503
4687.130233,500,2689.071244
4715.412707,500,2698.82092
4820.468122,500,2708.848052
5205.632375,500,2718.573259
4930.775705,500,2728.304244
5165.680707,500,2738.041681
4803.994655,500,2748.104503
4867.87548,500,2757.903559
5307.91502,500,2767.695944
4899.774076,500,2777.410742
4746.526304,500,2787.381388
5129.612344,500,2797.069914
4865.62128,500,2807.095649
5088.136224,500,2816.824351
5226.832985,500,2826.512035
5028.43404,500,2836.2447
4824.831486,500,2846.26353
4901.705775,500,2856.064297
4947.842495,500,2865.846156
4892.179412,500,2875.809218
5004.977847,500,2885.556764
4824.183505,500,2895.326205
5296.336661,500,2905.107917
5528.284956,500,2915.06752
5857.942667,500,2924.833432
5402.508938,500,2934.608609
