#{"t_start": 1586129852.8376324, "env_id": "my_panda_free_space_traj"}
r,l,t
183.726213,500,16.526756
169.075096,500,26.715464
260.172777,500,36.986351
155.493695,500,47.186843
157.49426,500,57.369096
329.174011,500,67.802507
456.282603,500,77.936755
180.102884,500,88.024046
332.43,500,98.09229
134.967505,500,108.324661
134.254502,500,118.482085
225.800947,500,128.781914
294.682463,500,138.861716
294.296354,500,148.959333
334.351224,500,158.947812
381.111276,500,169.093169
508.12426,500,178.977935
720.531209,500,188.863651
420.231709,500,198.949251
963.149099,500,208.696694
1048.284244,500,218.422307
1191.256304,500,228.145738
1039.271146,500,238.051313
1285.101786,500,247.784393
1914.163753,500,257.676718
1801.142247,500,267.913704
1697.782985,500,277.879319
2326.668125,500,288.041233
2023.567511,500,298.43244
1996.378844,500,308.77635
2057.073569,500,318.97846
2440.411494,500,329.355515
2053.158883,500,340.022074
3167.066614,500,350.577737
3131.973074,500,361.114278
3153.16333,500,372.061114
3822.090584,500,382.749826
3118.037405,500,393.354444
3509.010254,500,404.146237
4019.360086,500,415.251043
4819.485135,500,426.054298
5369.405286,500,437.02129
4656.181106,500,447.888098
5346.703636,500,458.767868
4905.983649,500,469.633092
4389.838838,500,480.723588
5649.696662,500,491.698478
5619.153598,500,502.609778
5457.657845,500,513.681637
7009.858954,500,524.652179
7192.82566,500,535.47777
5927.837665,500,546.409316
7059.253549,500,557.577315
7196.16698,500,568.509714
7209.809557,500,579.529533
7085.879871,500,590.67694
5882.47611,500,601.655165
7932.237541,500,612.654832
8591.69239,500,623.863808
7263.786174,500,635.041336
7570.07977,500,646.050053
7517.88547,500,657.060538
8772.782774,500,668.170084
7120.600459,500,679.11401
7432.822446,500,690.065557
8476.42921,500,701.152176
8395.16027,500,712.018591
8176.381752,500,722.857366
8779.567287,500,733.754831
8618.958304,500,744.801726
9384.400922,500,755.621451
9438.776768,500,766.778325
10664.955499,500,777.625615
8523.07933,500,788.475018
10395.981351,500,799.448047
10984.648828,500,810.570861
9462.96583,500,821.485604
10253.797047,500,832.401499
9821.378421,500,843.461165
9933.213658,500,854.287436
9731.179441,500,864.986682
11578.109057,500,875.736666
10676.047789,500,886.687144
11245.928549,500,897.64327
11751.293897,500,908.601245
12525.622528,500,919.832291
14735.865129,500,930.850013
16711.031559,500,941.652965
19538.973116,500,952.735911
20361.834258,500,963.49029
20303.962786,500,974.117841
20983.4631,500,985.022609
24181.438443,500,995.97837
22316.88617,500,1006.464229
25215.344016,500,1017.20389
25661.893562,500,1028.076677
23335.138717,500,1038.721536
30447.350804,500,1049.221676
28415.633845,500,1059.962923
26675.939682,500,1070.80505
29058.000099,500,1081.253705
28089.589783,500,1091.890748
27791.416188,500,1102.421765
29864.029984,500,1112.915875
25588.040808,500,1123.579498
28229.868506,500,1134.27651
30812.08215,500,1144.775822
33670.759064,500,1154.941551
32074.373044,500,1165.513155
29684.271538,500,1175.879351
32086.219244,500,1186.099829
28733.2346,500,1197.07343
34521.123953,500,1207.619876
33080.271476,500,1217.903441
29516.16315,500,1228.201522
34014.217809,500,1238.664116
37564.998674,500,1248.80017
35797.205012,500,1259.006394
36766.01821,500,1269.446471
35919.01475,500,1279.667604
36727.221841,500,1289.957804
38354.9393,500,1300.187015
35821.999583,500,1310.560496
33810.05385,500,1320.850074
35258.667138,500,1331.073129
35846.794287,500,1341.481612
38939.16737,500,1351.712061
38164.955901,500,1361.862406
36602.632417,500,1372.125495
34740.277662,500,1382.492528
41120.640564,500,1392.660317
41761.810604,500,1403.071433
40400.436519,500,1413.517437
39461.519158,500,1423.75017
43517.418463,500,1433.94029
44500.098255,500,1444.238148
43188.262953,500,1454.380393
42007.96887,500,1464.531094
42413.069521,500,1474.901633
43665.997471,500,1485.042606
46879.044591,500,1495.13243
48160.567171,500,1505.214183
48468.994253,500,1515.541334
45096.145069,500,1525.673197
51174.528463,500,1535.822366
48130.436483,500,1546.187425
49894.686028,500,1556.311621
50683.231958,500,1566.386923
52373.576624,500,1576.711956
52116.379112,500,1586.833705
52719.793261,500,1596.935703
55493.267526,500,1607.040854
57946.483245,500,1617.406133
55103.20557,500,1627.477515
56015.761547,500,1637.623071
56709.0835,500,1647.995228
58588.563905,500,1658.112357
58187.666204,500,1668.211282
57529.781762,500,1678.32336
58242.498634,500,1688.836232
57697.7651,500,1698.901173
58250.459689,500,1709.216116
59099.431501,500,1719.306106
60133.182437,500,1729.427945
60945.924924,500,1739.610835
57319.129766,500,1750.084753
59752.227962,500,1760.317558
60730.602687,500,1770.436352
60706.115048,500,1780.827889
60187.972915,500,1790.978533
60526.258085,500,1801.060072
61610.356518,500,1811.142192
60830.919478,500,1821.660813
61138.924623,500,1831.784955
61232.944677,500,1841.912757
61216.438742,500,1852.212261
61230.965795,500,1862.369507
60608.786379,500,1872.570961
60964.652719,500,1882.898638
61248.129008,500,1893.091185
60830.238619,500,1903.19725
61536.187375,500,1913.284356
61809.794484,500,1923.59434
60940.022759,500,1933.718123
61795.407521,500,1943.844834
61103.943136,500,1954.140978
62072.724556,500,1964.220979
62060.455347,500,1974.359511
61120.819258,500,1984.537716
61712.264431,500,1994.923474
61933.595593,500,2005.082675
60848.026675,500,2015.434655
61453.84818,500,2025.589682
62441.393091,500,2035.778054
61013.757373,500,2045.907259
60164.365091,500,2056.208327
61394.776485,500,2066.270278
61148.447558,500,2076.403362
60282.896548,500,2086.762022
61077.880986,500,2096.924129
61874.919771,500,2107.054232
61334.68379,500,2117.187961
61670.145666,500,2127.509492
61152.81375,500,2137.695062
61362.022636,500,2147.940949
61513.622946,500,2158.400973
61303.747194,500,2168.576421
60443.928122,500,2178.760155
60660.791905,500,2189.185043
61543.37414,500,2199.402022
61535.281422,500,2209.512063
60807.021957,500,2219.800755
61543.098096,500,2230.147584
60375.286293,500,2240.548654
61822.176365,500,2250.737867
62363.798605,500,2261.092957
62029.547755,500,2271.214588
61438.963634,500,2281.377739
61332.320671,500,2291.442659
61309.577923,500,2301.754364
61790.16283,500,2311.838248
62626.793006,500,2322.156762
61310.669513,500,2332.288191
61630.580007,500,2342.551933
61216.47024,500,2352.72705
61472.38029,500,2363.04929
60923.519799,500,2373.134449
62514.466205,500,2383.242224
61031.658144,500,2393.604461
61812.69504,500,2403.846089
61102.552688,500,2413.889359
61432.424,500,2423.944468
60610.176686,500,2434.232926
61816.501667,500,2444.318467
62000.802087,500,2454.597648
61500.156748,500,2464.904089
61691.06582,500,2475.011153
60569.336721,500,2485.031282
60759.92942,500,2495.330354
61305.989895,500,2505.613371
61521.165122,500,2515.682661
60944.763036,500,2525.786071
61642.152987,500,2536.080695
61553.602319,500,2546.149817
61591.006125,500,2556.227562
62210.331889,500,2566.498263
61377.709595,500,2576.553574
61400.912483,500,2586.614257
60713.922821,500,2596.676815
