#{"env_id": "my_panda_free_space_traj", "t_start": 1586134788.6651146}
r,l,t
256.832455,500,16.82206
203.113271,500,27.085027
136.739622,500,37.286142
275.384345,500,47.603017
244.483026,500,57.949524
389.739471,500,68.005984
391.484682,500,78.030852
1104.363881,500,88.090612
1272.799109,500,97.786081
1320.120385,500,107.518045
1224.577905,500,117.407694
1348.611997,500,127.056433
1735.301691,500,136.799289
1643.801216,500,146.757427
2021.420679,500,156.581827
1636.352357,500,166.457289
2683.457398,500,176.581007
2458.430011,500,187.071333
2568.996251,500,197.5155
2963.821839,500,208.083898
3156.937587,500,218.659137
2950.054835,500,229.504453
3552.039475,500,240.194465
5755.77037,500,251.295245
5078.889193,500,262.112982
6755.54713,500,272.720987
5417.708644,500,283.353502
7493.689916,500,294.068398
7503.483861,500,304.68852
6510.670099,500,315.396791
8138.380635,500,326.22897
8044.900392,500,336.855845
7589.448723,500,347.415279
7860.429867,500,357.8797
8206.353923,500,368.478574
9204.373754,500,378.723346
10232.042492,500,389.03361
8807.714243,500,399.520998
9319.000076,500,409.994646
9475.360341,500,420.452306
11279.80453,500,430.899399
12195.115886,500,441.215613
13236.611187,500,451.659251
10920.708164,500,462.279805
12775.463302,500,472.621069
14076.467112,500,482.799463
14684.730113,500,493.009316
15234.500836,500,503.469221
15531.247503,500,513.732643
14404.782188,500,523.959326
18336.980495,500,534.098093
20488.124395,500,544.495147
16676.092342,500,554.658133
20573.270848,500,565.091472
19142.558742,500,575.302104
21025.646241,500,585.502417
18322.091274,500,595.677816
20596.014742,500,606.049289
20841.163034,500,616.170824
24763.446469,500,626.339836
22806.258512,500,636.668533
23052.392435,500,646.782256
24316.950622,500,656.865692
22522.861208,500,667.000412
25418.008728,500,677.360154
25804.747246,500,687.532492
23422.887874,500,697.667979
29020.099466,500,708.034799
26764.51346,500,718.167991
25839.661416,500,728.289425
28181.469331,500,738.597078
26994.459409,500,748.726509
27156.084637,500,758.918003
28803.533619,500,769.241316
29218.527478,500,779.330888
