#{"env_id": "my_panda_free_space_traj", "t_start": 1586396108.7969077}
r,l,t
196.818099,500,16.719564
226.080049,500,26.613863
329.545917,500,36.449952
275.80832,500,46.22705
184.833576,500,56.317032
249.652473,500,66.110423
231.99467,500,75.857989
419.207821,500,85.67345
600.92704,500,95.250008
832.530357,500,104.836079
824.910812,500,114.525281
1096.23228,500,123.970435
1318.953662,500,133.18351
1341.119137,500,142.674576
1287.095067,500,152.019223
1450.675212,500,161.36536
893.519176,500,170.681663
1399.281546,500,180.240942
1506.221644,500,189.411217
1452.435033,500,198.627141
1324.792559,500,207.856796
1581.738071,500,217.252599
1417.377016,500,226.478155
1428.052586,500,235.932776
1639.102129,500,245.171945
1644.500276,500,254.380287
1087.221637,500,263.563996
1345.873612,500,273.016788
1606.273789,500,282.262528
1791.303797,500,291.511903
1610.260165,500,300.876679
1635.308479,500,310.013497
1786.949077,500,319.198388
1674.474823,500,328.362069
1789.077098,500,337.74049
2044.327083,500,347.004112
2030.689664,500,356.196971
2036.107411,500,365.682416
1614.614749,500,374.917791
2114.682514,500,384.067086
2005.563703,500,393.386013
1926.50048,500,402.431427
2264.121908,500,411.563362
2092.129218,500,420.959593
2510.954557,500,430.176872
2388.711348,500,439.388404
2678.24272,500,448.534773
2595.679144,500,457.851529
2650.61923,500,467.044064
2857.172888,500,476.24934
2945.186183,500,485.440507
3064.852881,500,494.8149
3036.692636,500,503.905545
3231.6816,500,513.263746
3407.756831,500,522.416825
3200.719905,500,531.553788
3236.016978,500,540.719173
3438.5904,500,550.023171
3794.922735,500,559.093628
3706.845806,500,568.202597
3789.090476,500,577.57307
3618.876716,500,586.722309
3740.875306,500,595.855232
4197.065737,500,604.913973
4438.657056,500,614.174266
5036.689955,500,623.288691
5127.092475,500,632.401403
5308.70376,500,641.680174
5611.587541,500,650.720196
5483.72173,500,659.808048
5642.910026,500,669.093542
5417.774527,500,678.14966
5932.711937,500,687.20844
5876.043918,500,696.458479
5942.569738,500,705.529247
6124.466576,500,714.599751
5771.094825,500,723.623639
6061.227885,500,732.792843
6281.463754,500,741.796859
6083.4876,500,750.82725
6257.824863,500,759.859639
6210.715401,500,769.116763
5935.923206,500,778.180753
6365.319502,500,787.491687
6353.184804,500,796.551451
6509.03286,500,805.575295
6261.204692,500,814.593791
6611.404535,500,823.758814
6292.002649,500,832.649276
6361.83459,500,841.616491
6558.92583,500,850.840334
6461.522344,500,859.869198
6523.105271,500,868.883101
6383.381426,500,877.900691
6455.347778,500,887.158762
6496.440196,500,896.186475
6526.88872,500,905.175362
6796.071598,500,914.426689
6554.372364,500,923.413606
6539.679353,500,932.405975
6713.746244,500,941.620667
6592.12175,500,950.622823
6590.50442,500,959.698473
6622.33737,500,968.970287
6606.469606,500,978.035712
6587.66554,500,987.031857
6685.8011,500,995.980042
6614.517652,500,1005.194784
6688.190785,500,1014.180977
6642.857839,500,1023.257459
6678.40932,500,1032.322775
6890.240368,500,1041.574371
6529.498717,500,1050.648071
6862.207609,500,1059.855546
6679.154854,500,1068.785713
6688.839432,500,1077.678457
6637.9808,500,1086.604875
6609.890208,500,1095.795453
6541.560071,500,1104.864999
6787.565072,500,1113.906537
6828.939588,500,1123.192886
6790.155674,500,1132.178162
6770.886503,500,1141.134063
6852.595279,500,1150.133128
