#{"env_id": "my_panda_free_space_traj", "t_start": 1586426451.731782}
r,l,t
211.418017,500,16.740797
260.296609,500,26.815483
232.769686,500,37.187211
174.896343,500,47.18687
491.14356,500,57.114834
394.329664,500,67.065063
656.210354,500,76.714543
639.606282,500,86.22322
865.619896,500,95.847069
954.858439,500,105.484083
1023.869948,500,114.851343
1214.071503,500,124.463063
1024.65233,500,133.935201
1296.429966,500,143.358322
1619.448461,500,152.82337
661.499726,500,162.360268
1009.379789,500,171.511086
1239.50265,500,180.804371
1443.962128,500,190.250764
1639.820726,500,199.577295
1144.095706,500,208.798039
1798.221417,500,217.961563
1779.252619,500,227.322934
1594.698389,500,236.519998
1196.645688,500,245.761036
1330.670706,500,255.227202
1647.836185,500,264.400465
1721.930983,500,273.657945
2033.846071,500,283.146745
2543.097463,500,292.410554
1824.305399,500,301.701894
1880.234147,500,310.911274
2074.294025,500,320.277014
2044.206871,500,329.453728
2284.612139,500,338.647139
2098.168744,500,348.0308
2319.137849,500,357.121069
2231.622362,500,366.319973
2209.463577,500,375.60935
2039.31218,500,385.080493
2569.336353,500,394.261785
2654.980165,500,403.583879
2112.542998,500,412.61979
2337.098483,500,421.707322
2586.774945,500,430.851939
2674.067308,500,440.177992
2620.944038,500,449.299128
2817.779233,500,458.502846
3025.847325,500,467.860643
3186.049548,500,476.98609
3126.569986,500,486.065391
3412.036015,500,495.211206
2946.629852,500,504.486154
3492.094836,500,513.573579
3492.857952,500,522.734042
3137.916781,500,532.101523
3434.089392,500,541.225513
3662.369719,500,550.319692
3756.66989,500,559.69362
3654.233318,500,568.77587
3873.848139,500,577.841881
3874.411329,500,586.864363
4313.296952,500,596.087635
5171.081432,500,605.127279
5075.336428,500,614.232349
5122.430714,500,623.482904
5204.210004,500,632.503026
5383.516667,500,641.603705
5541.431767,500,650.660154
5261.345647,500,659.957768
5578.385652,500,669.002366
5945.937333,500,678.326454
5963.857275,500,687.353424
6038.640567,500,696.367766
6193.704278,500,705.454086
6084.014641,500,714.742435
6204.720849,500,723.773897
6095.740192,500,732.810195
6310.131816,500,742.106834
6149.937611,500,751.087224
6442.306711,500,760.03447
6392.930592,500,769.050063
6192.619072,500,778.223882
6233.954867,500,787.253205
6301.141725,500,796.354094
6216.529718,500,805.664784
6360.907067,500,814.664411
6539.421386,500,823.508062
6396.462425,500,832.681217
6289.336595,500,841.696311
6660.00543,500,850.738006
6565.134057,500,859.731446
6524.575355,500,868.964789
6407.721074,500,877.972334
6404.486303,500,886.980406
6531.510166,500,896.373557
6583.63392,500,905.565702
6595.831066,500,914.820237
6627.366537,500,924.029957
6423.953095,500,933.427974
6856.721708,500,942.658627
6613.687707,500,952.08925
6679.049596,500,961.330458
6669.982912,500,970.511455
6710.594758,500,979.792126
6686.345755,500,989.294637
6725.861219,500,998.518391
6621.894731,500,1007.745158
6807.110622,500,1017.18073
6717.177105,500,1026.470549
6864.507013,500,1035.618968
6758.220162,500,1044.812429
6762.350573,500,1054.220224
6837.270568,500,1063.45274
6682.051124,500,1072.79388
6623.033319,500,1082.285797
6858.063156,500,1091.546684
6727.824903,500,1100.775067
6858.967372,500,1110.228582
6673.001918,500,1119.459502
6898.760519,500,1128.547149
6678.111292,500,1137.530292
6820.167468,500,1146.758173
6863.323094,500,1155.750844
