#{"t_start": 1586433082.527886, "env_id": "my_panda_free_space_traj"}
r,l,t
203.697096,500,16.835334
177.288618,500,26.960714
237.779697,500,37.06175
249.039295,500,47.214859
232.616413,500,57.507921
186.377034,500,67.462718
242.286702,500,77.46919
198.278949,500,87.703368
249.366746,500,97.702614
218.020069,500,107.811251
420.105234,500,117.751598
692.532099,500,127.835915
845.836604,500,137.676808
1212.539984,500,147.373062
1021.581062,500,157.262029
1720.426258,500,167.090522
1718.526431,500,176.833002
1470.39119,500,186.780872
1604.440653,500,196.662017
2108.177445,500,206.727915
2057.312174,500,216.79397
2241.125695,500,227.346138
2019.951615,500,237.707728
1881.148448,500,247.999599
2201.350966,500,258.449574
2562.455358,500,268.68129
2411.836133,500,279.029571
2610.241328,500,289.506371
3214.024184,500,300.347343
3204.265956,500,311.203113
2738.969446,500,322.129894
3967.895538,500,333.315721
4720.888662,500,344.311703
5526.454614,500,355.230023
6140.915376,500,366.524154
9141.070814,500,377.578123
10709.426614,500,388.775141
9585.384346,500,400.031154
11306.603455,500,411.086807
10032.686458,500,422.163624
12796.258737,500,433.476083
14723.890676,500,444.833866
13873.604209,500,456.094052
14183.973304,500,467.366285
15595.48918,500,478.711386
15277.380016,500,489.947859
18605.73715,500,501.157178
17449.399928,500,512.562712
16517.045975,500,523.825628
17812.151273,500,535.046864
20168.778614,500,546.279187
18149.81444,500,557.860642
18368.957861,500,569.030402
19445.104823,500,580.472737
21603.350061,500,592.246454
21498.411933,500,603.694893
21179.967912,500,615.051163
22134.501839,500,626.414919
22795.819835,500,637.916409
19873.353866,500,649.073886
21434.617306,500,660.186261
25902.638752,500,671.329848
24623.624532,500,682.109992
26544.975506,500,692.783237
26001.848954,500,703.685122
26677.599141,500,714.339704
26231.661164,500,724.921323
25343.47494,500,735.954267
25805.261902,500,746.327306
24940.411059,500,757.932179
29513.727455,500,768.311575
29428.012744,500,778.906767
30480.446387,500,789.186637
27651.376505,500,799.652206
28172.897621,500,810.217262
26782.314648,500,820.609647
30708.735804,500,830.904803
29232.531055,500,841.387279
32192.133911,500,851.703224
27180.949846,500,862.170944
29115.126303,500,872.522741
28770.014903,500,883.081769
29874.196169,500,893.467476
32391.451285,500,903.794913
30364.891315,500,914.424503
31201.188371,500,924.803101
31275.961354,500,935.218535
31341.611081,500,945.541149
29516.168978,500,956.02465
32773.551756,500,966.363863
34174.556874,500,976.738663
32955.434232,500,987.347004
32475.160426,500,997.66355
28824.261929,500,1007.990799
30392.524783,500,1018.557369
30818.594148,500,1028.881541
36339.084662,500,1039.194924
31890.450306,500,1049.742362
31365.738388,500,1060.030257
35457.464308,500,1070.431082
34033.769179,500,1080.739151
33931.342296,500,1091.19118
33276.394493,500,1101.450222
35638.938619,500,1111.841724
34513.698455,500,1122.358644
35526.801018,500,1132.59313
39406.894263,500,1142.787954
36355.059914,500,1153.23606
37833.059771,500,1163.494902
38336.615192,500,1173.78418
36806.936365,500,1184.085735
37422.39816,500,1194.556027
39525.572747,500,1204.925105
39924.132185,500,1215.147669
42107.137206,500,1225.605102
39641.537751,500,1235.817298
43105.28576,500,1246.011117
41721.259534,500,1256.206107
41997.765593,500,1266.603294
42799.667956,500,1276.86529
44196.39906,500,1287.311349
43806.451997,500,1297.893018
42043.444523,500,1308.176262
42650.197268,500,1318.38955
