#{"t_start": 1586367967.1023865, "env_id": "my_panda_free_space_traj"}
r,l,t
584.392925,500,17.557721
385.852133,500,28.843931
386.014877,500,40.116459
666.752694,500,50.149698
736.847169,500,61.605293
846.59156,500,71.795841
1503.392262,500,81.600934
1109.312504,500,92.792727
1495.482103,500,103.989227
2077.556358,500,115.470927
1922.681381,500,126.935594
2560.452979,500,139.362899
4172.950607,500,151.853624
2938.79323,500,162.452427
3622.745813,500,174.513012
5223.466941,500,186.478829
3634.90318,500,198.496991
5364.240648,500,210.696131
6125.83746,500,221.187799
6930.961055,500,231.537258
7381.123137,500,241.893899
8216.664448,500,252.471816
10131.674874,500,262.771723
10453.362746,500,273.044089
10056.501639,500,283.713729
8841.763731,500,294.858528
8707.070204,500,305.579568
11583.858659,500,315.981963
10955.141654,500,326.694452
13753.381104,500,337.076096
11868.214225,500,347.411504
15126.530491,500,358.482409
13455.651307,500,370.279609
16227.296303,500,381.167241
10566.374791,500,392.14847
12901.135611,500,403.531887
12864.841173,500,414.914069
11483.399745,500,426.27516
13396.177987,500,437.440002
14290.086767,500,448.90038
9608.710825,500,459.583812
13196.847596,500,470.457721
15556.474787,500,481.029621
14611.120133,500,491.455465
13462.913472,500,502.057934
15622.225783,500,512.469414
13185.71507,500,522.806855
13629.576737,500,533.504286
14965.781337,500,544.118859
17657.300955,500,554.506863
12677.019758,500,564.914399
17699.796669,500,575.431543
16879.235375,500,586.142669
17720.200985,500,596.592598
15543.620994,500,607.030412
19097.245591,500,617.566859
17857.899895,500,628.113678
22420.93332,500,639.33014
16941.763414,500,650.831329
20304.195857,500,661.172479
20162.667461,500,671.476871
19196.515434,500,682.338708
18883.602419,500,692.859438
19779.924266,500,703.217109
19450.791779,500,713.766606
19553.823655,500,724.09446
17797.803686,500,734.46133
20442.654585,500,744.905804
24245.258538,500,755.476529
22736.632287,500,766.033098
22841.318004,500,776.324683
25539.278212,500,786.763159
21588.635038,500,796.999432
23714.847723,500,807.263301
26015.585422,500,817.63937
22893.137774,500,827.887033
26222.200823,500,838.937937
25489.8403,500,849.260666
25568.03581,500,859.413202
26478.510398,500,869.626646
25913.660017,500,879.99955
24523.92475,500,890.527336
23552.522212,500,900.639582
26268.734065,500,911.00592
27729.570457,500,921.632478
24743.264777,500,932.022162
28886.852186,500,942.42075
25213.047671,500,952.54217
30374.878691,500,963.269856
26696.247475,500,974.068089
28916.05259,500,984.415796
34180.561713,500,994.812429
28758.955513,500,1005.031112
31898.869257,500,1015.23301
29534.933139,500,1025.638187
31384.406101,500,1035.753064
31007.327503,500,1045.898992
29627.620113,500,1056.180147
32482.704049,500,1066.312764
30783.340621,500,1076.507164
29617.263374,500,1086.587211
31493.573291,500,1096.881784
32117.142858,500,1107.644783
32943.681701,500,1117.757367
34827.243041,500,1128.117022
34439.815509,500,1138.277347
32921.407218,500,1148.391922
33605.581697,500,1158.743927
35887.987258,500,1168.868527
32633.29751,500,1178.98938
33252.837056,500,1189.149472
33664.118884,500,1199.534336
33035.558779,500,1209.695014
35526.225789,500,1219.782418
36601.098158,500,1230.153917
33882.032001,500,1240.264647
37566.269441,500,1250.3669
37124.159323,500,1260.536065
36487.826878,500,1271.287345
35633.678124,500,1281.363079
37065.324486,500,1291.563297
35694.837978,500,1301.882549
38000.912227,500,1311.911734
40764.683863,500,1321.968576
