#{"t_start": 1586449224.4353976, "env_id": "my_panda_free_space_traj"}
r,l,t
182.986014,500,16.899187
266.667876,500,27.21037
212.560701,500,37.62186
288.88095,500,47.871881
189.717209,500,57.942718
357.17739,500,68.194932
627.668718,500,78.087781
651.599654,500,87.825118
1308.561075,500,97.374502
1242.390619,500,107.238934
1280.394615,500,116.929473
1747.427975,500,126.815262
3475.374673,500,137.188174
1857.623874,500,147.4477
3126.536947,500,157.827307
3101.920086,500,168.237182
3543.325617,500,178.84485
4215.749864,500,189.28404
4202.564592,500,199.754604
4412.746815,500,210.354934
5271.148237,500,220.723681
5650.527512,500,230.988954
5190.884988,500,241.395535
6647.01741,500,251.647954
4549.502056,500,261.880759
5295.898135,500,272.388814
5741.872253,500,282.70112
6040.302076,500,293.002403
6782.81385,500,303.285323
6536.118543,500,313.731228
8764.746653,500,323.922673
8697.320328,500,334.127477
8722.958628,500,344.344265
8393.362818,500,354.810579
10623.530178,500,365.029563
11958.151217,500,375.550568
11386.917189,500,385.793562
10344.959499,500,396.035934
12655.926217,500,406.285125
9882.952581,500,416.696622
10345.934277,500,426.878933
12745.793751,500,437.116441
11792.74495,500,447.590639
12074.186415,500,457.84699
11798.471653,500,468.12343
10603.75751,500,478.42261
11560.829338,500,488.876968
11890.98304,500,499.136596
11956.118732,500,509.392466
11988.598149,500,519.949927
13061.447461,500,530.234272
14005.2766,500,540.492501
12354.349834,500,551.008897
13036.647653,500,561.309488
11959.457338,500,571.590431
13945.616015,500,582.235874
16218.518857,500,592.538777
13205.4009,500,602.798238
13146.969722,500,613.05199
12272.830198,500,623.634796
10728.696337,500,633.992925
12080.444459,500,644.359281
13629.04027,500,654.758209
13909.471196,500,665.355637
13159.380473,500,675.732841
14250.743191,500,686.360228
14249.11338,500,696.920322
13696.753593,500,707.410393
13100.152109,500,717.777959
13842.679007,500,728.428484
14524.764617,500,738.82154
15200.982472,500,749.166915
11201.802458,500,759.834272
13646.965353,500,770.205186
13816.29283,500,780.517876
13410.35526,500,790.866818
13484.33779,500,801.477724
14517.198389,500,811.791406
12561.920521,500,822.096649
16115.17005,500,832.720589
15555.855939,500,842.993655
12983.646326,500,853.365109
15630.631966,500,863.883682
13419.181874,500,874.120237
12557.608038,500,884.581508
12557.992762,500,895.287023
16263.43058,500,905.52947
14498.283354,500,915.963121
15162.375598,500,926.313315
14085.474356,500,936.936012
14443.473973,500,947.267222
14085.381144,500,957.592774
16761.311614,500,968.017653
16394.822896,500,978.526499
14407.336402,500,988.817462
12367.392952,500,999.461012
13369.411632,500,1009.790596
14728.384113,500,1020.187686
15611.661019,500,1030.547626
14468.273356,500,1041.165848
13959.642728,500,1051.502697
13029.939605,500,1061.885234
14833.313029,500,1072.464767
14598.234491,500,1082.907013
12390.934989,500,1093.168546
16579.351385,500,1103.514999
13983.936947,500,1114.029702
12017.415316,500,1124.311184
13153.422437,500,1134.67317
11801.64014,500,1145.321946
17429.783454,500,1155.779625
12506.690945,500,1166.068854
14555.01237,500,1176.678917
14760.187638,500,1187.025439
13544.387841,500,1197.364299
15373.217464,500,1207.857778
11616.089189,500,1218.281478
16884.110232,500,1228.714052
13197.135233,500,1239.086109
13894.608273,500,1249.677195
14580.782011,500,1260.054485
15012.849801,500,1270.420769
14489.260895,500,1280.712861
14628.072252,500,1291.276172
