#{"env_id": "my_panda_free_space_traj", "t_start": 1586456186.3383188}
r,l,t
168.952186,500,16.695474
251.750421,500,27.036855
211.211779,500,37.34343
125.705963,500,47.561821
135.410569,500,57.927102
108.663217,500,68.102497
170.669797,500,78.219614
141.803161,500,88.609711
194.7173,500,98.766551
159.291625,500,108.938566
206.737205,500,119.053283
185.333192,500,129.479364
236.176165,500,139.735187
185.502525,500,149.993049
200.775439,500,160.457381
196.838454,500,170.832126
279.009856,500,181.164917
847.096595,500,191.759692
583.05573,500,202.144862
695.597472,500,212.452885
896.991267,500,222.670469
1051.620539,500,232.755251
1185.509329,500,242.490528
1224.732685,500,252.303121
2088.148672,500,262.480089
2600.460067,500,272.684594
2483.591693,500,283.023013
1679.331782,500,293.28991
2649.918387,500,303.836133
2541.789196,500,314.433943
3129.992684,500,325.177563
3769.157289,500,336.258692
4537.759434,500,347.000898
3594.92801,500,357.856062
4307.71579,500,368.962687
4211.087001,500,379.919935
4602.639974,500,390.889452
4833.713124,500,402.038113
4722.605531,500,412.942243
5906.290805,500,423.817049
6169.190871,500,434.901659
6171.171978,500,446.09709
6715.890777,500,457.084711
7433.946709,500,468.152969
7259.099972,500,479.448554
7801.319125,500,490.544776
7397.990861,500,501.545717
6509.139887,500,512.72725
7381.78149,500,523.629132
6634.126415,500,534.691575
6646.745691,500,545.630441
6858.88406,500,556.691003
6631.705932,500,567.601436
7068.605824,500,578.528349
6592.629751,500,589.471012
7754.139061,500,600.23969
7714.361796,500,610.90207
7504.802949,500,621.698695
7605.297192,500,632.675867
9205.59904,500,643.565104
8143.679076,500,654.600741
8229.647156,500,665.829318
8229.309211,500,676.716114
7977.547875,500,687.735715
10098.941515,500,699.036647
7165.212866,500,709.970836
7772.602504,500,720.904148
9028.656596,500,732.020705
8890.190832,500,742.835417
8597.656061,500,753.602929
9436.904182,500,764.459506
9567.315328,500,775.539323
8022.219005,500,786.311366
8727.646219,500,796.94979
7965.749013,500,807.920444
9178.272081,500,818.678834
8450.008583,500,829.440593
7731.317106,500,840.319623
8906.748455,500,850.950701
9760.535817,500,861.717326
8124.171394,500,872.544788
9085.656635,500,883.588239
8818.460173,500,894.309308
10047.539946,500,905.074252
8375.711928,500,916.151115
9250.469728,500,926.985108
8673.668494,500,937.735315
9314.983307,500,948.558516
9986.398524,500,959.517902
8252.968988,500,970.26551
9264.912948,500,980.980885
8784.024835,500,991.997446
10048.026198,500,1002.797153
9328.45412,500,1013.583247
7630.700697,500,1024.543621
9333.726616,500,1035.40705
10701.313787,500,1046.267574
8982.618514,500,1057.315807
8573.322168,500,1068.104786
8994.47151,500,1079.012668
10265.226339,500,1089.951349
9599.770818,500,1101.041823
9856.799976,500,1111.970949
8686.493879,500,1122.734774
10166.036522,500,1133.868113
9711.411723,500,1144.70248
10385.428598,500,1155.532529
10851.418091,500,1166.649639
9724.833966,500,1177.457558
9416.410683,500,1188.382542
9923.629848,500,1199.295941
8219.068685,500,1210.229339
8382.967394,500,1220.907837
8399.838755,500,1231.705192
9555.82603,500,1242.762395
8496.646895,500,1253.630928
9419.792315,500,1264.492673
9593.092698,500,1275.340117
8751.038493,500,1286.418971
9000.495157,500,1297.251834
8427.498225,500,1308.111756
8645.488113,500,1319.216327
10299.490304,500,1330.02759
9299.003244,500,1340.867514
