#{"env_id": "my_panda_free_space_traj", "t_start": 1586636444.489214}
r,l,t
171.608862,500,16.514028
247.609215,500,26.507216
237.845426,500,36.727204
277.778036,500,46.733968
205.995085,500,56.722582
290.027723,500,66.929986
252.261875,500,76.946229
788.635055,500,86.826409
420.825879,500,96.617728
1203.815768,500,106.622295
2169.525859,500,116.331505
2112.624998,500,126.317819
2241.309605,500,136.10271
2606.283545,500,146.180069
3610.582524,500,156.853981
4680.956761,500,167.873624
4783.729684,500,178.562078
4010.915513,500,189.045798
5765.898186,500,200.157856
5957.5146,500,210.99398
5636.75949,500,221.848912
5372.840214,500,232.704068
6017.975259,500,243.723552
7336.965557,500,254.494384
6856.663174,500,265.382073
6952.876977,500,276.459267
7714.921356,500,287.206972
6819.281328,500,297.802495
8655.693329,500,308.619167
7837.237788,500,319.326426
9058.092647,500,330.000529
11440.743719,500,340.598504
9544.439686,500,351.400748
11550.07154,500,362.085427
10358.971752,500,372.714483
13796.453416,500,383.386502
14228.278915,500,393.902919
13641.444843,500,404.184091
13295.365394,500,414.709592
13102.089295,500,425.597008
15380.980594,500,436.125587
15277.533859,500,446.835853
14287.484233,500,457.249767
15590.298615,500,467.737263
15649.243654,500,478.137942
15989.318506,500,488.557315
19431.007627,500,498.80535
20795.561636,500,509.043363
21142.811499,500,519.519742
19613.406249,500,529.767977
22140.323217,500,539.904465
21743.535473,500,550.077417
22101.013909,500,560.534984
23223.630131,500,570.723245
24502.601382,500,580.969483
29020.816983,500,591.412871
22209.241423,500,601.601352
21903.701609,500,611.813155
26746.676809,500,622.256315
26627.459383,500,632.498856
28208.852772,500,642.747622
29854.145283,500,652.990038
28629.559936,500,663.424527
27511.084233,500,673.651643
33804.301293,500,683.969597
31340.190507,500,694.551799
30316.036789,500,705.014652
31336.03664,500,715.561453
33361.367966,500,726.04056
29680.686975,500,736.806007
31058.877771,500,747.196348
31380.934363,500,757.890887
32095.148912,500,768.23742
37916.085878,500,778.549617
40688.88754,500,788.737101
38478.122646,500,799.194892
38245.800959,500,809.405334
42301.008926,500,819.499893
40708.279971,500,829.906696
43183.171791,500,840.112349
40077.863444,500,850.380733
42055.596313,500,860.5061
42658.030689,500,870.83365
39407.943398,500,881.048221
42526.245971,500,891.219672
42053.8919,500,901.587345
43442.23865,500,911.647944
43537.812525,500,921.844954
46993.581433,500,932.279171
45224.574662,500,942.507573
44766.369638,500,952.701809
45596.634063,500,962.799006
45741.859048,500,973.049977
47730.276175,500,983.153046
46380.162398,500,993.319128
45721.631405,500,1003.643567
43806.949221,500,1013.714105
48220.363397,500,1023.751149
48097.986025,500,1033.813498
48681.859017,500,1044.124706
50140.989739,500,1054.232162
47238.475382,500,1064.696315
49861.648498,500,1074.756823
47676.837171,500,1084.918133
53044.625086,500,1094.960679
49959.765568,500,1105.27259
51964.790677,500,1115.351398
