#{"t_start": 1586644357.2526095, "env_id": "my_panda_free_space_traj"}
r,l,t
244.72879,500,16.599041
256.830222,500,26.537832
164.601542,500,36.813317
258.159412,500,46.655628
158.447655,500,56.527167
265.513335,500,66.644421
375.19062,500,76.576847
409.728932,500,86.446561
503.85255,500,96.227611
1201.758373,500,106.266239
1544.580485,500,115.831218
1438.128232,500,125.474918
1556.225929,500,134.919774
2082.481605,500,144.39722
2463.160583,500,154.094958
2944.633595,500,164.247893
3327.257688,500,174.29336
3292.756205,500,184.499333
3691.145763,500,195.104462
5847.616844,500,205.72098
4812.294664,500,216.615641
6413.752477,500,227.449867
6437.69121,500,238.361329
7190.722379,500,249.151675
7695.782012,500,259.860513
8527.825743,500,270.609977
9511.379741,500,281.233493
8659.366218,500,291.864094
8833.647241,500,302.620171
9999.571582,500,312.98454
10368.265191,500,323.312146
10767.622223,500,333.526927
11322.895498,500,343.963701
11739.775709,500,354.217983
12635.875269,500,364.460792
13590.279082,500,374.919123
11153.451566,500,385.172611
15220.294712,500,395.422831
16102.982732,500,405.96261
17843.137103,500,416.598124
15532.784296,500,426.942808
18743.294553,500,437.602094
17530.636695,500,447.994379
17593.222213,500,458.37388
20226.234988,500,468.762186
19839.806682,500,479.285118
18987.449924,500,489.582671
20601.526178,500,499.906453
23254.111259,500,510.568393
23672.901637,500,520.889505
20996.766891,500,531.186245
25720.629033,500,541.464054
28341.758967,500,551.968696
28481.091063,500,562.259246
29759.817694,500,572.598638
28491.148969,500,583.099936
33464.629085,500,593.39318
30805.156826,500,603.621031
31454.865864,500,614.069153
27195.229305,500,624.393694
33228.341108,500,634.652119
32442.342658,500,644.880663
32236.807158,500,655.324925
35287.77643,500,665.613295
34190.57065,500,675.913554
37760.750164,500,686.360872
37082.740142,500,696.50917
36765.235395,500,706.646424
39898.1077,500,716.798442
40556.822009,500,727.170427
38318.387393,500,737.314529
41497.233646,500,747.637312
40918.001266,500,757.746342
38204.24197,500,767.873195
43136.825924,500,778.015813
42914.383046,500,788.341522
39164.637521,500,798.459638
41364.235089,500,808.594646
45596.094312,500,818.95688
45204.262366,500,829.048959
45288.237862,500,839.105359
47106.352669,500,849.154688
43667.916113,500,859.470581
46788.40337,500,869.530852
43868.480301,500,879.606094
47488.740033,500,889.872771
47470.344631,500,899.919214
45901.970623,500,909.913721
49087.255024,500,920.162645
49954.879861,500,930.213716
49431.192949,500,940.216435
46044.939703,500,950.259555
50749.590088,500,960.48121
46467.000441,500,970.533747
50269.49404,500,980.642588
51295.230366,500,990.90415
47805.483479,500,1000.974903
53661.075935,500,1011.097136
52319.79162,500,1021.201608
52907.873815,500,1031.557218
54232.307823,500,1041.652915
54078.835429,500,1052.087997
54764.499574,500,1062.19092
55877.228342,500,1072.2709
54919.446476,500,1082.37996
54110.28761,500,1092.681964
56174.928086,500,1102.759218
56070.930694,500,1112.834372
53414.348861,500,1123.24427
53505.909893,500,1133.43786
57432.155741,500,1143.578774
55449.147592,500,1153.668501
58143.5499,500,1163.928171
56970.566842,500,1174.080103
59230.640982,500,1184.157174
57457.337986,500,1194.430737
57762.926645,500,1204.491785
57902.075397,500,1214.524575
60114.319633,500,1224.819995
59071.298683,500,1234.951821
59145.96185,500,1245.018771
60208.269221,500,1255.124031
58144.278336,500,1265.392181
56926.274144,500,1275.474937
58515.869005,500,1285.543967
57098.72833,500,1296.067954
58743.357388,500,1306.187533
59778.147346,500,1316.319032
60116.570151,500,1326.382412
60639.668858,500,1336.649698
60425.168549,500,1346.635581
61060.144079,500,1356.929136
60989.520556,500,1366.955098
61142.057116,500,1376.965446
61848.973283,500,1387.0644
61251.454786,500,1397.349828
61223.740731,500,1407.548387
61159.070148,500,1417.685914
61118.608625,500,1428.002606
60846.264773,500,1438.101742
61499.673897,500,1448.161467
61606.673109,500,1458.340455
61466.215785,500,1468.569916
61157.777008,500,1478.595396
59141.935126,500,1488.703391
60912.480157,500,1499.03379
60926.148414,500,1509.048024
61723.940365,500,1519.043875
61509.25952,500,1529.275249
61208.990357,500,1539.349844
61717.727466,500,1549.379435
60557.715889,500,1559.515404
61229.309939,500,1569.846578
61219.465256,500,1579.961944
60375.942172,500,1590.076122
62123.149178,500,1600.490408
61450.180128,500,1610.536944
61364.413697,500,1620.572222
61550.242419,500,1630.652112
60360.63905,500,1640.975443
61212.694158,500,1651.077383
61693.64788,500,1661.326587
62101.722234,500,1671.359101
61885.739962,500,1681.39833
60591.537279,500,1691.584908
61477.267493,500,1701.950823
62076.005935,500,1712.007402
61642.311434,500,1722.124253
62401.267963,500,1732.485894
61969.773593,500,1742.580723
61740.989884,500,1752.62504
60963.810633,500,1762.787538
61696.217395,500,1773.03346
62094.304387,500,1783.199106
61970.939071,500,1793.348687
61519.602817,500,1803.657849
61919.015324,500,1813.698465
61746.04051,500,1823.740019
62296.717929,500,1834.104
62008.481759,500,1844.302516
61325.293627,500,1854.370058
61737.075536,500,1864.399495
61748.00356,500,1874.649235
61978.546723,500,1884.662091
61614.698436,500,1894.723439
60308.879658,500,1905.045348
61488.667885,500,1915.136979
62293.747775,500,1925.185594
62052.644087,500,1935.268482
62369.284784,500,1945.534816
61305.259855,500,1955.616046
62474.657097,500,1965.86088
62331.83367,500,1975.869993
61347.724891,500,1985.901456
62139.98798,500,1995.998499
62302.292858,500,2006.294982
62267.692372,500,2016.335534
61906.992535,500,2026.45676
60817.493063,500,2036.73053
62337.823946,500,2046.790455
61327.657488,500,2056.822679
62500.870011,500,2066.871847
61796.527768,500,2077.078827
62415.057288,500,2087.137561
61473.475082,500,2097.199716
61358.022045,500,2107.454405
60830.133488,500,2117.468186
61219.655731,500,2127.480834
61716.345046,500,2137.850333
62171.200857,500,2147.893304
61808.556919,500,2157.896271
61145.015986,500,2168.146331
62078.65921,500,2178.364782
62008.613885,500,2188.392375
60447.784731,500,2198.758698
62603.021859,500,2209.006442
62241.956214,500,2219.055679
62262.57771,500,2229.321884
61200.706641,500,2239.702071
62372.962843,500,2249.985334
62301.202982,500,2260.03718
62448.122261,500,2270.536374
61447.277008,500,2280.753005
61609.339557,500,2290.838941
62277.616859,500,2300.924083
62059.735373,500,2311.260363
62106.643645,500,2321.746941
61810.940141,500,2332.160522
62286.004751,500,2342.469181
61592.257696,500,2352.52897
62132.776867,500,2362.636975
62015.008175,500,2372.696736
62356.184936,500,2382.935182
61922.273153,500,2393.003838
61799.676139,500,2403.188158
61683.493998,500,2413.502014
61340.989936,500,2423.682326
61663.678947,500,2433.857624
61769.841519,500,2444.152698
62488.926618,500,2454.197959
61424.649238,500,2464.382811
62171.225153,500,2474.455053
62249.102786,500,2484.716197
61520.361248,500,2494.888819
61478.554127,500,2505.079258
62236.225225,500,2515.484005
62250.481222,500,2525.661519
62153.620889,500,2535.739716
61922.76388,500,2545.803628
