#{"env_id": "my_panda_free_space_traj", "t_start": 1586702795.711192}
r,l,t
270.524769,500,16.720149
205.886711,500,26.877857
148.217698,500,37.038524
222.902928,500,47.166793
186.553756,500,57.588725
101.829384,500,67.792534
158.793165,500,78.03175
268.529043,500,88.535335
231.24648,500,98.856234
243.709475,500,109.259317
211.358425,500,119.953565
312.98439,500,130.819228
226.208807,500,141.145413
301.324736,500,151.722598
338.772548,500,162.211555
418.262842,500,172.717922
497.657568,500,183.351933
559.246292,500,194.165045
537.974085,500,204.899207
867.880156,500,216.058694
859.724133,500,227.16116
1062.942331,500,238.543117
762.51878,500,249.515713
1211.65609,500,260.771036
1075.451838,500,271.940788
1235.310987,500,282.776403
1820.267332,500,293.75404
1743.026829,500,304.937988
1615.436957,500,315.507963
1815.509343,500,326.404208
2040.089273,500,337.270106
1715.400686,500,348.024127
2031.158893,500,358.711245
1869.34656,500,369.436183
2482.268835,500,380.257071
2211.861225,500,391.107174
2053.382944,500,401.997245
2323.908391,500,413.127959
2330.832719,500,424.095512
2373.564343,500,435.119025
2151.241097,500,446.376145
2500.650219,500,457.230853
2466.374625,500,467.880849
2863.115975,500,478.872429
2482.997461,500,489.643671
2682.123133,500,500.492133
3278.916182,500,511.405438
3027.134017,500,522.628972
3269.619076,500,533.706582
2789.992965,500,544.790476
2846.161332,500,555.796929
2773.974345,500,567.029654
3707.240047,500,577.830997
3129.432044,500,588.800862
3388.319904,500,599.490567
3707.589215,500,610.243466
3291.258907,500,620.998779
3550.814949,500,632.010704
3327.617622,500,642.965062
4404.176521,500,653.858775
3736.964915,500,664.900362
4342.738405,500,675.67041
3363.87636,500,686.484289
3430.670342,500,697.260576
3690.461891,500,708.351046
3477.38228,500,719.188407
3364.491571,500,730.006354
4290.36304,500,741.03342
3547.542057,500,751.934151
3748.581216,500,762.853742
3956.639432,500,773.893056
4979.19467,500,784.964734
4028.120606,500,796.182911
5076.1428,500,807.838385
4884.52362,500,819.252555
7129.610519,500,830.743382
5782.731456,500,842.119576
6033.954403,500,853.841892
6270.998321,500,865.329427
7556.583824,500,876.656502
8259.560539,500,888.027688
10900.870295,500,899.87457
11644.087056,500,911.818297
11843.954183,500,923.770267
12724.055393,500,935.528151
14827.681235,500,947.34991
18582.424735,500,959.069271
20361.767189,500,971.226688
16890.982438,500,983.23411
20615.158073,500,995.043331
22253.772151,500,1007.19318
20433.820157,500,1019.076861
23500.09174,500,1030.933988
25406.476366,500,1042.819604
26734.540797,500,1054.896751
28642.101983,500,1066.923536
27518.69531,500,1079.044037
25393.659154,500,1091.209476
29740.911405,500,1103.157232
