#{"t_start": 1586703114.6055605, "env_id": "my_panda_free_space_traj"}
r,l,t
231.221972,500,16.553447
152.89503,500,26.449692
183.58322,500,36.30665
237.949431,500,46.371015
221.547018,500,56.671886
193.568697,500,66.731028
183.887361,500,76.724401
235.75227,500,86.836546
198.802141,500,96.734863
165.160202,500,106.516352
203.603246,500,116.459067
232.51766,500,126.605571
234.57354,500,136.47185
364.139041,500,146.388726
352.017068,500,156.918649
460.076338,500,166.974189
743.299015,500,177.096696
787.79234,500,187.454037
903.905076,500,197.529514
1028.307293,500,207.579078
1262.68196,500,217.555419
1149.265908,500,227.808471
1475.328569,500,237.762472
1388.705972,500,247.787607
1549.061308,500,258.260708
1538.012862,500,268.681108
1905.812575,500,279.126085
2141.473425,500,289.535646
2000.214439,500,300.278801
2459.215042,500,310.753074
1800.131888,500,321.253761
2269.866418,500,332.062876
2557.049419,500,342.819048
2192.894413,500,353.492354
2016.877888,500,364.403365
2897.504628,500,375.072215
2296.317937,500,385.661916
3160.084112,500,396.512068
3329.643333,500,407.240132
3061.802407,500,417.880919
3811.595573,500,428.701635
4442.294564,500,439.735844
4283.928212,500,450.527304
7254.75547,500,461.555544
4985.063914,500,472.808287
5157.664761,500,483.892268
5028.617363,500,495.024605
5981.68129,500,506.45202
8092.728787,500,517.673924
7662.328065,500,529.118766
9629.174815,500,540.526533
11199.154606,500,552.045435
14929.639127,500,563.411081
10119.511217,500,574.660507
13548.922323,500,586.347816
15590.989649,500,597.750878
18739.959576,500,609.105872
18744.791605,500,620.456193
20451.505163,500,631.956291
24160.411136,500,643.262624
22641.88003,500,654.547973
21911.736765,500,665.956507
20909.636948,500,677.185341
22879.287203,500,688.50215
26725.416878,500,699.99309
28782.531634,500,711.21569
27460.79723,500,722.643762
28152.36815,500,734.127727
31015.582737,500,745.386487
31075.48107,500,756.605713
30107.009645,500,768.044987
29865.903085,500,779.289686
33784.13785,500,790.34518
32802.415648,500,801.302036
33766.223372,500,812.58513
37559.057675,500,823.826608
36835.861905,500,834.943825
36998.293007,500,846.327964
41886.669975,500,857.521923
37001.092555,500,868.70553
41316.195022,500,879.911106
