#{"t_start": 1591043420.0521119, "env_id": "my_panda_free_space_traj"}
r,l,t
227.0766,500,16.901161
272.670731,500,26.938614
263.115751,500,36.986388
284.285774,500,47.226185
381.953211,500,57.919598
307.599398,500,68.533604
248.63844,500,79.138927
501.984521,500,89.837063
381.622752,500,100.412782
449.102836,500,110.982321
528.936817,500,121.664571
633.116377,500,132.305691
845.325618,500,142.765035
850.991021,500,153.500662
798.942345,500,164.904059
901.192445,500,176.001094
824.793515,500,187.023
888.081751,500,198.143516
927.21578,500,209.033957
942.882242,500,219.99199
885.145913,500,230.851593
957.618078,500,241.894688
974.29175,500,252.615636
922.026811,500,263.406505
933.774501,500,274.546664
898.884146,500,285.445196
1028.13012,500,296.221554
1090.837088,500,307.111119
1118.397984,500,318.20139
1083.873756,500,329.260299
1154.544207,500,340.090126
1150.993822,500,351.1495
1250.863404,500,361.552032
1111.140544,500,371.91447
1255.758209,500,382.499724
1389.784412,500,392.932035
1410.618983,500,403.35877
1519.776797,500,413.880544
1503.953584,500,424.227819
1486.82227,500,434.658543
1721.801384,500,445.013497
1848.352389,500,455.553612
1926.825506,500,465.85408
1872.946141,500,476.24608
1978.482282,500,486.776164
2264.587935,500,496.984787
2310.318264,500,507.231612
2597.166305,500,517.788387
2927.051793,500,528.262938
2652.107165,500,538.687304
2865.254107,500,549.184339
3043.447839,500,559.777769
3091.917899,500,570.214925
3026.22122,500,580.588791
3375.663682,500,591.177485
3259.705793,500,601.474339
3431.039909,500,611.811762
3548.817535,500,622.116372
3387.219486,500,632.597146
3505.995487,500,642.979511
3609.439084,500,653.383155
3564.076986,500,664.005543
3572.950622,500,674.405288
3672.707332,500,684.793649
3554.492448,500,695.431722
3584.775126,500,705.794655
3672.591976,500,716.19422
3769.124877,500,726.868284
3828.60251,500,737.240548
3810.620572,500,747.576453
3831.217024,500,758.01666
3848.07234,500,768.637206
3983.690459,500,779.02286
3830.373378,500,789.362531
3999.522835,500,799.985339
3965.044732,500,810.40746
4055.142022,500,820.729986
4048.507477,500,831.221669
4062.59925,500,841.534067
4000.107136,500,851.764977
4002.763236,500,862.003506
4199.801547,500,872.609894
4534.953741,500,882.836005
4342.009456,500,893.024497
4479.545464,500,903.510379
4842.374344,500,913.753818
4469.028308,500,924.005178
4902.049083,500,934.172692
4926.919577,500,944.476322
4981.456956,500,954.530633
5119.714462,500,964.644955
5648.83521,500,974.999433
5280.325726,500,985.011961
5312.543899,500,995.040691
6377.505591,500,1005.291374
6175.080301,500,1015.301812
6006.556063,500,1025.339786
5713.044053,500,1035.58293
5970.090333,500,1045.59107
6179.433734,500,1055.637185
5911.948492,500,1065.698163
7086.791519,500,1075.911575
6798.317054,500,1085.917681
6891.258326,500,1095.912638
6300.790851,500,1106.102941
6391.04371,500,1116.047846
5941.321893,500,1126.042201
5722.071106,500,1136.23598
6484.046147,500,1146.16646
6320.576256,500,1155.982224
7222.824824,500,1165.865712
6473.98785,500,1175.970118
6731.955389,500,1185.85709
6274.656272,500,1195.810385
6489.856285,500,1205.927805
7313.617188,500,1215.838294
6937.330085,500,1225.715243
6870.895366,500,1235.605222
6790.890252,500,1245.67622
7640.399429,500,1255.549657
7180.072422,500,1265.507032
7550.589332,500,1275.698797
7438.043385,500,1285.603499
7707.093523,500,1295.475155
7683.629964,500,1305.637273
7425.840671,500,1315.532714
8410.509502,500,1325.403493
8285.449851,500,1335.487453
8562.514458,500,1345.373347
7493.955181,500,1355.216424
8405.568226,500,1365.056302
7882.089476,500,1375.127534
8113.240057,500,1385.014397
9096.826914,500,1394.910305
7782.423267,500,1405.087075
7794.310961,500,1415.029618
9212.405786,500,1424.899028
7708.5699,500,1435.020849
9032.192722,500,1444.942333
9382.982155,500,1454.933121
7914.828491,500,1464.924566
9881.480769,500,1475.041636
9854.932149,500,1484.956122
10905.88217,500,1494.901801
8721.767125,500,1505.142264
10303.346012,500,1515.109507
10713.715987,500,1525.061723
8262.910547,500,1534.949139
9891.551014,500,1545.04024
10549.057806,500,1554.868416
9859.335383,500,1564.696953
11280.853529,500,1574.76187
9538.940028,500,1584.609843
9490.393687,500,1594.529399
9829.330738,500,1604.746073
10024.520858,500,1614.732552
11113.454848,500,1624.728731
10548.361424,500,1634.885482
11432.445058,500,1644.811138
