#{"env_id": "my_panda_free_space_traj", "t_start": 1591043773.0507796}
r,l,t
249.071324,500,16.763547
288.267414,500,26.894973
288.774388,500,37.082028
222.928764,500,47.010744
300.2734,500,57.06047
328.161589,500,67.235979
306.337563,500,77.134906
263.939505,500,87.104349
230.170785,500,97.270664
231.345098,500,107.670675
429.691159,500,117.767772
305.708194,500,127.96666
326.090989,500,138.499848
353.49569,500,148.875428
401.961849,500,159.308065
261.880313,500,170.103856
415.572433,500,181.029691
618.156405,500,191.952628
863.685511,500,202.880104
927.568614,500,213.952229
986.405934,500,224.910732
1242.004056,500,235.913828
1365.186428,500,247.170994
1303.526389,500,258.305594
1104.712433,500,269.488147
1365.484969,500,280.598455
1091.315754,500,291.595663
1364.010086,500,302.675713
1326.967999,500,313.945985
72.439977,500,325.821321
1360.289402,500,336.663617
1592.054333,500,348.105884
1387.144254,500,359.277642
1457.647579,500,370.505373
1497.363518,500,381.512002
1578.329753,500,392.653646
1654.879769,500,403.592383
1567.719081,500,414.552366
1644.496597,500,425.5126
1689.782548,500,436.608681
1690.487601,500,447.447963
1553.747194,500,458.342739
1656.158534,500,469.473142
1816.154562,500,480.317575
1915.783481,500,491.124727
2123.072258,500,501.974722
2026.638932,500,512.988585
2109.213091,500,523.747788
2313.234278,500,534.667313
2199.41707,500,545.824627
2160.596897,500,556.745848
2335.646993,500,567.513328
2313.325171,500,578.568553
2482.848718,500,589.321352
2429.181959,500,600.127826
2341.505568,500,611.044506
2604.045193,500,621.683153
2680.686832,500,632.279227
2631.84992,500,642.828245
2859.65288,500,653.49086
2752.474447,500,663.994814
2623.494341,500,674.491839
2858.238331,500,684.976041
2841.277824,500,695.715994
2972.417327,500,706.245599
2900.103754,500,717.105979
2920.068016,500,727.630773
2897.289766,500,738.228779
2909.693532,500,748.753285
2939.806563,500,759.441219
2850.891248,500,769.896161
3128.830778,500,780.281984
2957.387347,500,790.92877
2891.604089,500,801.346305
3049.648087,500,811.751072
2928.550933,500,822.179744
3153.685184,500,832.745607
3426.669712,500,843.04564
3191.638462,500,853.340597
3405.458163,500,863.805494
3066.840838,500,874.087925
3511.341861,500,884.4362
3466.343265,500,894.95389
3232.380383,500,905.261629
3705.415514,500,915.628855
3296.799293,500,926.200233
3868.058025,500,936.551374
3823.990723,500,946.899374
3681.590415,500,957.196991
3545.936735,500,967.713166
3879.421682,500,977.974903
3914.494153,500,988.211222
3824.14836,500,998.314711
3721.032144,500,1008.681933
3371.579519,500,1018.845047
3902.953855,500,1029.273578
3765.454403,500,1039.372704
4309.963971,500,1049.473709
4168.534386,500,1059.483731
4338.640195,500,1069.820571
5121.306048,500,1079.861929
4334.661969,500,1089.935363
4479.0162,500,1100.216455
4759.562613,500,1110.221202
4893.273449,500,1120.275308
3963.578805,500,1130.294697
4044.818529,500,1140.520272
4554.910215,500,1150.528255
4744.443758,500,1160.634416
4627.361389,500,1170.968185
4640.576076,500,1181.010143
4910.169595,500,1190.954942
6012.408732,500,1201.250425
4716.349056,500,1211.375551
5750.745987,500,1221.39769
4311.776619,500,1231.742827
5185.036795,500,1241.799765
4446.060931,500,1251.823381
5365.608896,500,1261.832326
5106.377321,500,1272.091664
5435.802557,500,1281.985733
4758.971123,500,1291.85679
5016.892809,500,1301.73278
6068.595998,500,1311.884331
6680.095356,500,1321.794346
5164.426669,500,1332.017846
5819.890057,500,1341.931082
5506.819328,500,1351.855627
5570.411448,500,1361.819582
5785.596518,500,1372.094687
6108.228668,500,1382.105079
6188.62442,500,1392.122292
6413.702605,500,1402.42561
5407.139093,500,1412.427354
6059.42302,500,1422.449047
5991.868616,500,1432.535652
6402.2134,500,1442.790174
5708.722875,500,1452.824044
5533.408783,500,1462.86496
7233.625404,500,1473.222681
5800.617709,500,1483.283941
6862.302436,500,1493.341963
6161.540521,500,1503.653598
7221.806141,500,1513.732
7209.403042,500,1523.843817
5886.881321,500,1534.174669
6285.035824,500,1544.220497
7448.096553,500,1554.259232
7387.617865,500,1564.327925
6578.440334,500,1574.653132
7548.088892,500,1584.744506
6666.32428,500,1594.80686
6403.903438,500,1604.900353
6178.778947,500,1615.148945
7030.174406,500,1625.162148
6779.317462,500,1635.464369
6745.946128,500,1645.532562
6782.617794,500,1655.619305
7379.247151,500,1665.71705
6442.961934,500,1676.06939
7744.391945,500,1686.114765
7427.654483,500,1696.147579
6870.033039,500,1706.398998
7972.246946,500,1716.426616
8073.826357,500,1726.539082
7103.442013,500,1736.601558
7447.854613,500,1746.871723
6371.635924,500,1756.906555
7439.795488,500,1766.957998
8231.801886,500,1777.327151
7679.295314,500,1787.444488
7926.455601,500,1797.54433
8440.467059,500,1807.882265
8436.7797,500,1817.973565
6823.191976,500,1828.144462
7310.856295,500,1838.467628
7125.929646,500,1848.51039
6921.448051,500,1858.513725
7390.963565,500,1868.469388
8484.547245,500,1878.763107
7990.936002,500,1888.787979
7872.149321,500,1898.800368
7090.854407,500,1908.79826
8201.989844,500,1919.056812
8518.936755,500,1929.086261
8883.156135,500,1939.430903
8228.143999,500,1949.546589
8996.252441,500,1959.638277
7460.613827,500,1969.734715
7723.560834,500,1980.080756
10072.054967,500,1990.115172
8150.503578,500,2000.141538
7313.734787,500,2010.407633
8250.129258,500,2020.403882
8381.318733,500,2030.472954
9357.908673,500,2040.551559
8228.898257,500,2050.895242
9212.028002,500,2061.017813
9382.430616,500,2071.17907
9791.491742,500,2081.650216
10425.180204,500,2091.812002
9342.103847,500,2101.95974
7981.653524,500,2112.315141
8380.141383,500,2122.527499
8516.157568,500,2132.734272
9907.669251,500,2143.149324
10108.4244,500,2153.296081
10497.962459,500,2163.392532
7993.648551,500,2173.528152
9678.299571,500,2184.016085
9492.628203,500,2194.089298
10284.752171,500,2204.205728
10114.154984,500,2214.344851
9407.617543,500,2224.659786
10875.769031,500,2234.79154
9180.594533,500,2245.230671
7883.10661,500,2255.34029
9016.054505,500,2265.414055
8783.31923,500,2275.519892
8621.212896,500,2285.838761
10402.155527,500,2295.891413
11394.57487,500,2305.980622
8996.599625,500,2316.334285
8762.507012,500,2326.469383
11115.950552,500,2336.667115
10137.580331,500,2346.858737
10362.547553,500,2357.188517
9197.2595,500,2367.305442
10508.820995,500,2377.438862
9368.094708,500,2387.850053
10249.490001,500,2398.005286
10743.551931,500,2408.1453
10158.348167,500,2418.487177
10638.468926,500,2428.607445
10123.811278,500,2438.849664
10758.853025,500,2449.279519
10336.802405,500,2459.457111
9544.908899,500,2469.567273
11438.541658,500,2479.749848
11984.436331,500,2490.158573
11311.050394,500,2500.298112
10562.231973,500,2510.4667
12772.752064,500,2520.588215
10884.907483,500,2530.95489
11429.760922,500,2541.089193
10346.654988,500,2551.514151
12996.369948,500,2561.668577
11202.346975,500,2571.837997
11645.524645,500,2582.025672
13183.240944,500,2592.589075
12465.834642,500,2602.928797
11606.630081,500,2613.195836
9965.780416,500,2623.764205
10915.061753,500,2634.098123
11284.150949,500,2644.441813
10371.202136,500,2654.79394
9591.382931,500,2665.345936
11884.591711,500,2675.56114
12012.391318,500,2685.795517
11196.702788,500,2696.344062
12072.310827,500,2706.585101
11703.315548,500,2716.759717
11591.878722,500,2727.171181
12257.484839,500,2737.426492
13038.20267,500,2747.726322
11703.430364,500,2758.188477
12393.035198,500,2768.415643
11048.711627,500,2778.626831
11870.656622,500,2788.823444
13266.143436,500,2799.302642
11912.728335,500,2809.49024
12316.689363,500,2819.653019
12696.221669,500,2829.827248
13281.072915,500,2840.218299
11841.34765,500,2850.391039
13042.520896,500,2860.849233
12232.577519,500,2870.996148
14265.717807,500,2881.152545
14704.612025,500,2891.337565
14587.981373,500,2901.787114
13307.524633,500,2911.94961
12771.532177,500,2922.193885
13620.781707,500,2932.660724
11977.986565,500,2942.929016
14127.291873,500,2953.194004
13820.694708,500,2963.429796
15043.310345,500,2973.852568
12147.575709,500,2984.075855
15737.849514,500,2994.293711
14056.99832,500,3004.806355
14379.02591,500,3015.056342
14024.355783,500,3025.30694
12879.433822,500,3035.686391
13952.233463,500,3045.8666
16196.343728,500,3056.165478
12243.43091,500,3066.635947
13552.799563,500,3076.962339
15816.266297,500,3087.23727
13883.331811,500,3097.446804
16368.0342,500,3107.957248
14297.892466,500,3118.160268
15982.758636,500,3128.394386
14349.085552,500,3138.698403
13408.255337,500,3149.153416
16186.402233,500,3159.3426
13924.236937,500,3169.791103
14952.451335,500,3179.998109
13847.182644,500,3190.223295
14654.648693,500,3200.615686
14173.775252,500,3211.161249
17130.464583,500,3221.417648
16434.43189,500,3231.705792
16268.50898,500,3242.223664
16217.860331,500,3252.515627
15700.786824,500,3262.891752
15672.720932,500,3273.199912
14136.307005,500,3283.617852
19202.694127,500,3293.820693
15263.436932,500,3304.060075
17256.571243,500,3314.537713
13832.632585,500,3324.833506
16540.603736,500,3335.063598
16701.231033,500,3345.516878
16419.11376,500,3355.756329
15113.59153,500,3365.979993
17314.541944,500,3376.517295
16506.261456,500,3386.676242
17433.200548,500,3396.841541
16300.173254,500,3407.00864
17788.007004,500,3417.507348
18938.642122,500,3427.710388
17880.8252,500,3437.937479
19551.433613,500,3448.130639
16665.916013,500,3458.560823
20295.523835,500,3468.799261
19955.307727,500,3479.280846
20208.672477,500,3489.51089
17722.186789,500,3499.795079
19639.96973,500,3510.021225
22640.813301,500,3520.496517
21153.371801,500,3530.701078
20125.432938,500,3540.892425
21163.639121,500,3551.348875
19634.608653,500,3561.575805
21747.62809,500,3571.781914
19553.28064,500,3582.033688
21789.008565,500,3592.455672
23583.667582,500,3602.5965
20778.446541,500,3612.719648
24535.263579,500,3623.2889
20303.142311,500,3633.492008
19196.146256,500,3643.637367
23345.724267,500,3654.11833
21618.050692,500,3664.40194
24287.693308,500,3674.715287
22337.15532,500,3685.338392
23324.707977,500,3695.601923
23756.620799,500,3705.833773
25195.347497,500,3716.071024
26348.237268,500,3726.628208
23905.955764,500,3736.955956
20680.454771,500,3747.211912
24241.319547,500,3757.454213
25391.375472,500,3767.95445
25548.579108,500,3778.244994
27057.451693,500,3788.69258
27759.428718,500,3799.001086
24846.344026,500,3809.271264
29439.458232,500,3819.436195
23838.329298,500,3829.918113
26187.193298,500,3840.129579
25592.384092,500,3850.359462
27043.347121,500,3860.784252
24531.164663,500,3871.005722
27206.673385,500,3881.203449
27325.612834,500,3891.378452
26852.523727,500,3901.749298
27136.08363,500,3911.89079
28250.027037,500,3922.021569
28460.207624,500,3932.473999
29638.675145,500,3942.618236
31228.650266,500,3952.732298
29946.020932,500,3963.07542
29915.148344,500,3973.234948
30890.72637,500,3983.428523
30868.897291,500,3993.854931
30176.29974,500,4003.944059
31935.876307,500,4014.040182
28623.699371,500,4024.161459
30822.488863,500,4034.590108
31660.475089,500,4044.763882
35386.927516,500,4054.961975
34146.485589,500,4065.139199
37154.666007,500,4075.589895
33909.623392,500,4085.829422
33198.073327,500,4096.321586
36283.666837,500,4106.55214
36911.942146,500,4116.758914
38219.697659,500,4126.970445
35759.600175,500,4137.449439
36949.11069,500,4147.623476
34393.000788,500,4157.789066
36549.279657,500,4168.228627
36338.290202,500,4178.409982
40764.410904,500,4188.628212
38393.019697,500,4198.83457
40517.4518,500,4209.277969
38828.940076,500,4219.42468
38371.672295,500,4229.60716
40708.603927,500,4240.072232
40339.540266,500,4250.293222
40122.437946,500,4260.425175
42495.41791,500,4270.84343
40390.388484,500,4281.099399
41514.130634,500,4291.367892
39883.05061,500,4301.885342
42303.698367,500,4312.107212
42839.698817,500,4322.286561
45474.952778,500,4332.454106
44336.683126,500,4342.946166
44870.94744,500,4353.023392
46322.241028,500,4363.106586
43919.662298,500,4373.225359
46498.390792,500,4383.600762
45855.622825,500,4393.738908
47579.374594,500,4404.230306
45174.175898,500,4414.344358
47060.279534,500,4424.445975
45113.129049,500,4434.538914
45926.403646,500,4444.909355
49277.564594,500,4455.000244
41338.172883,500,4465.157345
51505.951016,500,4475.527557
49476.864221,500,4485.659546
52288.214394,500,4495.828096
49348.741374,500,4505.930321
48937.690768,500,4516.308327
51597.091025,500,4526.426923
45965.540792,500,4536.545753
48007.762789,500,4546.959689
49596.265866,500,4557.074492
50664.062021,500,4567.177852
52912.046359,500,4577.512503
52688.900201,500,4587.617882
53083.434808,500,4597.710303
53843.351276,500,4608.054027
51210.669158,500,4618.214671
51670.75393,500,4628.3083
54091.994387,500,4638.474638
52769.637889,500,4648.902045
53243.463883,500,4659.015766
52759.689558,500,4669.127348
53501.746536,500,4679.228853
52322.861266,500,4689.577762
53538.282248,500,4699.69307
54481.94448,500,4710.021394
56674.144624,500,4720.138749
53852.141475,500,4730.247863
54721.430358,500,4740.331707
56498.57344,500,4750.690275
56281.120175,500,4760.754226
55847.765592,500,4770.813668
55627.157702,500,4781.131177
55674.288216,500,4791.213911
57937.465776,500,4801.324084
57599.67719,500,4811.403859
57811.732427,500,4821.705228
58473.001809,500,4831.773867
56595.445736,500,4841.804135
52892.759255,500,4852.205916
57033.151257,500,4862.362114
57841.439745,500,4872.463865
57416.63666,500,4882.874827
59806.992663,500,4892.984741
58692.097789,500,4903.103448
58596.529239,500,4913.4963
57895.237955,500,4923.611503
58437.992121,500,4933.681457
60107.557268,500,4943.786371
59019.937649,500,4954.070705
58758.275854,500,4964.047797
58592.192936,500,4974.100266
59088.104378,500,4984.140166
60225.873168,500,4994.442288
60665.070604,500,5004.54151
59856.399459,500,5014.901235
59826.808223,500,5024.975876
60874.50089,500,5035.031939
60613.343837,500,5045.114939
61093.220358,500,5055.469405
60329.890202,500,5065.531445
61245.63839,500,5075.552356
59899.639845,500,5085.874373
61388.869209,500,5095.936414
61358.629643,500,5106.028361
59389.825708,500,5116.137753
60998.306339,500,5126.414406
61183.762127,500,5136.445041
61724.377954,500,5146.659522
