#{"env_id": "my_panda_free_space_traj", "t_start": 1586106045.640847}
r,l,t
236.586548,500,16.556773
187.867325,500,26.707669
208.440008,500,37.03401
356.598476,500,47.177672
253.33198,500,57.508706
281.699389,500,67.961518
377.011844,500,78.070234
515.23031,500,88.177493
635.511511,500,98.107999
781.101096,500,108.257601
1302.041604,500,118.098325
1586.43308,500,128.16756
2069.136398,500,138.180501
1547.656763,500,148.2006
2126.412221,500,158.359244
2794.586123,500,168.695396
3048.505369,500,178.857494
3306.668506,500,189.204762
2806.970654,500,199.829901
2560.225209,500,210.370886
4120.330411,500,220.863948
3045.226129,500,231.404902
3791.095841,500,242.122664
3004.670864,500,252.694739
3597.059156,500,263.45612
4316.121594,500,274.454382
4895.136076,500,285.192142
4879.234711,500,296.124126
5990.900273,500,307.192654
5743.253532,500,318.166053
5611.271816,500,329.188079
5059.808822,500,340.130227
5433.43084,500,351.382377
6317.259549,500,362.41488
6030.415716,500,373.447691
7185.867191,500,384.656425
6783.661652,500,395.5906
9299.517728,500,406.666085
13530.428777,500,417.748728
15318.957673,500,429.00117
14261.933362,500,440.185593
14463.068299,500,451.775918
15565.21724,500,462.984677
20302.315616,500,473.9923
20779.029516,500,484.745355
21036.429272,500,495.988482
20808.7811,500,507.217766
26126.247073,500,518.301728
22089.308193,500,529.251468
23314.773252,500,539.63851
25012.612579,500,550.030839
26591.097501,500,560.526063
28957.055672,500,571.270492
27961.63789,500,581.739142
31697.780791,500,592.335799
27684.945115,500,603.025453
35941.204724,500,613.474695
33128.152955,500,623.892451
31466.487322,500,634.551965
31247.209695,500,645.064757
34314.201372,500,655.531444
33016.313599,500,665.996439
35490.550259,500,676.588211
38590.027555,500,686.921869
37729.883846,500,697.293906
35595.052378,500,707.85783
39013.676241,500,718.161711
40745.584885,500,728.660136
40359.415676,500,739.031854
37998.692571,500,749.681579
37505.210904,500,760.021186
43453.051403,500,770.642687
36541.881599,500,781.331298
42173.921475,500,791.869227
40778.591809,500,802.284779
39800.95687,500,813.003398
39964.854271,500,823.582543
42481.036949,500,834.038427
42537.393434,500,844.675378
40113.336275,500,855.170752
47120.826677,500,865.518553
41463.141547,500,875.777577
47065.989231,500,886.136462
47638.15614,500,896.369683
43991.233969,500,906.596287
43832.35164,500,917.006457
45819.549557,500,927.215896
45905.79796,500,937.381784
51725.654694,500,947.92519
45763.864551,500,958.268612
48383.132272,500,968.559204
44345.826412,500,979.037141
47007.606917,500,989.731166
48227.710459,500,1000.236794
48201.706502,500,1010.601765
49515.352682,500,1021.090271
46206.715569,500,1031.361041
46114.958525,500,1041.683688
51211.002115,500,1051.998765
50094.556584,500,1062.494746
50667.74266,500,1072.771763
49169.970267,500,1083.242186
52346.765234,500,1093.494644
51463.842346,500,1103.78669
53053.991737,500,1114.037826
51672.427627,500,1124.498097
54499.703321,500,1134.83834
53389.870549,500,1145.087982
52448.703497,500,1155.634754
56566.225077,500,1166.30366
55402.022806,500,1176.531872
54660.046407,500,1186.707867
57079.787803,500,1197.093982
54177.736483,500,1207.345381
57056.376396,500,1217.603298
54099.566349,500,1228.346953
56119.486487,500,1238.843206
54741.123915,500,1249.298245
56172.816718,500,1260.063454
58587.506221,500,1270.572971
57339.257556,500,1281.018177
58270.368999,500,1291.539527
59181.643237,500,1302.148165
57109.647569,500,1312.610911
58435.646496,500,1323.097557
58200.544831,500,1333.768221
56499.748619,500,1344.216019
58620.492611,500,1354.574238
58887.017194,500,1364.754381
59700.977626,500,1375.154252
61245.395514,500,1385.34528
