#{"t_start": 1586111281.7331762, "env_id": "my_panda_free_space_traj"}
r,l,t
206.650292,500,16.577072
181.507385,500,26.564505
206.519072,500,36.735662
234.67969,500,46.712076
232.644341,500,56.674557
579.059791,500,66.804153
871.922595,500,76.633443
1292.375505,500,86.320978
1906.74381,500,96.118197
2410.35291,500,106.355016
3154.905543,500,116.78036
4724.318316,500,127.260087
5400.006126,500,137.944724
5445.149001,500,148.464755
5772.559917,500,158.98817
6099.209105,500,169.57538
5154.205475,500,180.289685
4894.14372,500,190.921268
6603.881119,500,201.431684
7117.424039,500,212.123839
7358.212053,500,222.608042
9418.820303,500,232.976732
9347.503532,500,243.629017
7832.440459,500,254.156933
8628.079414,500,264.765794
9942.849401,500,275.336089
10814.395896,500,285.546305
11605.849327,500,295.768829
11737.081149,500,306.018146
13566.552372,500,316.507834
12756.205084,500,326.784626
14796.525056,500,337.079621
13278.639644,500,347.317618
14627.841471,500,357.803977
14610.271737,500,368.246021
13513.731902,500,378.890462
16184.594252,500,389.159748
17972.901836,500,399.37998
15890.075468,500,409.589501
18179.75783,500,419.980005
16863.392595,500,430.288281
17425.137455,500,440.437184
17762.72252,500,450.80007
18429.629253,500,460.913464
18171.680381,500,471.109458
23860.139431,500,481.29663
20214.90236,500,491.681242
21214.818527,500,501.832406
23515.89195,500,511.994021
25892.449824,500,522.461867
22645.23621,500,532.616985
23385.355341,500,542.730594
25073.292904,500,553.152902
28087.401091,500,563.344959
26730.768155,500,573.743372
26721.464658,500,584.087878
25803.807368,500,594.262277
28086.265958,500,604.380954
34628.207509,500,614.496799
30261.411324,500,624.955916
31603.262006,500,635.120192
32763.779316,500,645.322244
33031.468422,500,655.48284
38170.253051,500,665.88764
36307.088304,500,676.129746
39010.730017,500,686.680093
38447.759073,500,697.185731
38478.788411,500,707.655196
36411.189009,500,718.125113
37169.652548,500,728.909523
38138.574315,500,739.406593
37983.398825,500,749.846326
39928.547244,500,760.612068
42506.207618,500,771.081803
42607.09178,500,781.605431
45786.264766,500,791.953916
41623.950086,500,802.528471
41691.586451,500,812.95115
43485.150903,500,823.317776
46233.572084,500,833.905377
45424.082174,500,844.052351
44043.246774,500,854.187738
47340.040716,500,864.566724
43992.735881,500,874.719567
44925.037913,500,884.905043
44729.604884,500,895.230496
47076.629581,500,905.336087
46046.321931,500,915.382075
45043.474393,500,925.449999
45208.400366,500,935.77168
48101.972838,500,945.824918
46513.646366,500,955.87979
47949.480688,500,965.923898
47491.386013,500,976.218229
46953.490077,500,986.508522
48146.426773,500,996.850324
52198.321611,500,1006.858196
48976.546757,500,1016.929157
48303.080984,500,1026.972999
48577.992028,500,1037.404282
51987.309021,500,1047.65181
51711.452287,500,1057.997066
51401.691808,500,1068.536666
53155.621642,500,1078.809277
52801.086652,500,1089.034974
50920.199779,500,1099.406052
49856.130599,500,1109.937531
53167.089522,500,1120.21747
54337.70927,500,1130.473032
52821.375938,500,1140.883761
54253.591603,500,1151.068099
55933.248905,500,1161.057771
56380.523643,500,1171.242372
56071.165357,500,1181.24745
56225.848864,500,1191.310458
54137.392587,500,1201.644415
55951.368174,500,1211.986129
56015.984717,500,1222.002792
58256.691225,500,1232.082757
56726.86316,500,1242.394604
57432.948798,500,1252.66698
56614.959327,500,1262.995538
57646.657109,500,1273.249523
58258.88792,500,1283.758476
58671.271565,500,1293.858264
59236.186158,500,1304.290504
59227.568104,500,1314.440378
59542.477639,500,1324.593926
59561.187135,500,1334.795598
59138.302904,500,1345.257909
58946.301634,500,1355.389839
60302.984653,500,1365.580402
60846.927092,500,1375.820985
59628.072179,500,1385.846484
60527.760397,500,1396.002871
61165.739781,500,1406.195762
59757.11788,500,1416.565239
60101.018508,500,1426.878534
60828.670399,500,1437.073509
60663.298074,500,1447.339825
61100.232676,500,1457.305891
60323.721092,500,1467.261919
61086.597786,500,1477.437712
58270.38154,500,1487.645465
61279.382353,500,1497.630138
60920.739194,500,1507.851012
61204.968496,500,1518.005737
60966.610859,500,1528.019988
61184.748852,500,1537.996546
60583.276207,500,1548.206005
61591.467801,500,1558.153795
60617.916043,500,1568.104188
61855.849708,500,1578.179184
61639.455698,500,1588.349939
61428.764275,500,1598.295432
61317.015118,500,1608.498024
61263.840572,500,1618.505774
61255.262671,500,1628.667845
60693.345629,500,1638.643149
60863.359969,500,1648.836916
61444.467958,500,1658.79449
60098.933919,500,1669.310761
61326.37759,500,1679.57109
61309.812418,500,1689.572955
61108.904872,500,1699.578398
61859.815422,500,1709.659169
61333.069188,500,1720.477541
60881.712704,500,1730.755626
58080.304663,500,1741.066257
60709.433403,500,1751.415776
61096.314032,500,1761.565463
61822.744151,500,1771.778538
61151.70387,500,1781.972744
61699.143637,500,1791.955222
61895.091393,500,1802.000325
61562.003968,500,1812.227936
61521.05095,500,1822.253706
61884.796363,500,1832.431158
60715.363148,500,1842.583538
62148.100955,500,1852.908219
60621.477653,500,1862.878687
61552.515363,500,1872.830042
61122.36456,500,1882.9295
61345.733777,500,1893.059361
61676.484675,500,1903.012278
61276.273517,500,1913.175646
61945.166207,500,1923.127336
62194.634145,500,1933.135997
62013.386225,500,1943.165766
62109.807053,500,1953.340222
61443.993086,500,1963.266398
62166.075914,500,1973.269403
61858.614355,500,1983.449497
61792.552133,500,1993.397236
61841.628867,500,2003.400295
61595.30554,500,2013.35454
61849.913861,500,2023.685347
61244.487479,500,2033.708306
61100.074943,500,2043.67111
61600.950649,500,2054.138595
62140.781126,500,2064.354424
61390.790471,500,2074.31365
62355.339077,500,2084.859463
61751.546527,500,2095.166581
61026.461598,500,2105.283858
59594.93571,500,2116.032361
62093.307548,500,2126.293115
61532.017282,500,2136.540234
61779.723006,500,2147.075967
61907.567261,500,2157.583438
