#{"env_id": "my_panda_free_space_traj", "t_start": 1586537873.3031418}
r,l,t
171.168704,500,16.984019
208.19287,500,27.469856
133.553038,500,37.841381
222.415148,500,48.177555
160.623569,500,58.719541
209.034311,500,69.066166
149.403018,500,79.427184
267.150861,500,89.844726
158.542976,500,100.130212
135.057126,500,110.276436
281.491196,500,120.44603
183.492835,500,130.884935
320.051405,500,141.151137
238.248383,500,151.263711
127.871185,500,161.568468
291.995385,500,171.593609
299.474846,500,181.680307
187.018515,500,191.951802
256.403208,500,202.033804
300.613591,500,212.190571
189.844848,500,222.345605
361.534602,500,232.642348
268.717623,500,242.676987
333.503957,500,252.762288
302.815683,500,262.990734
295.649581,500,272.981578
371.543404,500,282.944673
450.655955,500,292.961758
207.689023,500,303.120711
287.241364,500,313.180267
355.419351,500,323.232369
314.241959,500,333.489471
200.583264,500,343.58742
248.816741,500,353.702347
224.921159,500,363.922965
210.366057,500,373.921136
273.477641,500,383.957586
246.213163,500,394.206147
265.63188,500,404.273919
262.264397,500,414.31277
290.733562,500,424.47407
331.742219,500,434.65498
300.836641,500,444.591173
228.417381,500,454.525272
233.373403,500,464.714345
302.919014,500,474.687253
303.652631,500,484.628238
372.502071,500,494.759404
363.39484,500,504.761816
230.576637,500,514.769148
209.232936,500,524.667129
247.006795,500,534.802708
399.716025,500,544.781752
299.675833,500,554.693466
390.80833,500,564.864431
261.176372,500,574.818248
386.085755,500,584.789598
407.955812,500,594.775706
421.301658,500,605.053502
428.749449,500,615.027847
876.730236,500,625.094539
1242.800309,500,635.336479
1377.496735,500,645.354638
1639.351383,500,655.393588
1666.085314,500,665.773627
2119.003019,500,675.922821
2635.212865,500,686.239718
2853.541476,500,697.130279
2918.374726,500,707.829691
3617.148306,500,718.571976
3810.697877,500,729.601868
3972.690857,500,740.728339
3949.86785,500,751.512496
4556.486702,500,762.487794
4553.405164,500,773.714273
4697.140125,500,784.647803
4710.394042,500,795.524067
4764.479099,500,806.673444
5100.994601,500,817.457286
5019.445036,500,828.324344
5651.680108,500,839.185756
5587.623248,500,850.205556
6952.171094,500,860.951786
6909.272227,500,871.492007
6978.821795,500,882.299615
7020.187252,500,892.810209
7475.44879,500,903.436059
6226.25223,500,913.994915
6585.658191,500,924.794713
6940.9635,500,935.495254
8364.676243,500,946.214841
7776.371504,500,957.073691
8527.724207,500,967.672235
9341.611096,500,978.218805
9363.099688,500,988.952888
10266.241545,500,999.403713
9443.980669,500,1009.971208
10216.745712,500,1020.6729
8873.02408,500,1031.332478
10775.025834,500,1042.025989
10693.815979,500,1052.71001
12378.404717,500,1063.286553
12141.335032,500,1073.691053
10459.209508,500,1084.215917
9886.605981,500,1094.967546
11682.283502,500,1105.54448
14936.377526,500,1116.029325
12204.158745,500,1126.74161
13046.956903,500,1137.156516
13200.888573,500,1147.586367
14989.455019,500,1158.071759
13973.92178,500,1168.645721
15296.678831,500,1179.095941
15453.919173,500,1189.677784
15181.342818,500,1200.434904
15024.683888,500,1210.926238
16045.97576,500,1221.339893
15553.392892,500,1231.74572
15959.603101,500,1242.363606
14451.00606,500,1252.717897
15628.238204,500,1263.059628
15514.943729,500,1273.690273
16837.913156,500,1284.095766
14971.194451,500,1294.515716
