#{"env_id": "my_panda_free_space_traj", "t_start": 1586475062.5851667}
r,l,t
192.830986,500,16.758435
188.818721,500,26.696069
187.487808,500,36.672787
273.329013,500,46.566267
343.787776,500,56.591604
604.327991,500,66.414571
815.076716,500,76.175477
1007.208812,500,85.881397
1432.357019,500,95.323209
1350.338624,500,104.695131
1508.699447,500,114.340549
1862.23115,500,123.850131
2006.05873,500,133.505878
3264.892973,500,143.706673
4160.310723,500,154.179289
4712.028954,500,165.012393
3353.373085,500,175.825003
5766.735191,500,186.974844
5244.315373,500,197.726623
5860.938586,500,208.549309
6040.822565,500,219.37404
5577.744799,500,230.638105
6633.427668,500,241.64228
6170.178443,500,253.013597
7121.99159,500,264.085287
7164.771757,500,275.24103
7989.273929,500,286.409384
8077.235709,500,297.973207
8845.670827,500,309.203846
8249.298861,500,320.460869
9499.305951,500,331.962903
11115.978694,500,343.102823
10361.997129,500,354.260975
11180.955901,500,365.468985
10501.199455,500,376.978244
12297.233933,500,388.275338
9751.58631,500,399.505402
12322.159657,500,410.913655
13563.929662,500,421.958713
15500.092174,500,432.889878
18064.410709,500,444.036529
16245.722673,500,454.956373
21107.696311,500,465.907493
19296.542385,500,477.169323
20505.213106,500,488.077847
16583.694118,500,498.87851
19106.210819,500,509.759385
22127.749294,500,520.752548
22859.054105,500,531.389387
21693.204272,500,542.107714
25295.21783,500,552.676256
23474.605507,500,563.276824
26769.504501,500,573.710521
31574.207634,500,584.164419
32605.817432,500,594.428895
31812.223844,500,604.788784
30658.878444,500,615.050651
32555.529653,500,625.560263
31552.607042,500,635.745619
36378.606603,500,645.947251
34950.88076,500,656.380858
31841.776506,500,666.50025
38009.115422,500,676.760168
35760.299381,500,687.073339
38401.625827,500,697.65744
36921.498761,500,708.059776
37737.123522,500,718.43465
39346.087253,500,728.997403
36003.189674,500,739.201409
36974.307405,500,749.383745
36909.264302,500,759.909148
38049.716924,500,770.167135
41529.431102,500,780.388439
38173.295952,500,790.965115
45317.516916,500,801.10768
38271.61644,500,811.590147
39693.142365,500,821.913251
43506.978605,500,832.347546
46554.884242,500,842.628739
46229.067692,500,853.146962
41098.066884,500,863.446373
45645.108591,500,873.850311
46052.589344,500,884.065605
46822.767346,500,894.59738
49864.557371,500,904.822515
50440.051168,500,914.882842
44182.268319,500,925.250746
43462.84651,500,935.658335
46473.448245,500,945.765963
48158.604745,500,955.849854
47318.381069,500,966.131271
50964.137882,500,976.246249
51623.125429,500,986.251507
49569.902421,500,996.334446
49122.996961,500,1006.617829
53273.569233,500,1016.636792
51408.065009,500,1026.726707
51833.829103,500,1037.015934
51845.436241,500,1047.087353
52110.286483,500,1057.171757
52827.804353,500,1067.490173
56022.36316,500,1077.572321
53440.709328,500,1087.711557
55123.910431,500,1098.103026
52477.319202,500,1108.367451
54880.64778,500,1118.502645
54844.109815,500,1128.630062
54859.481427,500,1138.97481
54504.803852,500,1149.236117
56772.12306,500,1159.415055
55814.676017,500,1169.540898
54668.669635,500,1179.861887
55441.622021,500,1189.915125
57355.760597,500,1200.213655
55748.633262,500,1210.318936
56826.247191,500,1220.427668
58301.122749,500,1230.524245
56408.477512,500,1240.800423
57949.048995,500,1251.117552
57476.058046,500,1261.467597
57666.973178,500,1272.199108
58108.757728,500,1282.627166
57996.872559,500,1292.990456
57177.872083,500,1303.421261
