#{"t_start": 1584905532.846531, "env_id": "my_panda_free_space_traj"}
r,l,t
224.733593,500,16.716697
277.701739,500,26.730235
184.481673,500,36.773819
267.220992,500,46.872447
285.85295,500,57.169666
450.248587,500,66.986375
632.048591,500,76.919583
989.311949,500,87.135081
2427.425841,500,97.431321
2863.845628,500,107.750409
3310.462593,500,118.355412
3225.772474,500,128.729217
4619.632935,500,138.971439
4829.238338,500,149.461775
6015.130136,500,159.697631
4734.970751,500,169.85391
5274.215448,500,180.035737
7414.635883,500,190.421075
7275.41134,500,200.619347
7397.479309,500,210.889888
9023.551218,500,221.137031
8133.653772,500,231.579419
9732.346776,500,241.881016
10502.27687,500,252.335486
9855.439054,500,262.640926
10990.79721,500,272.884398
11656.950088,500,283.094562
11949.711773,500,293.550323
13585.91215,500,303.733679
12322.066108,500,313.959968
13586.415536,500,324.35822
16355.415035,500,334.569294
16280.73183,500,344.768068
14522.321273,500,354.96389
16682.575553,500,365.36894
16651.912044,500,375.544928
16017.361384,500,385.722081
22284.001866,500,396.093785
19050.631666,500,406.296444
20319.309012,500,416.503038
18562.531363,500,426.957981
21442.693566,500,437.160374
28396.891658,500,447.409793
23666.621046,500,457.794215
26525.843781,500,468.083012
25135.735278,500,478.365598
28537.651249,500,488.565959
28579.2927,500,498.995584
30178.093106,500,509.280959
26530.650555,500,519.572057
30286.788819,500,529.833762
33186.810813,500,540.245341
28472.956468,500,550.54932
29819.841984,500,560.947069
33868.055006,500,571.197902
32410.41085,500,581.439213
35979.550998,500,591.675187
34999.743511,500,602.043504
34583.68639,500,612.199283
35128.409195,500,622.559586
35625.802504,500,633.108604
37227.896895,500,643.299592
38959.520039,500,653.588582
39254.249423,500,663.920469
37370.063518,500,674.471604
36694.750414,500,684.945283
38973.063283,500,695.194705
38186.907798,500,705.735164
42851.724379,500,716.098953
38315.638445,500,726.244067
45109.970788,500,736.555387
44732.60792,500,746.671808
43322.786264,500,756.806064
40853.382375,500,767.130565
39906.586484,500,777.262172
45063.697197,500,787.37393
40972.697527,500,797.478023
46510.251893,500,807.969633
48953.995077,500,818.370153
46036.377797,500,828.621097
41210.893536,500,839.050573
43718.816086,500,849.606624
43487.526588,500,859.679709
46602.046015,500,870.308748
44875.734659,500,880.580044
49051.031426,500,890.755457
43144.134751,500,901.311186
51751.05835,500,911.646975
48227.89767,500,921.738144
48582.117141,500,931.860445
50616.266477,500,942.176172
50623.6083,500,952.459819
48007.856621,500,962.700223
47752.622962,500,972.966809
52059.031603,500,983.422477
47806.199818,500,993.727534
53746.265736,500,1003.844865
52724.976693,500,1014.199792
50716.910411,500,1024.409348
53410.261975,500,1034.555117
52994.326164,500,1045.009738
52673.971281,500,1055.251026
54233.200567,500,1065.329107
52579.377688,500,1075.713022
53835.898227,500,1085.931051
54950.004237,500,1095.986506
56147.530192,500,1106.067776
54926.378901,500,1116.580832
55511.880467,500,1126.715908
56852.867572,500,1136.808459
56198.08971,500,1146.971763
59120.986254,500,1157.243933
56155.69921,500,1167.278598
58667.940067,500,1177.539137
58052.785503,500,1187.605981
56859.14933,500,1197.602792
59042.998147,500,1207.622166
57160.245277,500,1217.881804
55917.360667,500,1227.881527
55510.736356,500,1237.952533
52110.52684,500,1248.326247
59841.086712,500,1258.345368
57676.800259,500,1268.314064
60016.898523,500,1278.335278
